"Cell iname"	"Cell lineage"	"Primary disease"	"Collection"	"Cell type"	"Growth medium"	"Growth pattern"	"Doubling time"	"Provider name"	"Provider catalog ID"	"Donor disease age of onset"	"Donor tumor phase"	"Donor age of death"	"Subtype"	"Donor age"	"Donor ethnicity"	"Metastatic site"	"Comments"	"Cell histology"	"CCLE name"	"Alias"	"Donor sex"	"Cellosaurus ID"	"Cellosaurus Doubling time sd"	"Cellosaurus Doubling time"	"ploidy"
"MDAMB231"	"breast"	"breast cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 Invitrogen catalog # 11875-93"	"adherent"	"60.00"	"ATCC"	"HTB-26"	-666	"metastatic"	-666	"adenocarcinoma"	"51"	"Caucasian"	"effusion, pleural, pleural_effusion"	NA	"carcinoma"	"MDAMB231_BREAST"	"MB231, MDA MB 231, MDA Mb231, MDA MB231, MDA-231, MDA-MB 231, MDA-MB231, MDA.MB.231, MDA231, MDAMB-231, MDAMB231"	"F"	"CVCL_0062"	5.82640540985606	38	2.777281576
"MDAMB361"	"breast"	"breast cancer"	"CCLE, PRISM-HURON, PRISM-PR300"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"84.00"	"ATCC"	"HTB-27"	-666	"metastatic"	-666	"adenocarcinoma"	"40"	"Caucasian"	"brain"	NA	"carcinoma"	"MDAMB361_BREAST"	"MDA MB 361, MDA-361, MDA-MB 361, MDA-MB361, MDA361, MDAMB361"	"F"	"CVCL_0620"	NA	103.2	2.654787781
"MDAMB415"	"breast"	"breast cancer"	"ACHILLES, CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	">120"	"ATCC"	"HTB-128"	-666	"metastatic"	-666	"adenocarcinoma"	"38"	"unknown"	"pleural_effusion"	NA	"carcinoma"	"MDAMB415_BREAST"	"MDA-415, MDA-MB415, MDA415, MDAMB415"	"F"	"CVCL_0621"	NA	NA	2.875075664
"MDAMB435S"	"skin"	"skin cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 (Hyclone Cat.# SH327.2)"	"adherent"	"60.00"	"ATCC"	"HTB-129"	-666	"metastatic"	-666	"melanoma"	"31"	"Caucasian"	"pleural_effusion"	NA	"malignant_melanoma"	"MDAMB435S_SKIN"	"MDA-MB-435 S, MDA-MB-435-S, MDA-MB-435s, MDAMB435S"	"M"	"CVCL_0622"	NA	NA	NA
"MDAMB436"	"breast"	"breast cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"72.00"	"ATCC"	"HTB-130"	-666	"metastatic"	-666	"adenocarcinoma"	"43"	"Caucasian"	"effusion, pleural, pleural_effusion"	NA	"-666"	"MDAMB436_BREAST"	"MDA MB 436, MDA-436, MDA-Mb-436, MDA-MB436, MDA436, MDAMB436"	"F"	"CVCL_0623"	NA	NA	2.973191208
"MDAMB453"	"breast"	"breast cancer"	"ACHILLES, CCLE, PRISM-PR300"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	">120"	"ATCC"	"HTB-131"	-666	"metastatic"	-666	"carcinoma"	"48"	"Caucasian"	"effusion, pericardial, pleural_effusion"	NA	"carcinoma"	"MDAMB453_BREAST"	"MDA MB 453, MDA-453, MDA-MB 453, MDA-MB453, MDA453, MDAMB453"	"F"	"CVCL_0418"	12.0208152801713	46.5	4.199400705
"MDAMB468"	"breast"	"breast cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"60.00"	"ATCC"	"HTB-132"	-666	"metastatic"	-666	"adenocarcinoma"	"51"	"Black"	"pleural_effusion"	NA	"carcinoma"	"MDAMB468_BREAST"	"MB468, MDA-468, MDA-MB 468, MDA-MB468, MDA468, MDAMB468"	"F"	"CVCL_0419"	13.5277492584687	47	2.842148349
"MDAPCA2B"	"prostate"	"prostate cancer"	"CCLE"	"-666"	"HAMS F12 Invitrogen catalog # 11765-54"	"adherent"	"42-53"	"ATCC"	"CRL-2422"	-666	"metastatic"	-666	"adenocarcinoma"	"63"	"Black"	"bone"	NA	"-666"	"MDAPCA2B_PROSTATE"	"M.D. Anderson-Prostate Cancer-2b, MDA PCa 2b, MDA2B, MDAPC2B, MDAPCa-2b"	"M"	"CVCL_4748"	13.7885822331377	57.25	NA
"MDST8"	"large_intestine"	"colon cancer"	"ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"-666.00"	"ECACC"	"-666"	-666	"-666"	-666	"carcinoma"	"-666"	"unknown"	"-666"	NA	"carcinoma"	"MDST8_LARGE_INTESTINE"	"T8"	"unknown"	"CVCL_2588"	NA	NA	3.828247539
"MEC1"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"IMDM ATCC catalog #3-25"	"suspension"	"40.00"	"DSMZ"	"ACC 497"	-666	"-666"	-666	"chronic lymphoblastic leukemia (cll)"	"61"	"Caucasian"	"-666"	NA	"-666"	"MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MEC1"	"M"	"CVCL_1870"	NA	40	NA
"MEC2"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"90% Iscove's MDM + 10% h.i. FBS"	"mix"	"40.00"	"DSMZ"	"-666"	-666	"-666"	-666	"chronic lymphoblastic leukemia (cll)"	"-666"	"Caucasian"	"-666"	NA	"-666"	"MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MEC2"	"M"	"CVCL_1871"	9.89949493661167	38	NA
"MEG01"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"mix"	"35.00"	"ATCC"	"CRL-2021"	-666	"-666"	-666	"chronic myelogenous leukemia (cml)"	"55"	"-666"	"-666"	NA	"-666"	"MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"Meg-01, Meg01, MEG01"	"M"	"CVCL_0425"	4.94974746830583	38.5	2.534788181
"MELHO"	"skin"	"skin cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"60.00"	"DSMZ"	"-666"	-666	"primary"	-666	"melanoma"	"-666"	"unknown"	"-666"	NA	"malignant_melanoma"	"MELHO_SKIN"	"Ho, MEL HO, Mel-HO, MEL-Ho, MEL-HO, MelHo, MELHO"	"F"	"CVCL_1402"	NA	24	3.130660915
"MELJUSO"	"skin"	"skin"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"60.00"	"DSMZ"	"-666"	-666	"primary"	-666	"melanoma"	"-666"	"-666"	"-666"	NA	"malignant_melanoma"	"MELJUSO_SKIN"	"JuSo, Mel Juso, Mel-Juso, MEL-Juso, MEL-JUSO, MelJuSo"	"F"	"CVCL_1403"	NA	28	2.174800964
"MESSA"	"endometrium, soft_tissue"	"endometrial cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"McCoy's 5A ATCC catalog # 3-27"	"adherent"	"48.00"	"ATCC"	"CRL-1976"	-666	"primary"	-666	"sarcoma"	"56"	"Caucasian"	"-666"	NA	"sarcoma"	"MESSA_SOFT_TISSUE"	"MESSA"	"F"	"CVCL_1404"	NA	23	1.880060431
"MEWO"	"skin"	"skin cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 (Hyclone Cat.# SH327.2)"	"adherent"	"48.00"	"ATCC"	"HTB-65"	-666	"metastatic"	-666	"melanoma"	"78"	"Caucasian"	"lymph_node"	NA	"malignant_melanoma"	"MEWO_SKIN"	"BI-Mel, EST50, Me Wo, Me-Wo, Mevo, Mewo, MEWO, SK-MEL-MeWo"	"M"	"CVCL_0445"	NA	32	1.929835775
"ME1"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"72-120"	"DSMZ"	"-666"	-666	"-666"	-666	"acute myelogenous leukemia (aml)"	"40"	"-666"	"-666"	NA	"-666"	"ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"-666"	"M"	"CVCL_L911"	NA	NA	2.032218908
"MFE280"	"endometrium"	"endometrial cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI:MEM(1:1) (RPMI-164 (Hyclone Cat.# SH327.2):MEM (Invitrogen catalogue #12571-63))"	"adherent"	"72.00"	"DSMZ"	"-666"	-666	"recurrent"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"-666"	"MFE280_ENDOMETRIUM"	"MFE 280, MFE280"	"F"	"CVCL_1405"	NA	75	2.488717919
"MFE296"	"endometrium"	"endometrial cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI:MEM(1:1) (RPMI-164 (Hyclone Cat.# SH327.2):MEM (Invitrogen catalogue #12571-63))"	"adherent"	"36.00"	"DSMZ"	"-666"	-666	"primary"	-666	"adenocarcinoma"	"-666"	"Caucasian"	"-666"	NA	"carcinoma"	"MFE296_ENDOMETRIUM"	"MFE 296, MFE296"	"F"	"CVCL_1406"	NA	55	1.966792155
"MFE319"	"endometrium"	"endometrial cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI:MEM(1:1) (RPMI-164 (Hyclone Cat.# SH327.2):MEM (Invitrogen catalogue #12571-63))"	"adherent"	"96.00"	"DSMZ"	"-666"	-666	"-666"	-666	"adenocarcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"MFE319_ENDOMETRIUM"	"MFE319"	"F"	"CVCL_2112"	NA	100	1.931980783
"MG63"	"bone, soft_tissue"	"bone cancer"	"CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500"	"-666"	"MEM (Invitrogen catalogue #12571-63)"	"adherent"	"48.00"	"ATCC"	"CRL-1427"	-666	"primary"	-666	"osteosarcoma"	"14"	"Caucasian"	"-666"	NA	"osteosarcoma"	"MG63_BONE"	"M-G63, MG63"	"M"	"CVCL_0426"	6.85893577750951	33.15	3.034889576
"MHHCALL2"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"100.00"	"DSMZ"	"-666"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"-666"	"Caucasian"	"-666"	NA	"-666"	"MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"Mhh-Call 2, MHH-CALL2, MHHCALL2"	"F"	"CVCL_1409"	NA	100	2.111592763
"MHHCALL3"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"50-70"	"DSMZ"	"-666"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"-666"	"-666"	"-666"	NA	"-666"	"MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MHH cALL 3, Mhh-Call 3, MHH-cALL3, MHH-CALL3, MHHCALL3"	"F"	"CVCL_0089"	NA	120	NA
"MHHCALL4"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"80-100"	"DSMZ"	"-666"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"-666"	"Caucasian"	"-666"	NA	"-666"	"MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MHH-CALL4, MHHCALL4"	"M"	"CVCL_1410"	NA	90	1.931649468
"MHHES1"	"soft_tissue"	"bone cancer"	"CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"28.00"	"DSMZ"	"-666"	-666	"metastatic"	-666	"ewing's sarcoma"	"12"	"Caucasian"	"-666"	NA	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	"MHHES1_BONE"	"MHH-ES1"	"M"	"CVCL_1411"	NA	28	4.283266557
"MHHNB11"	"autonomic_ganglia, central_nervous_system"	"brain cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR300"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"100.00"	"DSMZ"	"-666"	-666	"metastatic"	-666	"neuroblastoma"	"4"	"Caucasian"	"-666"	NA	"neuroblastoma"	"MHHNB11_AUTONOMIC_GANGLIA"	"MHH-NB11, MHHNB11"	"M"	"CVCL_1412"	41.0121933088198	71	2.395276855
"MIAPACA2"	"pancreas"	"pancreatic cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM Invitrogen catalog # 11995-65"	"adherent"	"24.00"	"ATCC"	"CRL-1420"	-666	"primary"	-666	"carcinoma"	"65"	"Caucasian"	"-666"	NA	"carcinoma"	"MIAPACA2_PANCREAS"	"Mia PACA 2, MIA Paca2, MIA PaCa2, MIA-Pa-Ca-2, MIA-PaCa-2, MIA-PACA-2, MiaPaCa-2, MIAPaCa-2, MIAPACA-2, MiaPaca.2, Miapaca2, MiaPaCa2, MIAPaCa2, MIAPACA2, PaCa2"	"M"	"CVCL_0428"	14.1351217421947	30.5	2.760242905
"MINO"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"CCLE, CMAP"	"-666"	"RPMI-164"	"suspension"	"72.00"	"ATCC"	"-666"	-666	"-666"	-666	"b-cell lymphoma"	"-666"	"Caucasian"	"-666"	NA	"-666"	"MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MINO"	"M"	"CVCL_1872"	15.556349186104	61	NA
"MJ"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"CCLE"	"-666"	"IMDM ATCC catalog #3-25"	"suspension"	"-666.00"	"ATCC"	"CRL-8294"	-666	"-666"	-666	"t-cell lymphoma"	"50"	"Caucasian"	"-666"	NA	"-666"	"MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"G11"	"M"	"CVCL_1414"	NA	NA	NA
"MKN1"	"stomach"	"gastric cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"32.00"	"HSRRB"	"-666"	-666	"primary"	-666	"adenocarcinoma"	"72"	"unknown"	"-666"	NA	"carcinoma"	"MKN1_STOMACH"	"MKN-1"	"M"	"CVCL_1415"	NA	NA	2.982947781
"MKN45"	"stomach"	"gastric cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"20.00"	"HSRRB"	"-666"	-666	"primary"	-666	"adenocarcinoma"	"62"	"unknown"	"-666"	NA	"carcinoma"	"MKN45_STOMACH"	"MKN 45, MKN-45"	"F"	"CVCL_0434"	22.3177806542974	31.5	1.815010732
"MKN7"	"stomach"	"gastric cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 (Hyclone Cat.# SH327.2)"	"adherent"	"72.00"	"RIKEN"	"-666"	-666	"-666"	-666	"adenocarcinoma"	"39"	"unknown"	"-666"	NA	"carcinoma"	"MKN7_STOMACH"	"MKN 7, MKN-7"	"M"	"CVCL_1417"	14.8492424049175	75.5	3.016773974
"MKN74"	"stomach"	"gastric cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"-666"	"adherent"	"48.00"	"HSRRB"	"-666"	-666	"metastatic"	-666	"adenocarcinoma"	"37"	"-666"	"liver"	NA	"carcinoma"	"MKN74_STOMACH"	"MKN 74, MKN-74"	"M"	"CVCL_2791"	NA	44	NA
"ML1"	"thyroid"	"thyroid cancer"	"CCLE"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"96-168"	"DSMZ"	"-666"	-666	"-666"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"ML1_THYROID"	"-666"	"-666"	"CVCL_H525"	NA	132	1.710747704
"MM1S"	"haematopoietic_and_lymphoid_tissue"	"myeloma"	"ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 Invitrogen catalog # 11875-93"	"mix"	"80.00"	"ACADEMIC LAB"	"-666"	-666	"-666"	-666	"myeloma"	"42"	"Black"	"-666"	NA	"-666"	"MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MM-1S, MM.1S, MM1-S, MM1S"	"F"	"CVCL_8792"	NA	80	1.938477495
"MOGGCCM"	"central_nervous_system"	"brain cancer"	"CCLE"	"-666"	"Ham's F10: DMEM (1:1) + 2mM Glutamine + 10% Foetal Bovine Serum (FBS)"	"adherent"	"-666.00"	"ECACC"	"-666"	-666	"-666"	-666	"astrocytoma, glioma"	"-666"	"-666"	"-666"	NA	"-666"	"MOGGCCM_CENTRAL_NERVOUS_SYSTEM"	"CCM, G-CCM, GO-G-CCM, MOGGCCM"	"-666"	"CVCL_2613"	NA	NA	1.978119482
"MOGGUVW"	"central_nervous_system"	"brain cancer"	"CCLE"	"-666"	"Ham′s F10: DMEM (1:1) + 2mM Glutamine + 10% Foetal Bovine Serum (FBS)"	"adherent"	"-666.00"	"ECACC"	"-666"	-666	"-666"	-666	"astrocytoma"	"-666"	"-666"	"-666"	NA	"-666"	"MOGGUVW_CENTRAL_NERVOUS_SYSTEM"	"G-UVW, GO-G-UVW, MOG-GUVW, MOGGUVW, UVW"	"M"	"CVCL_2614"	NA	NA	3.586411466
"MOLM13"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 (Hyclone Cat.# SH327.2)"	"suspension"	"96-120"	"DSMZ"	"-666"	-666	"recurrent"	-666	"acute myeloid leukemia (aml)"	"-666"	"-666"	"-666"	NA	"-666"	"MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"Molm 13, Molm13, MOLM13"	"M"	"CVCL_2119"	30.0887575903914	50	2.167819827
"MOLM16"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"50-80"	"DSMZ"	"-666"	-666	"-666"	-666	"acute myelogenous leukemia (aml)"	"-666"	"Japanese"	"-666"	NA	"-666"	"MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MOLM16"	"F"	"CVCL_2120"	NA	65	3.333563449
"MOLM6"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"mix"	"48-72"	"DSMZ"	"-666"	-666	"-666"	-666	"chronic myelogenous leukemia (cml)"	"-666"	"-666"	"-666"	NA	"-666"	"MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MOLM6"	"M"	"CVCL_2122"	NA	60	NA
"MOLP2"	"haematopoietic_and_lymphoid_tissue"	"myeloma"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"96.00"	"DSMZ"	"-666"	-666	"primary"	-666	"myeloma"	"55"	"unknown"	"-666"	NA	"-666"	"MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MOLP2"	"M"	"CVCL_2123"	16.9705627484771	84	NA
"MOLP8"	"haematopoietic_and_lymphoid_tissue"	"myeloma"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"mix"	"40.00"	"DSMZ"	"-666"	-666	"primary"	-666	"myeloma"	"52"	"-666"	"-666"	NA	"lymphoid_neoplasm"	"MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MOLP8"	"M"	"CVCL_2124"	NA	40	2.976832873
"MOLT13"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"36.00"	"DSMZ"	"-666"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"-666"	"-666"	"-666"	NA	"-666"	"MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"Molt 13, MOLT 13, Molt-13, Molt13, MOLT13"	"F"	"CVCL_1422"	NA	100	1.973910098
"MOLT16"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"30.00"	"DSMZ"	"ACC 29"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"5"	"-666"	"-666"	NA	"-666"	"MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MOLT 16, Molt-16, Molt16, MOLT16"	"F"	"CVCL_1424"	NA	30	1.963405367
"MOLT3"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"ACHILLES, PRISM-PR300, PRISM-SUSP"	"-666"	"ATCC-formulated RPMI-1640 Medium, ATCC 30-2001"	"suspension"	"40.00"	"ATCC"	"CRL-1552"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"19"	"-666"	"-666"	NA	"-666"	"MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"Molt 3, MOLT 3, Molt-3, Molt3, MOLT3"	"M"	"CVCL_0624"	NA	40	NA
"MOLT4"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI 1640 + 2mM Glutamine + 10% Foetal Bovine Serum (FBS)."	"suspension"	"31.56"	"ATCC"	"CRL-1582"	-666	"-666"	-666	"acute lymphoblastic leukemia (all)"	"19"	"-666"	"-666"	NA	"leukemia"	"MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"GM02219, GM2219C, Molt 4, MOLT 4, Molt-4, MOLT.4, Molt4, MOLT4"	"M"	"CVCL_0013"	13.68742549447	31	4.080142865
"MON"	"soft_tissue"	"kidney cancer"	"PRISM-HURON, PRISM-PR300, PRISM-PR500"	"-666"	"ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002"	"adherent"	"-666.00"	"-666"	"-666"	-666	"-666"	-666	"rhabdoid tumor"	"-666"	"-666"	"-666"	NA	"-666"	"MON_SOFT_TISSUE"	"-666"	"M"	"CVCL_M846"	NA	NA	NA
"MONOMAC1"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"30-50"	"DSMZ"	"-666"	-666	"recurrent"	-666	"acute myelogenous leukemia (aml)"	"-666"	"-666"	"-666"	NA	"-666"	"MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MM1, Mono Mac 1, MONO-MAC-1, Monomac-1, MonoMac1, MONOMAC1"	"M"	"CVCL_1425"	0	40	NA
"MONOMAC6"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"60.00"	"DSMZ"	"-666"	-666	"recurrent"	-666	"acute myelogenous leukemia (aml)"	"-666"	"-666"	"-666"	NA	"-666"	"MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MM6, Mono Mac 6, Mono Mac6, MONO-MAC 6, Mono-mac-6, MONO-MAC-6, MonoMac 6, MonoMac6, MONOMAC6"	"M"	"CVCL_1426"	14.142135623731	50	1.907482998
"MORCPR"	"lung"	"lung cancer"	"ACHILLES, CCLE"	"-666"	"RPMI-164 (Hyclone Cat.# SH327.2)"	"suspension"	"-666.00"	"ECACC"	"-666"	-666	"-666"	-666	"non small cell lung carcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"MORCPR_LUNG"	"-666"	"-666"	"CVCL_2620"	NA	NA	NA
"MOTN1"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"30-40"	"DSMZ"	"-666"	-666	"-666"	-666	"leukemia"	"-666"	"-666"	"-666"	NA	"-666"	"MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MOTN1"	"F"	"CVCL_2127"	7.77817459305202	29.5	NA
"MPP89"	"lung"	"lung cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM (Hyclone Cat.# SH322.2)"	"adherent"	"36.00"	"ICLC"	"-666"	-666	"-666"	-666	"mesothelioma"	"-666"	"-666"	"-666"	NA	"mesothelioma"	"MPP89_PLEURA"	"MPP-89, MPP89"	"M"	"CVCL_1427"	NA	NA	2.301488446
"MSTO211H"	"lung"	"lung cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"72.00"	"ATCC"	"CRL-2081"	-666	"metastatic"	-666	"mesothelioma"	"62"	"Caucasian"	"pleural_effusion"	NA	"mesothelioma"	"MSTO211H_PLEURA"	"211H, MSTO-211, MSTO-211 H, MSTO211H"	"M"	"CVCL_1430"	NA	35	3.48918453
"MUTZ3"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"60% alpha-MEM (with ribo- and deoxyribonucleosides) + 20% h.i. FBS + 20% vol conditioned medium of cell line 5637 (DSM ACC 35) or purified cytokine"	"-666"	"90-110"	"DSMZ"	"-666"	-666	"-666"	-666	"acute myelogenous leukemia (aml)"	"-666"	"-666"	"-666"	NA	"-666"	"MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"Mutz-3, Mutz3, MUTZ3"	"M"	"CVCL_1433"	7.07106781186548	105	NA
"MUTZ5"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"70-100"	"DSMZ"	"-666"	-666	"reccurrent"	-666	"acute lymphoblastic leukemia (all)"	"-666"	"-666"	"-666"	NA	"-666"	"MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"Mutz-5, MUTZ5"	"M"	"CVCL_1873"	NA	85	NA
"MV411"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"ACHILLES, CCLE"	"-666"	"DMEM ATCC catalog # 3-22"	"suspension"	"50.00"	"ATCC"	"CRL-9591"	-666	"-666"	-666	"acute myelogenous leukemia (aml)"	"10"	"unknown"	"-666"	NA	"-666"	"MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"11, MV 4, MV-4-11, MV-4:11, MV4, MV4:11, MV411, MV4II"	"M"	"CVCL_0064"	12.7279220613579	41	2.012127396
"M059K"	"central_nervous_system"	"brain cancer"	"ACHILLES, CCLE, PRISM-PR300"	"-666"	"DMEM/F12 (Hyclone Cat.# SH323.1)"	"adherent"	">120"	"ATCC"	"CRL-2365"	-666	"primary"	-666	"astrocytoma, glioblastoma"	"33"	"unknown"	"-666"	NA	"glioma"	"M059K_CENTRAL_NERVOUS_SYSTEM"	"-666"	"M"	"CVCL_0401"	NA	NA	NA
