"Cell iname"	"Cell lineage"	"Primary disease"	"Collection"	"Cell type"	"Growth medium"	"Growth pattern"	"Doubling time"	"Provider name"	"Provider catalog ID"	"Donor disease age of onset"	"Donor tumor phase"	"Donor age of death"	"Subtype"	"Donor age"	"Donor ethnicity"	"Metastatic site"	"Comments"	"Cell histology"	"CCLE name"	"Alias"	"Donor sex"	"Cellosaurus ID"	"Cellosaurus Doubling time sd"	"Cellosaurus Doubling time"	"ploidy"
"JHESOAD1"	"oesophagus"	"esophageal cancer"	"CCLE"	"-666"	"-666"	"adherent"	"20.00"	"-666"	"-666"	-666	"-666"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"-666"	"JHESOAD1_OESOPHAGUS"	"JHesoAD1, JHEsoAD1, JHESOAD1"	"M"	"CVCL_8098"	6.36396103067893	24.5	NA
"JHH1"	"liver"	"liver cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"William's E Medium Invitrogen catalog # 12551"	"adherent"	"60.00"	"HSRRB"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"unknown"	"-666"	NA	"carcinoma"	"JHH1_LIVER"	"-666"	"unknown"	"CVCL_2785"	1.4142135623731	54	3.77649252
"JHH2"	"liver"	"liver cancer"	"CCLE"	"-666"	"EMEM ATCC catalog # 3-23"	"adherent"	">120"	"HSRRB"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"unknown"	"ascites"	NA	"carcinoma"	"JHH2_LIVER"	"Jhh-2, JHH2"	"M"	"CVCL_2786"	10.2102889283311	48	NA
"JHH4"	"liver"	"liver cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"EMEM ATCC catalog # 3-23"	"adherent"	"48.00"	"HSRRB"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"unknown"	"-666"	NA	"carcinoma"	"JHH4_LIVER"	"Jhh-4, JHH4"	"M"	"CVCL_2787"	NA	40.5	NA
"JHH5"	"liver"	"liver cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"William's E Medium Invitrogen catalog # 12551"	"adherent"	"48.00"	"HSRRB"	"-666"	-666	"primary"	-666	"carcinoma"	"50"	"Japanese"	"-666"	NA	"carcinoma"	"JHH5_LIVER"	"CVCL_0263, FLC-5, FLC5, Functional Liver Cell-5, Jhh-5, JHH5"	"M"	"CVCL_0364"	5.65685424949238	44	NA
"JHH6"	"liver"	"liver cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"William's E medium"	"adherent"	"36.00"	"HSRRB"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"-666"	"JHH6_LIVER"	"Jhh-6, JHH6"	"F"	"CVCL_2788"	6.36396103067893	25.5	3.049643317
"JHH7"	"liver"	"liver cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"Williams E Invitrogen catalog # 12551"	"adherent"	"96.00"	"HSRRB"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"unknown"	"-666"	NA	"-666"	"JHH7_LIVER"	"FLC-7, FLC7, Functional Liver Cell-7, Jhh-7, JHH7"	"M"	"CVCL_2805"	2.08166599946613	29	2.983507404
"JHOC5"	"ovary"	"ovarian cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM:HamF12=1:1 + 1% FBS"	"adherent"	"36.00"	"RIKEN"	"-666"	-666	"-666"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"JHOC5_OVARY"	"JHOC5"	"F"	"CVCL_4640"	15.556349186104	41	NA
"JHOM1"	"ovary"	"ovarian cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM:F12 + 1% FBS"	"adherent"	"48.00"	"RIKEN"	"-666"	-666	"-666"	-666	"adenocarcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"JHOM1_OVARY"	"JHOM1"	"F"	"CVCL_4644"	NA	60	NA
"JHOM2B"	"ovary"	"ovarian cancer"	"CCLE"	"-666"	"DMEM:F12 + 1% FBS"	"adherent"	"-666.00"	"RIKEN"	"-666"	-666	"-666"	-666	"adenocarcinoma"	"-666"	"-666"	"-666"	NA	"-666"	"JHOM2B_OVARY"	"JHOM2B"	"F"	"CVCL_4645"	NA	NA	NA
