gene,gene_symbol,contrast_id,t_statistic,p_value,fdr,resolution_rank,retained_for_gsea,model_id
GRCm39-Dut,Dut,primary_adjacent_state,2.6417344682892083,0.008831668420045635,0.03731621826801459,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DUT,DUT,primary_adjacent_state,-4.492532281858459,1.1294104323208686e-5,0.0011777197747145079,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DUT-AS1,DUT-AS1,primary_adjacent_state,1.2170397320824566,0.22487424521273022,0.3636462353951682,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DUXAP8,DUXAP8,primary_adjacent_state,-0.9044768984979348,0.36671770677672944,0.5135058236013753,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DVL1,DVL1,primary_adjacent_state,0.21260951092158953,0.8318255795743802,0.8949837957088734,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dvl2,Dvl2,primary_adjacent_state,3.435846296126831,7.043084546015676e-4,0.00771274030436618,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DVL2,DVL2,primary_adjacent_state,0.5301361784350965,0.5965444560704787,0.7201460371679766,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DVL3,DVL3,primary_adjacent_state,0.32285738383662255,0.7471054703365667,0.8347930927628721,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dxo,Dxo,primary_adjacent_state,3.661030958351105,3.1362956542004396e-4,0.004996860689005647,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-DXO,DXO,primary_adjacent_state,0.09276153428149843,0.9261762101483935,0.9550707152248666,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Dym,Dym,primary_adjacent_state,2.4267741781033134,0.01602702225994569,0.056070344478305216,1,TRUE,ETP_reference_balanced_threshold_2_24
