gene,gene_symbol,contrast_id,fitted_log_expr_difference,average_expression,t_statistic,p_value,fdr,B,model_id
GRCh38-USP39,USP39,primary_adjacent_state,-0.19958176023208365,4.920813029238162,-2.6481468940255226,0.008670974919980508,0.03687427387673522,-3.263307394282889,ETP_reference_balanced_threshold_2_24
GRCm39-Fryl,Fryl,primary_adjacent_state,0.4509220846607833,0.5180444648110344,2.6478451712646267,0.008678476620230129,0.03690074989860273,-2.820885774780256,ETP_reference_balanced_threshold_2_24
GRCh38-NEXMIF,NEXMIF,primary_adjacent_state,0.43933412332583566,-0.06731092470647164,2.6477242479612944,0.008681484761979365,0.03690811440334664,-2.786830445107732,ETP_reference_balanced_threshold_2_24
GRCh38-CCL24,CCL24,primary_adjacent_state,0.4788040238327019,0.2847662659380034,2.647617236554133,0.008684147607658154,0.03691400898128882,-2.8001970868912216,ETP_reference_balanced_threshold_2_24
GRCh38-TNFRSF14-AS1,TNFRSF14-AS1,primary_adjacent_state,0.46313292020975805,0.31082499413826825,2.6474021255241396,0.008689502601382817,0.03693134375271034,-2.8131951529094343,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000274528,ENSG00000274528,primary_adjacent_state,0.4640217090060438,0.27937960982617444,2.6470020036421626,0.008699471175618027,0.036968278774790565,-2.800370834720631,ETP_reference_balanced_threshold_2_24
GRCh38-HCG9,HCG9,primary_adjacent_state,0.4387288255483612,0.04774838830210307,2.6467035841422812,0.008706912649766889,0.036994465646622295,-2.7941509737274806,ETP_reference_balanced_threshold_2_24
GRCm39-Tlcd4,Tlcd4,primary_adjacent_state,0.42936147315818707,0.08199395588332843,2.646229769329824,0.008718739597174159,0.03703927535685532,-2.79845133658475,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000242553,ENSG00000242553,primary_adjacent_state,0.4938714646801844,0.8717541643886162,2.6454436131234957,0.00873839482264541,0.03711402731404527,-2.846226114674346,ETP_reference_balanced_threshold_2_24
GRCm39-Rasgrp2,Rasgrp2,primary_adjacent_state,0.4348914727297384,0.11712781020386565,2.6454007807461553,0.008739466848191818,0.03711402731404527,-2.804017218553531,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000262380,ENSG00000262380,primary_adjacent_state,0.45704058838557077,0.11890219652984413,2.6453720768293656,0.008740185327292798,0.03711402731404527,-2.798979898073437,ETP_reference_balanced_threshold_2_24
GRCm39-Klhl5,Klhl5,primary_adjacent_state,0.4188958466760868,0.24382982595210695,2.6452100422301585,0.008744242163283913,0.037125803265780584,-2.8082219079141626,ETP_reference_balanced_threshold_2_24
GRCm39-Zbtb43,Zbtb43,primary_adjacent_state,0.4537385000963477,0.13477139229405527,2.644786166048287,0.008754862700702248,0.03715517501420892,-2.8039418536669727,ETP_reference_balanced_threshold_2_24
GRCh38-MIR137HG,MIR137HG,primary_adjacent_state,0.5126412741246209,1.2702504291728731,2.6450678028641943,0.008755207421405939,0.03715517501420892,-2.892886285754056,ETP_reference_balanced_threshold_2_24
GRCh38-HAUS8,HAUS8,primary_adjacent_state,-0.23732566753431453,4.578135788106881,-2.6446906778991326,0.008757256829187314,0.03715517501420892,-3.2200081419047617,ETP_reference_balanced_threshold_2_24
