direction	metric	cancer_type	category_label	pvalue
low_ploidy_sensitive	Z_SCORE	SKCM	p53/MDM2 pathway	0.71
low_ploidy_sensitive	Z_SCORE	SKCM	Hormone therapy	0.453333333333333
low_ploidy_sensitive	Z_SCORE	DLBC	Kinase inhibitors	0
low_ploidy_sensitive	Z_SCORE	DLBC	Epigenetic inhibitors	0.42
low_ploidy_sensitive	Z_SCORE	DLBC	Other	0.986666666666667
low_ploidy_sensitive	Z_SCORE	DLBC	DNA damage repair inhibitors	0.636666666666667
low_ploidy_sensitive	Z_SCORE	DLBC	Metabolic/redox agents	0.77
low_ploidy_sensitive	Z_SCORE	DLBC	Proapoptotic agents	0.123333333333333
low_ploidy_sensitive	Z_SCORE	DLBC	WNT/HH pathway inhibitors	0.413333333333333
low_ploidy_sensitive	Z_SCORE	DLBC	Chemotherapy agents	0.976666666666667
low_ploidy_sensitive	Z_SCORE	DLBC	Chaperone/protein-homeostasis inhibitors	0.306666666666667
low_ploidy_sensitive	Z_SCORE	DLBC	p53/MDM2 pathway	0.603333333333333
low_ploidy_sensitive	Z_SCORE	DLBC	Hormone therapy	0.343333333333333
low_ploidy_sensitive	Z_SCORE	LUAD	Kinase inhibitors	0.636666666666667
low_ploidy_sensitive	Z_SCORE	LUAD	Epigenetic inhibitors	0.14
low_ploidy_sensitive	Z_SCORE	LUAD	Other	0.04
low_ploidy_sensitive	Z_SCORE	LUAD	DNA damage repair inhibitors	0.406666666666667
low_ploidy_sensitive	Z_SCORE	LUAD	Metabolic/redox agents	0.16
low_ploidy_sensitive	Z_SCORE	LUAD	Proapoptotic agents	0.88
low_ploidy_sensitive	Z_SCORE	LUAD	WNT/HH pathway inhibitors	0.203333333333333
low_ploidy_sensitive	Z_SCORE	LUAD	Chemotherapy agents	1
low_ploidy_sensitive	Z_SCORE	LUAD	Chaperone/protein-homeostasis inhibitors	0.186666666666667
low_ploidy_sensitive	Z_SCORE	LUAD	p53/MDM2 pathway	0.516666666666667
low_ploidy_sensitive	Z_SCORE	LUAD	Hormone therapy	0.74
low_ploidy_sensitive	Z_SCORE	ALL	Kinase inhibitors	0.996666666666667
low_ploidy_sensitive	Z_SCORE	ALL	Epigenetic inhibitors	0.976666666666667
low_ploidy_sensitive	Z_SCORE	ALL	Other	0
low_ploidy_sensitive	Z_SCORE	ALL	DNA damage repair inhibitors	0.416666666666667
low_ploidy_sensitive	Z_SCORE	ALL	Metabolic/redox agents	0.59
low_ploidy_sensitive	Z_SCORE	ALL	Proapoptotic agents	0.186666666666667
low_ploidy_sensitive	Z_SCORE	ALL	WNT/HH pathway inhibitors	0.363333333333333
low_ploidy_sensitive	Z_SCORE	ALL	Chemotherapy agents	0
low_ploidy_sensitive	Z_SCORE	ALL	Chaperone/protein-homeostasis inhibitors	0.726666666666667
low_ploidy_sensitive	Z_SCORE	ALL	p53/MDM2 pathway	0.976666666666667
low_ploidy_sensitive	Z_SCORE	ALL	Hormone therapy	0.446666666666667
low_ploidy_sensitive	Z_SCORE	MM	Kinase inhibitors	0.24
low_ploidy_sensitive	Z_SCORE	MM	Epigenetic inhibitors	0.576666666666667
low_ploidy_sensitive	Z_SCORE	MM	Other	0.623333333333333
low_ploidy_sensitive	Z_SCORE	MM	DNA damage repair inhibitors	0.436666666666667
low_ploidy_sensitive	Z_SCORE	MM	Metabolic/redox agents	0.986666666666667
low_ploidy_sensitive	Z_SCORE	MM	Proapoptotic agents	0.0933333333333333
low_ploidy_sensitive	Z_SCORE	MM	WNT/HH pathway inhibitors	0.276666666666667
low_ploidy_sensitive	Z_SCORE	MM	Chemotherapy agents	0.16
low_ploidy_sensitive	Z_SCORE	MM	Chaperone/protein-homeostasis inhibitors	0.12
low_ploidy_sensitive	Z_SCORE	MM	p53/MDM2 pathway	0.463333333333333
low_ploidy_sensitive	Z_SCORE	MM	Hormone therapy	0.53
low_ploidy_sensitive	Z_SCORE	PAAD	Kinase inhibitors	0.0933333333333333
low_ploidy_sensitive	Z_SCORE	PAAD	Epigenetic inhibitors	0.456666666666667
low_ploidy_sensitive	Z_SCORE	PAAD	Other	0.48
low_ploidy_sensitive	Z_SCORE	PAAD	DNA damage repair inhibitors	0.916666666666667
low_ploidy_sensitive	Z_SCORE	PAAD	Metabolic/redox agents	1
