cancer_type	direction	drug	correlation_value	category_label	primary_anticancer_class
KIRC	high_ploidy_sensitive	ALPHA-LIPOIC ACID	0.56457300908126	Metabolic/redox agents	Metabolic/redox agents
KIRC	high_ploidy_sensitive	GW441756	0.559458899760577	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	EPZ004777	0.555039186621853	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	RAPAMYCIN	0.545442583029824	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	UPROSERTIB	0.540750647433239	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	VINORELBINE	0.533076023463443	Chemotherapy agents	Antimitotic agents
KIRC	high_ploidy_sensitive	ENTOSPLETINIB	0.532254490938847	Kinase inhibitors	Non-receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	P22077	0.529845070147003	p53/MDM2 pathway	p53/MDM2 pathway
KIRC	high_ploidy_sensitive	SAVOLITINIB	0.528087258274964	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	UNC0638	0.515535283115605	Epigenetic inhibitors	Epigenetic inhibitors
KIRC	high_ploidy_sensitive	THR-101	0.51439250695337	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	AZD5582	0.513074454454837	Proapoptotic agents	Proapoptotic agents
KIRC	high_ploidy_sensitive	IAP_5620	0.507764942759062	Proapoptotic agents	Proapoptotic agents
KIRC	high_ploidy_sensitive	150412	0.48955643397632	Other	Other
KIRC	high_ploidy_sensitive	TEMOZOLOMIDE	0.487771787733197	Chemotherapy agents	Alkylating agents
KIRC	high_ploidy_sensitive	ML323	0.481790100963922	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
KIRC	high_ploidy_sensitive	AZD4547	0.479580801283669	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	TELOMERASE INHIBITOR IX	0.478072588296411	Other	Other
KIRC	high_ploidy_sensitive	GDC0810	0.475532466498775	Hormone therapy	Hormone therapy
KIRC	high_ploidy_sensitive	LUMINESPIB	0.474692332385998	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
KIRC	high_ploidy_sensitive	JNK INHIBITOR VIII	0.474253299099005	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	TEMSIROLIMUS	0.473464724588246	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	LMB_AB1	0.472649767900954	Other	Other
KIRC	high_ploidy_sensitive	DOCETAXEL	0.471902402198456	Chemotherapy agents	Antimitotic agents
KIRC	high_ploidy_sensitive	AXITINIB	0.469466513675328	Kinase inhibitors	Receptor tyrosine kinase inhibitors
KIRC	high_ploidy_sensitive	SB590885	0.460209782238605	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	ZOLEDRONATE	0.453890960796218	Other	Other
KIRC	high_ploidy_sensitive	AZD1208	0.453255529950824	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	PACLITAXEL	0.450502210317919	Chemotherapy agents	Antimitotic agents
KIRC	high_ploidy_sensitive	GSK626616AC	0.448714044794818	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	VX-11E	0.447187484712992	Kinase inhibitors	Serine/threonine kinase inhibitors
KIRC	high_ploidy_sensitive	LMB_AB3	0.446581963135872	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
KIRC	high_ploidy_sensitive	AZD8186	0.44647765136402	Epigenetic inhibitors	Epigenetic inhibitors
