Cell iname	Cell lineage	Primary disease	Collection	Cell type	Growth medium	Growth pattern	Doubling time	Provider name	Provider catalog ID	Donor disease age of onset	Donor tumor phase	Donor age of death	Subtype	Donor age	Donor ethnicity	Metastatic site	Comments	Cell histology	CCLE name	Alias	Donor sex	Cellosaurus ID	Cellosaurus Doubling time sd	Cellosaurus Doubling time
GA10CLONE4	haematopoietic_and_lymphoid_tissue	lymphoma		-666	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001	suspension	24.00	ATCC	CRL-2393	-666	-666	-666	b-cell lymphoma	41	Caucasian	-666	NA	-666	-666	GA-10 (Clone 4), GA-10-Clone-4	M	CVCL_1224	NA	NA
GB1	central_nervous_system	brain cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	EMEM ATCC catalog # 3-23	adherent	48.00	HSRRB	-666	-666	primary	-666	astrocytoma, glioblastoma	-666	-666	-666	NA	glioma	GB1_CENTRAL_NERVOUS_SYSTEM	GB1	M	CVCL_1227	0.707106781186548	35.5
GCHNUYS	endometrium	endometrial cancer		-666	Eagle's MEM with 10 % fetal calf serum.	-666	35.00	JCRB	JCRB1201	-666	-666	-666	choriocarcinoma	-666	-666	-666	NA	-666	-666	-666	F	CVCL_2910	NA	35
GCIY	stomach	gastric cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	MEM (Invitrogen catalogue #12571-63)	adherent	36.00	RIKEN	-666	-666	primary	-666	carcinoma	-666	-666	-666	NA	-666	GCIY_STOMACH	-666	F	CVCL_1228	3.53553390593274	57.5
GCT	soft_tissue	soft tissue cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	McCoy's 5A ATCC catalog # 3-27	adherent	60.00	ATCC	TIB-223	-666	metastatic	-666	histiocytoma	29	-666	lung	NA	malignant_fibrous_histiocytoma_pleomorphic_sarcoma	GCT_SOFT_TISSUE	Giant cell tumor	M	CVCL_1229	NA	NA
GDM1	haematopoietic_and_lymphoid_tissue	leukemia	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	40-50	ATCC	CRL-2627	-666	-666	-666	acute myelogenous leukemia (aml)	66-67	Caucasian	-666	NA	-666	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1	F	CVCL_1230	6.36396103067893	49.5
GFD8	haematopoietic_and_lymphoid_tissue	leukemia		-666	70% RPMI 1640 + 20% h.i. FBS + 10% vol conditioned medium of cell line 5637 (DSM ACC 35) (or 50 ng/ml of human recombinant GM-CSF)	suspension	48-72	DSMZ	-666	-666	-666	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	-666	GFD8	M	CVCL_0272	NA	60
GH329	cervix	cervical cancer		-666	ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002	adherent	-666.00	ATCC	CRL-13002	-666	-666	-666	adenocarcinoma	-666	-666	-666	NA	-666	-666	GH-3-29	F	CVCL_6395	NA	NA
GH354	cervix	cervical cancer		-666	ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002	adherent	-666.00	ATCC	CRL-13003	-666	-666	-666	adenocarcinoma	31	Black	-666	NA	-666	-666	GH-3-54	F	CVCL_6396	NA	NA
GICAN	central_nervous_system	brain cancer		-666	-666	-666	-666.00	ICLC	HTL96025	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	Gaslini Institute-CA-Neuroblastoma, Gi-CA-N, GICAN	M	CVCL_3369	NA	NA
GILIN	central_nervous_system	brain cancer		-666	-666	-666	-666.00	ICLC	HTL96013	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	Gaslini Institute-LI-Neuroblastoma, Gi-Li-N, GILIN	M	CVCL_3370	NA	NA
GIMEN	autonomic_ganglia	brain cancer		-666	90% RPMI 1640 + 10% h.i. FBS	adherent	24.00	ICLC	-666	-666	metastatic	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	Gaslini Institute-ME-Neuroblastoma, Gi-ME-N, Gimen, GIMEN, Gimen1	F	CVCL_1232	NA	24
GIRARDIHEART	cervix	cervical cancer		-666	EMEM (EBSS) + 2mM Glutamine + 1% Non Essential Amino Acids (NEAA) + 10% Foetal Bovine Serum (FBS).	-666	-666.00	ECACC	93120822	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	Girardi heart, GIRARDI HEART	F	CVCL_2254	NA	NA
GI1	central_nervous_system	brain cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	DMEM (Hyclone Cat.# SH322.2)	adherent	48.00	RIKEN	-666	-666	primary	-666	glioblastoma	-666	-666	-666	NA	glioma	GI1_CENTRAL_NERVOUS_SYSTEM	-666	M	CVCL_1231	NA	18
GLC82	lung	lung cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	adenocarcinoma	-666	-666	-666	NA	-666	-666	Gejiu Lung Carcinoma-82, Glc-82, GLC82	F	CVCL_3371	NA	NA
GLOMOTEL	skin	other		-666	-666	-666	-666.00	ATCC	CRL-2597	-666	-666	-666	glomangioma	-666	-666	-666	NA	-666	-666	Glomotel	M	CVCL_3473	NA	NA
GMS10	central_nervous_system	brain cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	MEM (Invitrogen catalogue #12571-63)	adherent	60.00	DSMZ	-666	-666	primary	-666	astrocytoma, glioblastoma	-666	-666	-666	NA	glioma	GMS10_CENTRAL_NERVOUS_SYSTEM	GMS10	M	CVCL_1233	8.48528137423857	66
GOS3	central_nervous_system	brain cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	DMEM (Hyclone Cat.# SH322.2)	adherent	72.00	DSMZ	-666	-666	primary	-666	astrocytoma, oligodendroglioma	-666	-666	-666	NA	glioma	GOS3_CENTRAL_NERVOUS_SYSTEM	GOS3	M	CVCL_2050	NA	50
GOTO	autonomic_ganglia	brain cancer		-666	-666	-666	48.00	JCRB	-666	-666	-666	-666	neuroblastoma	-666	Japanese	-666	NA	-666	-666	-666	M	CVCL_1234	NA	48
GP2D	large_intestine	colon cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	DMEM:F12(1:1)+ 1% FBS	adherent	84.00	ECACC	-666	-666	recurrent	-666	adenocarcinoma	-666	unknown	-666	NA	-666	GP2D_LARGE_INTESTINE	Gp2d, Gp2D, GP2D	F	CVCL_2450	NA	27
GP5D	large_intestine	colon cancer		-666	-666	adherent	27.00	ECACC	-666	-666	recurrent	-666	carcinoma	-666	Caucasian	-666	NA	-666	-666	Gp5d, Gp5D, GP5D	F	CVCL_1235	NA	NA
GRANTA519	haematopoietic_and_lymphoid_tissue	lymphoma	CCLE, PRISM-PR300, PRISM-SUSP	-666	DMEM ATCC catalog # 3-22	suspension	49.00	DSMZ	-666	-666	primary	-666	b-cell lymphoma	58	Caucasian	-666	NA	-666	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	G519, Granta 519, GRANTA-519, Granta519, GRANTA519	F	CVCL_1818	NA	48
GRM	skin	skin cancer	CCLE	-666	RPMI 1640 + 2mM Glutamine + 10% Heated Inactivated Foetal Bovine Serum (HI-FBS)	adherent	-666.00	ECACC	-666	-666	metastatic	-666	melanoma	36	-666	-666	NA	-666	GRM_SKIN	GRM	M	CVCL_2451	NA	NA
GRST	haematopoietic_and_lymphoid_tissue	leukemia		-666	-666	-666	-666.00	RIKEN	-666	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	-666	M	CVCL_1236	NA	NA
GSS	stomach	gastric cancer	ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164+ 1% FBS	suspension	-666.00	RIKEN	-666	-666	-666	-666	adenocarcinoma	-666	-666	-666	NA	carcinoma	GSS_STOMACH	-666	M	CVCL_8876	NA	NA
GSU	stomach	gastric cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300	-666	RPMI-164+ 1% FBS	adherent	84.00	RIKEN	-666	-666	-666	-666	adenocarcinoma	-666	-666	-666	NA	carcinoma	GSU_STOMACH	-666	M	CVCL_8877	NA	NA
GS109V20	soft_tissue	colon cancer		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	-666.00	ECACC	90110505	-666	-666	-666	gardner's syndrome	-666	Caucasian	-666	NA	-666	-666	-666	M	CVCL_2453	NA	NA
GS109V34	soft_tissue	colon cancer		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	-666.00	ECACC	90110504	-666	-666	-666	gardner's syndrome	-666	Caucasian	-666	NA	-666	-666	-666	F	CVCL_2455	NA	NA
GS109V63	soft_tissue	colon cancer		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	-666.00	ECACC	90110503	-666	-666	-666	gardner's syndrome	-666	Caucasian	-666	NA	-666	-666	G96	M	CVCL_2456	NA	NA
GS33JTO	soft_tissue	colon cancer		-666	-666	-666	-666.00	JCRB	JCRB0322	-666	-666	-666	gardner's syndrome	-666	-666	-666	NA	-666	-666	-666	M	CVCL_2912	NA	NA
GS7OJTO	soft_tissue	colon cancer		-666	-666	-666	-666.00	JCRB	JCRB0323	-666	-666	-666	gardner's syndrome	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2913	NA	NA
GTEXF	skin	normal skin sample		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	normal skin sample	-666	-666	-666	NA	-666	-666	HUMAN GENOTYPE-TISSUE EXPRESSION (GTEX) FIBROBLAST CELLS	-666	-666	NA	NA
GTL16	stomach	gastric cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	62	unknown	-666	NA	-666	-666	GTL 16, GTL16	F	CVCL_7668	NA	NA
GT3TKB	stomach	lung cancer		-666	-666	-666	-666.00	RIKEN	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	-666	M	CVCL_1237	NA	NA
GUMBUS	haematopoietic_and_lymphoid_tissue	lymphoma		-666	95% RPMI 1640 + 5% h.i. FBS	suspension	48.00	DSMZ	-666	-666	recurrent	-666	b-cell lymphoma	-666	Caucasian	-666	NA	-666	-666	Gumbus	M	CVCL_2051	NA	48
G111	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioblastoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N739	NA	NA
G112	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioblastoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N740	NA	NA
G118	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N741	NA	NA
G120	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioblastoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N742	NA	NA
G121	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioblastoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N743	NA	NA
G122	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioblastoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N744	NA	NA
G124	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	astrocytoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N746	NA	NA
G130	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N747	NA	NA
G140	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N748	NA	NA
G141	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioblastoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N749	NA	NA
G142	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioblastoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N750	NA	NA
G22	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	astrocytoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N723	NA	NA
G28T	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	gliosarcoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_0V15	NA	NA
G292CLONEA141B1	bone	bone cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	ATCC-formulated McCoy's 5a Medium Modified, Catalog No. 30-2007	adherent	48.00	ATCC	CRL-1423	-666	primary	-666	osteosarcoma	9	-666	-666	NA	osteosarcoma	G292CLONEA141B1_BONE	clone A141B1, G 292 Clone A 141B1, G-292, G292	F	CVCL_2909	NA	NA
G361	skin	skin cancer	CCLE, CMAP, PRISM-HURON, PRISM-PR500	-666	McCoy's 5A Invitrogen catalog # 166-82	adherent	24.00	ATCC	CRL-1424	-666	primary	-666	melanoma	31	Caucasian	-666	NA	malignant_melanoma	G361_SKIN	G361, G361-mel, G361mel	M	CVCL_1220	NA	NA
G401	soft_tissue	kidney cancer	CCLE, CMAP, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	McCoys5A	adherent	48.00	ATCC	CRL-1441	-666	primary	-666	carcinoma	3 months	Caucasian	-666	NA	rhabdoid_tumor	G401_SOFT_TISSUE	G 401, G401	M	CVCL_0270	NA	NA
G402	soft_tissue	kidney cancer	CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	McCoy's 5A ATCC catalog # 3-27	adherent	36.00	ATCC	CRL-1440	-666	primary	-666	renal leiomyoblastoma	9, 9 months	Caucasian	-666	NA	rhabdoid_tumor	G402_SOFT_TISSUE	G402	F	CVCL_1221	NA	NA
G44	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N727	NA	NA
G59	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N729	NA	NA
G61	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	glioma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N731	NA	NA
G84	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	astrocytoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N735	NA	NA
G96	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	astrocytoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_N736	NA	NA
HAL01	haematopoietic_and_lymphoid_tissue	leukemia		-666	90% RPMI 1640 + 10% h.i. FBS	mix	32.00	RIKEN	-666	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	HAL-1, HAL01	F	CVCL_1242	11.3137084989848	40
HARA	lung	lung cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 (Hyclone Cat.# SH327.2)	adherent	60.00	HSRRB	-666	-666	-666	-666	non small cell lung carcinoma	-666	-666	-666	NA	carcinoma	HARA_LUNG	-666	-666	CVCL_2914	NA	NA
HA1E	kidney	normal kidney sample	CMAP, L10, PRISM-PR300	normal	MEM-ALPHA (Invitrogen A1049001) supplemented with 10% v/v fetal bovine serum (Sigma F4135) and 1% 100X penicillin-streptomycin-glutamine (Invitrogen 10378-016)	adherent	60.00	-666	-666	-666	-666	-666	normal kidney sample	-666	-666	-666	NA	-666	HA1E_KIDNEY	-666	-666	-666	NA	NA
HA7RCC	kidney	kidney cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	-666	M	CVCL_1241	NA	NA
HBEC2	lung	normal lung sample		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	normal lung epithelium sample	-666	-666	-666	NA	-666	-666	-666	-666	-666	NA	NA
HBEC3	lung	normal lung sample		-666	-666	adherent	38-46	-666	-666	-666	-666	-666	normal lung epithelium sample	-666	-666	-666	NA	-666	-666	-666	-666	-666	NA	NA
HBL1	haematopoietic_and_lymphoid_tissue	lymphoma	CMAP	-666	-666	-666	48.00	-666	-666	-666	-666	-666	lymphoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_4213	NA	48
HBL100	breast	breast cancer		-666	-666	adherent	36.00	-666	-666	-666	-666	-666	carcinoma	27	Caucasian	-666	NA	-666	-666	HBL 100, HBL100	F, M	CVCL_4362	NA	36
HBL2	haematopoietic_and_lymphoid_tissue	lymphoma		-666	-666	adherent	36.00	-666	-666	-666	-666	-666	lymphoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_4216	NA	36
HCA1	endometrium	cervical cancer		-666	Eagle's minimal essential medium with 10% calf serum	-666	-666.00	JCRB	JCRB1153	-666	-666	-666	adenocarcinoma	-666	-666	-666	NA	-666	-666	HCA-1	F	CVCL_2916	NA	NA
HCA7	large_intestine	colon cancer		-666	DMEM + 2mM Glutamine + 10% Foetal Bovine Serum (FBS)	adherent	36.00	-666	-666	-666	primary	-666	carcinoma	58	unknown	-666	NA	-666	-666	HCA-7	F	CVCL_0289	NA	NA
HCC1008	breast	breast cancer		-666	HITES medium supplemented with 10% fetal bovine serum.The base medium for this cell line is ATCC-formulated DMEM:F12 Medium Catalog No.30-2006	adherent	-666.00	ATCC	CRL-2320	-666	metastatic	-666	carcinoma	67	Black	lymph_node	NA	-666	-666	-666	F	CVCL_1244	NA	NA
HCC1011	kidney	kidney cancer, liver cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	37	-666	-666	NA	-666	-666	-666	M	CVCL_V675	NA	NA
HCC1143	breast	breast cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 ATCC catalog # 3-21	adherent	60.00	ATCC	CRL-2321	-666	primary	-666	carcinoma	52	Caucasian	-666	NA	carcinoma	HCC1143_BREAST	HCC-1143	F	CVCL_1245	NA	52.5
HCC1162	endometrium	endometrial cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	unknown	-666	NA	-666	-666	-666	F	CVCL_V651	NA	NA
HCC1171	lung	lung cancer	CCLE	-666	RPMI-164 Invitrogen catalog # 11875	mix	>120	KCLB	-666	-666	-666	-666	non small cell lung carcinoma	-666	unknown	-666	NA	carcinoma	HCC1171_LUNG	HCC-1171	M	CVCL_5126	NA	NA
HCC1187	breast	breast cancer	CCLE	-666	RPMI-164 ATCC catalog # 3-21	mix	-666.00	ATCC	CRL-2322	-666	primary	-666	carcinoma	41	Caucasian	soft tissue	NA	-666	HCC1187_BREAST	HCC-1187	F	CVCL_1247	NA	100
HCC1195	lung	lung cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875	mix	60.00	KCLB	-666	-666	-666	-666	non small cell lung carcinoma	-666	-666	-666	NA	carcinoma	HCC1195_LUNG	HCC-1195	M	CVCL_5127	NA	NA
HCC12	kidney	kidney cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	45	unknown	-666	NA	-666	-666	1.2, 3p, 3P, HCC1.2	F, M	CVCL_0C53	NA	NA
HCC1263	large_intestine	colon cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	20	Black	-666	NA	-666	-666	-666	F	CVCL_V686	NA	NA
HCC1319	kidney	kidney cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	68	-666	-666	NA	-666	-666	-666	M	CVCL_V671	NA	NA
HCC1359	lung	lung cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875	adherent	48.00	KCLB	-666	-666	-666	-666	non small cell lung carcinoma	-666	unknown	-666	NA	-666	HCC1359_LUNG	HCC-1359	F	CVCL_5128	NA	NA
HCC1395	breast	breast cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300	-666	RPMI-164 ATCC catalog # 3-21	adherent	96.00	ATCC	CRL-2324	-666	primary	-666	carcinoma	43	Caucasian	-666	NA	carcinoma	HCC1395_BREAST	HCC-1395, SCC-1395	F	CVCL_1249	NA	72
HCC1419	breast	breast cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164	adherent	72.00	ATCC	CRL-2326	-666	primary	-666	carcinoma	42	Hispanic	-666	NA	carcinoma	HCC1419_BREAST	HCC-1419	F	CVCL_1251	NA	NA
HCC1428	breast	breast cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164	adherent	84.00	ATCC	CRL-2327	-666	metastatic	-666	adenocarcinoma	49	Caucasian	effusion, pleural, pleural_effusion	NA	carcinoma	HCC1428_BREAST	HCC-1428	F	CVCL_1252	NA	NA
HCC1438	lung	lung cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875	adherent	48.00	KCLB	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	carcinoma	HCC1438_LUNG	HCC-1438	M	CVCL_L088	NA	NA
HCC1482	endometrium	endometrial cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	62	-666	-666	NA	-666	-666	-666	F	CVCL_V591	NA	NA
HCC1493	breast	breast cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	43	unknown	-666	NA	-666	-666	-666	F, M	CVCL_V592	NA	NA
HCC15	lung	lung cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 (Hyclone Cat.# SH327.2)	adherent	48.00	DSMZ	-666	-666	primary	-666	non small cell lung carcinoma	48	unknown	-666	NA	carcinoma	HCC15_LUNG	HCC-15, HCC0015	M	CVCL_2057	NA	35
HCC1500	breast	breast cancer	CCLE	-666	RPMI-164	adherent	-666.00	ATCC	CRL-2329	-666	primary	-666	carcinoma	32	Black	-666	NA	carcinoma	HCC1500_BREAST	-666	F	CVCL_1254	NA	NA
HCC1534	lung	lung cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	unknown	-666	NA	-666	-666	-666	unknown	CVCL_V595	NA	NA
HCC1569	breast	breast cancer	CCLE	-666	RPMI-164 ATCC catalog # 3-21	mix	-666.00	ATCC	CRL-2330	-666	primary	-666	carcinoma	70	Black	-666	NA	carcinoma	HCC1569_BREAST	HCC-1569	F	CVCL_1255	NA	NA
HCC1576	central_nervous_system	brain cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	unknown	-666	NA	-666	-666	-666	M	CVCL_V597	NA	NA
HCC1588	lung	lung cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875	mix	60.00	KCLB	-666	-666	-666	-666	non small cell lung carcinoma	-666	-666	-666	NA	carcinoma	HCC1588_LUNG	HCC-1588	F	CVCL_A351	NA	NA
HCC1599	breast	breast cancer	CCLE	-666	RPMI-164	suspension	96-120	ATCC	CRL-2331	-666	primary	-666	carcinoma	44	Caucasian	-666	NA	-666	HCC1599_BREAST	HCC-1599	F	CVCL_1256	NA	108
HCC1806	breast	breast cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 ATCC catalog # 3-21	adherent	48.00	ATCC	CRL-2335	-666	primary	-666	carcinoma	60	Black	-666	NA	carcinoma	HCC1806_BREAST	HCC-1806, Hcc1806	F	CVCL_1258	NA	NA
HCC1833	lung	lung cancer	CCLE	-666	RPMI-164 Invitrogen catalog # 11875	adherent	-666.00	KCLB	-666	-666	-666	-666	non small cell lung carcinoma	-666	-666	-666	NA	carcinoma	HCC1833_LUNG	HCC-1833	F	CVCL_5129	NA	NA
HCC193	lung	lung cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	71	-666	-666	NA	-666	-666	HCC0193	F	CVCL_5130	NA	NA
HCC1937	breast	breast cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 ATCC catalog # 3-21	mix	96.00	ATCC	CRL-2336	-666	primary	-666	carcinoma	23	-666	soft tissue	NA	carcinoma	HCC1937_BREAST	HCC-1937	F	CVCL_0290	7.77817459305202	55.5
HCC1954	breast	breast cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR300	-666	RPMI-164 ATCC catalog # 3-21	adherent	96.00	ATCC	CRL-2338	-666	primary	-666	carcinoma	61	-666	soft tissue	NA	carcinoma	HCC1954_BREAST	HCC-1954	F	CVCL_1259	NA	45
HCC202	breast	breast cancer	ACHILLES, CCLE	-666	RPMI-164 ATCC catalog # 3-21	mix	-666.00	ATCC	CRL-2316	-666	primary	-666	carcinoma	82	Caucasian	-666	NA	carcinoma	HCC202_BREAST	HCC-202, HCC0202	F	CVCL_2062	NA	NA
HCC2108	lung	lung cancer	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 Invitrogen catalog # 11875	adherent	-666.00	KCLB	-666	-666	-666	-666	non small cell lung carcinoma	-666	-666	-666	NA	carcinoma	HCC2108_LUNG	HCC-2108	M	CVCL_A352	NA	NA
HCC2157	breast	breast cancer	CCLE	-666	RPMI-164 ATCC catalog # 3-21	suspension	48-72	ATCC	CRL-2340	-666	primary	-666	carcinoma	48	Black	-666	NA	-666	HCC2157_BREAST	-666	F	CVCL_1261	NA	NA
HCC2218	breast	breast cancer	CCLE	-666	RPMI-164 ATCC catalog # 3-21	suspension	120.00	ATCC	CRL-2343	-666	primary	-666	carcinoma	38	Caucasian	soft tissue	NA	-666	HCC2218_BREAST	HCC-2218	F	CVCL_1263	NA	120
HCC2270	lung	lung cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	64	-666	-666	NA	-666	-666	-666	F	CVCL_V635	NA	NA
HCC2279	lung	lung cancer	CCLE	-666	RPMI-164 Invitrogen catalog # 11875	mix	>120	KCLB	-666	-666	-666	-666	non small cell lung carcinoma	52	unknown	-666	NA	carcinoma	HCC2279_LUNG	HCC-2279	F	CVCL_5131	NA	NA
HCC2302	lung	lung cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	unknown	-666	NA	-666	-666	-666	M	CVCL_V636	NA	NA
HCC2373	lung	lung cancer		-666	RPMI1640 with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3, 90%; heat inactivated fetal bovine	-666	-666.00	-666	-666	-666	-666	-666	non small cell lung adenocarcinoma	-666	-666	-666	NA	-666	-666	HCC-2373	M	CVCL_L090	NA	NA
HCC2429	lung	lung cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	-666	F	CVCL_5132	NA	NA
HCC2450	lung	lung cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	-666	M	CVCL_5133	NA	NA
HCC2688	breast	breast cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	unknown	-666	NA	-666	-666	-666	F	CVCL_3376	NA	NA
HCC2814	lung	lung cancer	CCLE	-666	-666	adherent	24.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	HCC2814_LUNG	HCC-2814	M	CVCL_V586	NA	24
HCC2885	lung	lung cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	unknown	-666	NA	-666	-666	-666	M	CVCL_V588	NA	NA
