collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	selected_direction	selected_rank_within_direction	pseudotime	standardized_activity
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.2	0.215875271992438
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.202	0.233749427788831
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.204	0.251782499940795
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.206	0.269966200640703
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.208	0.288292242080929
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.21	0.306752336453845
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.212	0.325338195951825
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.214	0.344041532767242
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.216	0.362854059092469
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.218	0.381767487119878
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.22	0.400773529041843
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.222	0.419863897050737
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.224	0.439030303338933
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.226	0.458264460098805
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.228	0.477558079522724
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.23	0.496902873803065
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.232	0.5162905551322
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.234	0.535712835702502
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.236	0.555161427706346
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.238	0.574628043336102
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.24	0.594104394784146
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.242	0.613582194242849
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.244	0.633053153904585
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.246	0.652508985961726
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.248	0.671941402606647
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.25	0.69134211603172
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.252	0.710702838429318
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.254	0.730015281991814
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.256	0.749271158911581
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.258	0.768462181380992
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.26	0.787580061592421
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.262	0.806616511738241
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.264	0.825563244010824
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.266	0.844411970602543
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.268	0.863154403705772
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.27	0.881782255512885
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.272	0.900287238216252
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.274	0.918661064008249
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.276	0.936895445081248
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.278	0.954982093627622
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.28	0.972912721839744
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.282	0.990679041909987
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.284	1.00827276603072
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.286	1.02568560639433
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.288	1.04290927519317
