fig3h_group	ploidy_class	dose_response_label	analysis_cloneid_origin	origin_resolution_status	origin_resolution_distance_edges	origin	cloneID	profile_label	profile_size	db_size	weight_used	autosomal_ploidy	marker_chromosome_count	marker_chromosome_ploidy	clone_ploidy	state	alias	parent	sampleSource	rootID
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483985	SP_0.0499998_ID483985	0.0499998	0.0499998	0.0499998	2.84574543370965	11	0.621948793653903	3.46769422736355	7	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483972	SP_0.0500057_ID483972	0.0500057	0.0500057	0.0500057	2.35081136303123	12	0.390716222070814	2.74152758510204	13	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483984	SP_0.050022_ID483984	0.050022	0.050022	0.050022	2.33051615044756	13	0.589096889370172	2.91961303981773	6	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483978	SP_0.0500015_ID483978	0.0500015	0.0500015	0.0500015	2.77887144237597	12	0.737429160534788	3.51630060291076	19	HGC27-G1-A9	483988	HGC-27	483988
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483747	SP_0.0500029_ID483747	0.0500029	0.0500029	0.0500029	3.43321873026079	21	0.863013537733805	4.2962322679946	19 100.5x5.1.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483744	SP_0.0500042_ID483744	0.0500042	0.0500042	0.0500042	3.5097770657968	19	0.795873357503538	4.30565042330034	16 112x13.2.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483752	SP_0.0500006_ID483752	0.0500006	0.0500006	0.0500006	3.46735948610626	28	1.0743563698323	4.54171585593856	5 114x6.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483753	SP_0.0500048_ID483753	0.0500048	0.0500048	0.0500048	2.70553195371864	19	0.72543120678939	3.43096316050803	6 94x19.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483739	SP_0.0500055_ID483739	0.0500055	0.0500055	0.0500055	3.62031161655937	16	0.618353017443226	4.23866463400259	11 110x11.1	MDAMB231-O1-A23	483757	MDAMB231	483757
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	483740	SP_0.0500156_ID483740	0.0500156	0.0500156	0.0500156	3.20522617037199	26	0.986288331909265	4.19151450228125	12 108x12.1	MDAMB231-O1-A23	483757	MDAMB231	483757
