ID	Drug Name	Targets	Z Score	Count
"1813"	"Fludarabine"	""	".0034824251382729646"	"195"
"1563"	"EPZ5676"	"DOT1L"	".0086307523279093249"	"195"
"1720"	"AZD5991"	"MCL1"	".014619508130376116"	"195"
"1621"	"PCI-34051"	"HDAC8, HDAC6, HDAC1"	".02699801030388814"	"195"
"1578"	"Leflunomide"	"Pyrimidine synthesis inhibitor"	".037831497685095306"	"195"
"1806"	"Oxaliplatin"	"DNA alkylating agent"	".044822756730645535"	"195"
"1088"	"Irinotecan"	"TOP1"	".065297863812874571"	"195"
"1910"	"ABT737"	"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1"	".084344318941188198"	"195"
"1925"	"GDC0810"	"ESR1, ESR2"	".11285241156199173"	"195"
"1730"	"PAK_5339"	"PAK1, PAK2"	".12710817745290712"	"195"
"1549"	"Sapitinib"	"EGFR, ERBB2, ERBB3"	".13372486495360023"	"195"
"1627"	"GSK343"	"EZH2"	".14374156582088463"	"195"
"1932"	"NVP-ADW742"	"IGF1R"	".15848265578424806"	"195"
"1372"	"Trametinib"	"MEK1, MEK2"	".17069690653106573"	"195"
"1428"	"IAP_5620"	"IAP"	".17959545013739031"	"195"
"1997"	"WEHI-539"	"BCL-XL"	".18126518107570508"	"195"
"1507"	"Ruxolitinib"	"JAK1, JAK2"	".20474351438666424"	"195"
"1632"	"Ribociclib"	"CDK4, CDK6"	".22079145463115013"	"195"
"2047"	"Ulixertinib"	"ERK1, ERK2"	".22905295531500794"	"195"
"1830"	"Gallibiscoquinazole"	""	".26024886117024243"	"195"
"1714"	"ERK_6604"	"ERK1,ERK2"	".28737486414657398"	"195"
"1005"	"Cisplatin"	"DNA crosslinker"	".29819246790977266"	"195"
"1054"	"Palbociclib"	"CDK4, CDK6"	".3082068471816457"	"195"
"1718"	"JAK1_8709"	"JAK1"	".32247633321383046"	"195"
"1511"	"Epirubicin"	"Anthracycline"	".33804135187051937"	"195"
"1915"	"AZD3759"	"EGFR"	".33920274839009784"	"195"
"1936"	"Savolitinib"	"MET"	".38866615386157233"	"195"
"1268"	"XAV939"	"TNKS1, TNKS2"	".39429476392100488"	"195"
"1557"	"LCL161"	"XIAP, IAP1, IAP2"	".42002066452721898"	"195"
"1010"	"Gefitinib"	"EGFR"	".42238860414458557"	"195"
"1933"	"P22077"	"USP7, USP47"	".43171178985322772"	"195"
"2043"	"BIBR-1532"	"TERT"	".44119227407712897"	"195"
"1629"	"ML323"	"USP1, UAF1"	".46270409707686833"	"195"
"1614"	"WZ4003"	"NUAK1, NUAK2"	".47847226035011486"	"195"
"1129"	"PF-4708671"	"S6K1"	".50930819321881915"	"195"
"1177"	"Niraparib"	"PARP1, PARP2"	".52347428271282326"	"195"
"1168"	"Erlotinib"	"EGFR"	".55089391921814501"	"195"
"1799"	"Ibrutinib"	"BTK"	".55209917218525018"	"195"
"1373"	"Dabrafenib"	"BRAF"	".55222409847395204"	"195"
"1855"	"KRAS (G12C) Inhibitor-12"	"KRAS (G12C)"	".62546809826871574"	"195"
"1083"	"Crizotinib"	"MET, ALK, ROS1"	".63499102174307864"	"195"
"1259"	"Talazoparib"	"PARP1, PARP2"	".65106389425661004"	"195"
"1908"	"Ulixertinib"	"ERK1, ERK2"	".65976854013966335"	"195"
"2096"	"VX-11e"	"ERK2"	".661268505252537"	"195"
"1190"	"Gemcitabine"	"Pyrimidine antimetabolite"	".70505058014541644"	"195"
"1716"	"IRAK4_4710"	"IRAK4"	".73531997718771858"	"195"
"1909"	"Venetoclax"	"BCL2"	".76891740003373998"	"195"
"1006"	"Cytarabine"	"Antimetabolite"	".83348546801311107"	"195"
"1003"	"Camptothecin"	"TOP1"	".88901589956075588"	"195"
"1853"	"OF-1"	"BRPF1B, BRPF2"	".89016356756397441"	"195"
"1732"	"TAF1_5496"	"TAF1"	".90558378758588054"	"195"
"1510"	"Linsitinib"	"IGF1R"	".96360818796679126"	"195"
"1919"	"Osimertinib"	"EGFR"	".96925383391143594"	"195"
"1089"	"Oxaliplatin"	"DNA alkylating agent"	"1.0654853483735909"	"195"
"1529"	"Pevonedistat"	"NAE"	"1.0668813166021633"	"195"
"1911"	"Dactinomycin"	"RNA polymerase"	"1.1281443011958678"	"195"
"1827"	"Dihydrorotenone"	""	"1.1789888370872028"	"195"
"1808"	"Topotecan"	""	"1.2284834616704254"	"195"
"1598"	"LGK974"	"PORCN"	"1.464729755007516"	"195"
"1941"	"Sepantronium bromide"	"BIRC5"	"2.0847869610363774"	"195"
