bootstrap_replicate	corrected_energy_difference_2N_minus_4N	centered_bootstrap_error
140	-0.1325916881269995	-0.1846383539676025
141	-0.04083364835303177	-0.09288031419363477
142	-0.5841944049568001	-0.6362410707974031
143	-0.21510353512201968	-0.26715020096262265
144	0.30300509945903753	0.25095843361843456
145	0.18784784178099412	0.13580117594039112
146	0.5546865156990277	0.5026398498584247
147	0.4198824592972419	0.3678357934566389
148	-0.04812219763746615	-0.10016886347806914
149	-0.07724674104909683	-0.1292934068896998
150	-0.015977738206052087	-0.06802440404665508
151	0.021833900422370118	-0.03021276541823287
152	-0.07810192602091387	-0.13014859186151687
153	0.7957769210444199	0.7437302552038169
154	0.6274052117188914	0.5753585458782884
155	0.026159610187451405	-0.025887055653151584
156	0.08391430152054644	0.03186763567994345
157	-0.12197254623899724	-0.17401921207960022
158	-0.4234983347111187	-0.47554500055172166
159	0.6393707828750166	0.5873241170344136
160	-0.30745757382249467	-0.35950423966309764
161	-0.16403615033086913	-0.21608281617147213
162	0.4791006208511773	0.4270539550105743
163	0.03689149154513294	-0.015155174295470052
164	-0.21269952620711086	-0.2647461920477138
165	-0.677653088080377	-0.7296997539209801
166	-0.14131695888540155	-0.19336362472600455
167	0.13567860283303287	0.08363193699242988
168	-0.04471461665196157	-0.09676128249256455
169	0.22965357100688635	0.17760690516628336
170	-0.08380513925523929	-0.13585180509584227
171	-0.010029988345133162	-0.06207665418573615
172	0.13292172531266674	0.08087505947206375
173	0.7103692492161017	0.6583225833754986
174	0.3505470539862594	0.29850038814565644
175	1.2212378527263728	1.1691911868857698
176	-0.3450802578661115	-0.3971269237067145
177	0.5183238491421982	0.46627718330159523
178	-0.37768235954829377	-0.42972902538889673
179	0.23227722588973967	0.18023056004913668
180	-0.2992637148949697	-0.3513103807355727
181	-0.28104839862462727	-0.33309506446523024
182	0.2380246938347327	0.1859780279941297
183	0.6593618179911968	0.6073151521505937
184	-0.14698284898404188	-0.19902951482464487
185	0.23659754327970636	0.18455087743910337
186	-0.26356045575834064	-0.3156071215989436
187	0.01650393430437695	-0.035542731536226044
188	-0.02334066110562198	-0.07538732694622496
189	-0.11985212355548722	-0.1718987893960902
190	0.5601263836227567	0.5080797177821537
191	0.364278792000599	0.312232126159996
192	-0.19417081134451913	-0.24621747718512213
193	0.08917650399130773	0.037129838150704746
194	-0.026912188188522566	-0.07895885402912556
195	0.3770993477605116	0.32505268191990866
196	0.2536938775777171	0.2016472117371141
197	0.19419544788882737	0.14214878204822437
198	0.12665908674317056	0.07461242090256756
199	-0.04658998842060773	-0.09863665426121071
200	0.08097861055801144	0.028931944717408446
201	0.888351578208871	0.836304912368268
202	-0.2895809585088959	-0.3416276243494989
203	0.499179675868011	0.447133010027408
204	-0.15797858822248226	-0.21002525406308525
205	-0.1110403777702385	-0.16308704361084148
206	-0.6987155864779975	-0.7507622523186005
207	-0.04252754215295862	-0.09457420799356162
208	0.2173048266374804	0.1652581607968774
209	0.5098982239958235	0.45785155815522055
210	0.05011585741753072	-0.0019308084230722708
211	-0.11068383771781402	-0.162730503558417
212	0.5807973963872309	0.5287507305466279
213	-0.19430049605755967	-0.24634716189816266
214	0.41477065515423633	0.36272398931363337
215	-0.19135124357019392	-0.24339790941079692
216	-0.03394926065470999	-0.08599592649531299
217	-0.07212641587075624	-0.12417308171135924
218	-0.41333729275986136	-0.46538395860046433
219	0.6050300943160257	0.5529834284754227
220	-0.3614401345388202	-0.41348680037942315
221	-0.06656103049355366	-0.11860769633415666
222	-0.1309344386648455	-0.1829811045054485
223	-0.6804843166627543	-0.7325309825033574
224	0.2768397323081369	0.22479306646753391
225	-0.3380560282952343	-0.39010269413583726
226	-0.07014417921416854	-0.12219084505477154
227	-0.18160295165473592	-0.2336496174953389
228	1.262086164731024	1.210039498890421
229	0.672439043701328	0.620392377860725
230	-0.6314617541762796	-0.6835084200168826
231	1.1228595556040597	1.0708128897634568
232	-0.5251946330418915	-0.5772412988824945
233	-0.2562893938586891	-0.30833605969929206
234	0.5167458465951502	0.46469918075454725
235	-0.3150284339901653	-0.36707509983076825
236	-0.29514243193653944	-0.3471890977771424
237	-0.028373669572002908	-0.0804203354126059
238	-0.4330941205948678	-0.48514078643547076
239	-0.30948007456300225	-0.3615267404036052
240	-0.1502717961118263	-0.2023184619524293
241	0.3840033681316081	0.33195670229100516
242	1.201197712830334	1.149151046989731
243	-0.30837544190205673	-0.3604221077426597
244	-0.3037506338312601	-0.3557972996718631
245	-0.7284971445987579	-0.7805438104393609
246	-0.3775375367434169	-0.42958420258401986
247	-0.1915694846260234	-0.2436161504666264
248	0.1093668665886405	0.057320200748037516
249	-0.042683007110113566	-0.09472967295071655
250	-0.26919406633057286	-0.3212407321711758
251	0.615377977843176	0.563331312002573
252	0.5025574076144981	0.4505107417738951
253	0.04596827312925639	-0.006078392711346602
254	-0.5811827048043582	-0.6332293706449612
255	-0.18453029129122694	-0.23657695713182994
256	-0.7518552012606259	-0.8039018671012289
257	-0.08347329014291321	-0.1355199559835162
258	0.2428071944464146	0.1907605286058116
259	0.21035956178475343	0.15831289594415043
260	-0.3473092559647188	-0.39935592180532176
261	0.010315057281542282	-0.041731608559060704
262	0.20114020571191119	0.1490935398713082
263	-0.5692483583007844	-0.6212950241413874
264	0.412981880501911	0.360935214661308
265	-0.2343891501723671	-0.2864358160129701
266	0.2565711457273854	0.20452447988678238
267	0.020843184279765618	-0.03120348156083737
268	0.3277629485622195	0.2757162827216165
269	0.2749911847353403	0.2229445188947373
270	0.16156522313492666	0.10951855729432367
271	0.4555713558399579	0.4035246899993549
272	0.24578423389329748	0.1937375680526945
273	0.2821001670335996	0.23005350119299658
274	0.3606226480595833	0.3085759822189803
275	-0.15183796600354296	-0.20388463184414596
276	0.5083077123121016	0.4562610464714986
277	-0.47963879230653345	-0.5316854581471364
278	0.698853651040975	0.6468069852003719
279	-0.36067172896229	-0.41271839480289296
280	0.769174239995091	0.717127574154488
281	-0.29532943488195246	-0.3473761007225554
282	-0.47078671942099987	-0.5228333852616028
283	-0.5270939709412659	-0.5791406367818689
284	0.3189760815441932	0.26692941570359024
285	-0.31698639991380095	-0.3690330657544039
286	-0.19894348195722172	-0.2509901477978247
287	0.882350707176494	0.830304041335891
288	-0.11291515209447744	-0.16496181793508044
289	0.42144452896664547	0.3693978631260425
290	-0.04499238193359986	-0.09703904777420286
291	-0.061008634538484485	-0.11305530037908748
292	-0.07266027499758268	-0.12470694083818568
293	-0.36798047741709505	-0.420027143257698
294	0.31558740507434707	0.2635407392337441
295	-0.30261071089936753	-0.3546573767399705
296	0.23289908159015435	0.18085241574955135
297	-0.3105340158404542	-0.36258068168105717
298	-0.005893036007773727	-0.05793970184837671
299	0.16782282474806248	0.11577615890745949
300	0.5189746483760321	0.46692798253542916
301	-0.19112235253896873	-0.24316901837957172
302	0.2523022617967951	0.2002555959561921
303	0.06528401801089094	0.013237352170287951
304	0.32923129957378805	0.2771846337331851
305	-0.20444420459749685	-0.2564908704380998
306	-0.0010235377744711276	-0.05307020361507411
307	-0.7034409186874835	-0.7554875845280865
308	0.039652030678889894	-0.012394635161713095
309	-0.3181470937336498	-0.37019375957425277
310	0.003542665007142721	-0.048504000833460265
311	0.32908050742345046	0.2770338415828475
312	0.2640045700054585	0.21195790416485552
313	-0.5338939210529289	-0.5859405868935319
314	-0.37727982573088414	-0.4293264915714871
315	-0.8949571777753713	-0.9470038436159743
316	0.08341505051503106	0.031368384674428075
317	0.290909049860162	0.23886238401955898
318	0.5559728317697855	0.5039261659291825
319	-0.4067506203872504	-0.4587972862278534
320	-0.3130012702210249	-0.3650479360616279
321	0.4185932128603893	0.36654654701978634
322	0.06801600472540406	0.015969338884801072
323	0.4802503726788308	0.42820370683822784
324	-0.021587913754734938	-0.07363457959533792
325	0.2839418637843418	0.23189519794373878
326	0.06245909351905744	0.010412427678454454
327	-0.33565906835237275	-0.3877057341929757
328	-0.26289002869014694	-0.3149366945307499
329	-0.40592301866744646	-0.4579696845080494
330	-0.1532330161951339	-0.2052796820357369
331	-0.39796530506754174	-0.4500119709081447
332	-0.1646993121184496	-0.2167459779590526
333	0.277930921077772	0.225884255237169
334	0.011175840866219967	-0.04087082497438302
335	0.10634471412093888	0.05429804828033589
336	-0.40699520306959075	-0.4590418689101937
337	-0.00537961307377928	-0.05742627891438227
338	0.37197144960589407	0.3199247837652911
339	0.031102569863354097	-0.020944095977248892
