ID	Drug Name	Targets	Z Score	Count
"1910"	"ABT737"	"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1"	".56174875874291286"	"195"
"1873"	"Buparlisib"	"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"	".57078170878879442"	"195"
"1913"	"AGI-5198"	"IDH1 (R132H)"	".58225856704485424"	"195"
"1054"	"Palbociclib"	"CDK4, CDK6"	".58567507575812139"	"195"
"1131"	"PRIMA-1MET"	"TP53 activation"	".59351623180955759"	"195"
"1017"	"Olaparib"	"PARP1, PARP2"	".59537036841607416"	"195"
"1005"	"Cisplatin"	"DNA crosslinker"	".61747962752980468"	"195"
"1004"	"Vinblastine"	"Microtubule destabiliser"	".65022094883915682"	"195"
"1576"	"IWP-2"	"PORCN"	".6712023843152376"	"195"
"1814"	"Nelarabine"	""	".68593549176689561"	"195"
"1563"	"EPZ5676"	"DOT1L"	".69097096767668542"	"195"
"1925"	"GDC0810"	"ESR1, ESR2"	".69589432566696074"	"195"
"1816"	"Fulvestrant"	""	".71357226396002127"	"195"
"1915"	"AZD3759"	"EGFR"	".7141303046487143"	"195"
"1634"	"AGI-6780"	"IDH2 R140Q mutant"	".71980720167738299"	"195"
"1564"	"SCH772984"	"ERK1, ERK2"	".73367522114872363"	"195"
"1249"	"BMS-345541"	"IKK-1, IKK-2"	".7365415274862861"	"195"
"1237"	"EPZ004777"	"DOT1L"	".74091505515853939"	"195"
"1739"	"JAK_8517"	"JAK1, JAK2"	".74389112396584467"	"195"
"1578"	"Leflunomide"	"Pyrimidine synthesis inhibitor"	".74574335440836148"	"195"
"1047"	"Nutlin-3a (-)"	"MDM2"	".75309296537190962"	"195"
"1736"	"Selumetinib"	"MEK1, MEK2"	".77401650064227789"	"195"
"1010"	"Gefitinib"	"EGFR"	".77614459320534634"	"195"
"1786"	"AZD4547"	"FGFR1, FGFR2, FGFR3"	".77934909184248635"	"195"
"1620"	"PFI3"	"Polybromo 1, SMARCA4, SMARCA2"	".79590665000221827"	"195"
"1529"	"Pevonedistat"	"NAE"	".80828222430710994"	"195"
"1718"	"JAK1_8709"	"JAK1"	".82323167095788219"	"195"
"1936"	"Savolitinib"	"MET"	".82401046694127911"	"195"
"1199"	"Tamoxifen"	"ESR1"	".82790670181429515"	"195"
"1089"	"Oxaliplatin"	"DNA alkylating agent"	".85817935796778255"	"195"
"2096"	"VX-11e"	"ERK2"	".86675838627246071"	"195"
"1709"	"CDK9_5038"	"CDK9"	".87616529080511241"	"195"
"1614"	"WZ4003"	"NUAK1, NUAK2"	".91177676147484188"	"195"
"1060"	"PD0325901"	"MEK1, MEK2"	".94098704536164479"	"195"
"1549"	"Sapitinib"	"EGFR, ERBB2, ERBB3"	"1.0214509575872377"	"195"
"1807"	"Carmustine"	""	"1.034712929706022"	"195"
"1827"	"Dihydrorotenone"	""	"1.0564517940675093"	"195"
"2043"	"BIBR-1532"	"TERT"	"1.0614330455631702"	"195"
"1853"	"OF-1"	"BRPF1B, BRPF2"	"1.0717622477135722"	"195"
"1190"	"Gemcitabine"	"Pyrimidine antimetabolite"	"1.0721031274148816"	"195"
"2040"	"Foretinib"	"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR"	"1.0769599169302342"	"195"
"1631"	"PRT062607"	"SYK"	"1.0803225981021829"	"195"
"1372"	"Trametinib"	"MEK1, MEK2"	"1.0859520391750284"	"195"
"1168"	"Erlotinib"	"EGFR"	"1.1432330809372995"	"195"
"1941"	"Sepantronium bromide"	"BIRC5"	"1.1659274324057236"	"195"
"1621"	"PCI-34051"	"HDAC8, HDAC6, HDAC1"	"1.1824662845848624"	"195"
"1510"	"Linsitinib"	"IGF1R"	"1.1918597284409704"	"195"
"1622"	"Wnt-C59"	"PORCN"	"1.2214266868944248"	"195"
"1068"	"Obatoclax Mesylate"	"BCL2, BCL-XL, BCL-W, MCL1"	"1.3049424058089438"	"195"
"1618"	"GSK2606414"	"PERK"	"1.3538325722970102"	"195"
"1507"	"Ruxolitinib"	"JAK1, JAK2"	"1.432723572488499"	"195"
"1909"	"Venetoclax"	"BCL2"	"1.4365497586366689"	"195"
"1598"	"LGK974"	"PORCN"	"1.4821866486204605"	"195"
"1375"	"Temozolomide"	"DNA alkylating agent"	"1.57088309658637"	"195"
"2047"	"Ulixertinib"	"ERK1, ERK2"	"1.6594117959949333"	"195"
"1732"	"TAF1_5496"	"TAF1"	"1.6955082864956017"	"195"
"1012"	"Vorinostat"	"HDAC inhibitor Class I, IIa, IIb, IV"	"1.8415947153832191"	"195"
"1908"	"Ulixertinib"	"ERK1, ERK2"	"2.4864721287128226"	"195"
"1248"	"Daporinad"	"NAMPT"	"2.8024846517642543"	"195"
