"tgi_measure","iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
"TGI_percent_Day_24_control_median",27,8,-0.884247543621501,0.00354849755167562,-0.634146341463415,0.0912890821441658
"TGI_percent_Day_24_control_median",28,8,-0.45874779554647,0.252907904548062,-0.432432432432432,0.284598569995075
"TGI_percent_Day_24_control_median",29,8,-0.172882678992232,0.68224605000703,0.036144578313253,0.932287918005115
"TGI_percent_Day_24_control_median",30,8,-0.572780101188465,0.137813216051343,-0.493975903614458,0.213435752051467
"TGI_percent_Day_24_control_median",31,8,-0.468931303566979,0.241146183764306,-0.421686746987952,0.298067492674002
"TGI_percent_Day_24_control_median",32,8,0.731023212299266,0.0393638152118897,0.594936708860759,0.119765536998206
"TGI_percent_Day_24_control_median",33,8,-0.436950270557496,0.279026466359495,-0.113924050632911,0.788233439851227
"TGI_percent_Day_24_control_median",34,8,-0.922048024031073,0.00111603691030151,-0.878048780487805,0.00412958042703296
"TGI_percent_Day_24_control_median",35,8,-0.540683894023475,0.16646848460953,-0.382716049382716,0.34939965019076
"TGI_percent_Day_24_control_median",36,8,-0.618640162829156,0.102023906789408,-0.333333333333333,0.419753086419753
"TGI_percent_Day_24_control_median",37,8,-0.820342361358586,0.0126137840299285,-0.62962962962963,0.094345165105607
"TGI_percent_Day_24_control_median",38,8,-0.938450612577648,0.000556345358603005,-0.802469135802469,0.016526566994929
"TGI_percent_Day_24_control_median",39,8,-0.865274571323473,0.0055123968886471,-0.62962962962963,0.094345165105607
"TGI_percent_Day_24_control_median",40,8,-0.714047885205506,0.0466352850123857,-0.113924050632911,0.788233439851227
"TGI_percent_Day_24_control_median",41,8,-0.881782474065266,0.0037727878272823,-0.794871794871795,0.0183947102705782
"TGI_percent_Day_24_control_median",42,8,-0.674824252758446,0.0663590225900033,-0.670886075949367,0.0685705618098423
"TGI_percent_Day_24_control_median",43,8,-0.262820601921393,0.529433929485543,-0.146341463414634,0.729502115730516
"TGI_percent_Day_24_control_median",44,8,-0.808790782759702,0.0150665096695279,-0.924050632911392,0.00103380815542862
"TGI_percent_Day_24_control_median",45,8,-0.599774920403505,0.116012934082833,-0.468354430379747,0.241804882823014
"TGI_percent_Day_24_control_median",46,8,-0.932822773724934,0.000720218377096342,-0.851851851851852,0.0072523990851707
"TGI_percent_Day_24_control_median",47,8,0.670350526258187,0.0688746184337505,0.620253164556962,0.100875222859378
"TGI_percent_Day_24_control_median",48,8,0.87620598850133,0.00431339558746604,0.772151898734177,0.0247485870017686
"TGI_percent_Day_24_control_median",49,8,-0.531921619692623,0.17480605020757,-0.292682926829268,0.48175433009408
"TGI_percent_Day_24_control_median",50,8,0.00371039406747917,0.993043074974569,0.048780487804878,0.908681575447135
"TGI_percent_Day_24_control_median",51,8,-0.60451109661207,0.112404772144671,-0.518072289156627,0.188431668335035
"TGI_percent_Day_24_control_median",52,8,-0.180906797747738,0.66812782439771,0.132530120481928,0.75440042927224
"TGI_percent_Day_24_control_median",53,8,0.299994760395669,0.470346885496255,0.538461538461539,0.16856229446825
"TGI_percent_Day_24_control_median",54,8,0.0862552278520906,0.839071827116295,0.0379746835443038,0.928865891742792
"TGI_percent_Day_24_control_median",55,8,-0.318811429619083,0.44149875567414,-0.0731707317073171,0.863293782609012
"TGI_percent_Day_24_control_median",56,8,-0.271025072874976,0.516164656687725,0.307692307692308,0.458455990282607
"TGI_percent_Day_24_control_median",57,8,-0.417744061419273,0.303084876282014,-0.0886075949367088,0.834728317893272
