,2N_C1,2N_C2,2N_C3,2N_C4,2N_G1,2N_G2,2N_G3,2N_G4,4N_C1,4N_C2,4N_C3,4N_C4,4N_G1,4N_G2,4N_G3,4N_G4
6-Hydroxydopamine,-0.6299671058599258,-0.44329037468809107,-1.0379528616608014,-0.4568573745781143,0.6978808985713855,1.2308678675143168,0.8539508709408751,2.140576333212971,-0.8365930528563562,0.4352250811465827,-1.6301650205242033,-1.5075827449700232,0.5655861918974225,-0.12726253399533996,-0.059419871515861734,0.8050036973650466
"Fructose 1,6-bisphosphate (2)",0.029987912421678514,0.21099131306473087,-0.664024012823325,-0.18149727532180177,1.5038681426867462,1.5415436371654219,1.120150456337286,1.4208921710172593,-0.9334129321724061,-0.30045756940490137,-1.523308087385611,-1.9778108037952016,0.20191033918541942,0.002853064706470511,-0.5668290231006069,0.11514266741884989
Beta-Alanine,0.7581803465615747,0.8568250111275675,0.3944412096003171,1.029648713425462,-1.6267620724309284,-1.5022145274145415,-1.8709724965680827,-1.6428082718102879,0.7057781084398012,0.8429855348041818,0.6969289020677888,0.5942212213204418,0.20532063631778416,0.5316246348460231,0.023302826027866125,0.00350022368500955
4-Aminobutanoate,0.73624542921655,0.5753112134750448,0.14394340229991004,1.051475675388428,-1.6921503927981474,-1.4757158975170537,-1.8061334249689633,-1.710867077752269,0.7011771022843727,1.0037263710184823,0.629862723679056,0.4728117687013848,0.39614296068384564,0.6567927200918783,0.2370478041682979,0.08032962202919888
Hypotaurine,0.564565343620667,1.1013335228744363,0.27405216338766436,1.041449026983282,-1.2983218786739257,-1.469375714360918,-1.7534030350509908,-2.0917458228296795,0.7018455768893327,0.49153827910484016,0.42665830413412653,0.4379153127448484,0.42114672617325916,0.8112332580041124,0.24941021752540332,0.09169871947362168
Beta-Alanine (2),0.43839622355243263,0.7514787880309537,0.1854076692757201,0.7717921274571006,-1.3361821725203704,-1.4400156095219068,-1.607115902909396,-2.2289468980375573,1.005324101313904,0.6491882709770942,0.5392905541305474,0.9575675566279194,0.2499018611866516,0.6181659341681328,0.3207981379891148,0.12494935827973591
L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,0.18499463247212652,0.3200343546298194,0.31204407458601047,0.22665095533838236,-1.2895454341734172,-1.944874295769591,-1.5518987118714804,-1.7717585375839933,0.8133800499588386,0.14266964030247492,0.6566254264028706,1.2791938165327439,0.5234076841123803,1.0865578207637385,0.45608171858892943,0.5564368057102577
4-Guanidinobutanoate,1.0287675089520048,0.7751761057788092,0.4310940461340428,1.238710779180968,-1.3880028444082668,-1.4260973605462943,-1.4537133211674416,-1.7339062928885807,1.032786932925943,1.0603839280952208,0.6321710828851596,0.7154436268482534,-0.5080566906361851,0.15370596728252317,-0.26866568255261447,-0.2897977858835283
4-Guanidinobutanoate (2),0.9932926144403852,1.143423000403876,0.41888965614440854,1.4092817225195082,-1.3503372902975928,-1.2690799133902109,-1.713216939187176,-1.4632479658906272,0.650418350206564,0.9366225710557642,0.7896710471973841,0.6662402491144495,-0.15369280775850153,0.07019465790411746,-0.5888030004376911,-0.5396559520247466
N-Acetylglycine,0.5439857070593395,0.7452147006719076,0.31615437229467075,0.3903429278852024,-1.4737197308876688,-1.3627496143479587,-1.8500267100136367,-1.6974230759592002,0.72970406806546,1.2358382525968685,1.1332788524313107,0.9090774322869664,0.0551216897807708,0.5885136563279175,-0.0643037888029842,-0.19900873938895874
Adenosine,-0.5222082769656671,0.7093990053983571,1.079864265337936,1.0279754721905892,-1.3813825953003371,-1.3019234023115274,-1.2079798464031246,-1.0321269564880255,0.018550552786461106,-0.4218621081765395,0.017545283304288433,-0.4634504588032031,0.18739800401224876,1.6451784270740366,-0.2695742223559026,1.914596856700456
2'-Deoxycytidine 5'-monophosphate,1.0075006655783603,1.0488708880329165,0.24453043843692773,1.3065321475581604,-1.3948695009937313,-1.715848567086048,-1.4082194862630177,-1.2357306842512248,0.7625091476426161,0.4670387021693419,0.6046076003757945,0.940586978276262,0.06271767997900358,0.7513630724326205,-0.5465646245946891,-0.8950244572932525
Uridine 5'-monophosphate,0.216425726605406,0.8544748970196946,1.3007541875915496,2.3854329063630706,-1.1182466568131801,-0.47460915900394723,-1.6649900325231795,-1.4449913228154383,0.49941022290678333,-0.5724509900380893,0.42742343448134523,0.5187422585823377,-0.05402971104774386,-0.5637767744537183,-0.38639279143207134,0.0768238045771916
5'-CMP,0.5040359237344662,1.4101068641533845,1.406986628465404,2.5347377761769505,-0.5933611035446943,-0.21980940384148234,-0.910007982374794,-0.9067286895226299,0.37659492602016686,-0.3469728364020981,-0.764515499944244,-0.2807210847408791,0.11326683843002873,-0.5935932799609098,-0.3574630335966844,-1.372556043052001
Uridine 5'-monophosphate (2),-0.0770809964649757,1.0281926589884156,1.305554432742348,2.3857330423463523,-1.002330674316479,-0.5995385321803713,-1.421929318904305,-1.2885787082759081,0.8114917086028451,-0.7462916986759223,-0.2222865971127254,0.49103417570127283,0.5301997740539934,-0.7823152387909988,-0.13410865536228056,-0.2777453723513474
Myristoyl-L-carnitine,0.5847884254120466,0.5531305466032778,-0.7223040462611579,0.47165037930834225,-1.1042272019341348,-1.5250523777851652,-1.521009638000502,-1.9023695118651305,0.3622655305157526,0.9588920039252306,0.7286968725880294,1.177349246417493,0.3450016714248672,0.9794915186715908,0.9760669498934105,-0.36237036891400337
Galactarate;D-Saccharic acid,0.07619626531138125,0.3340604694042671,-0.7096934597336598,0.05714395102346289,-1.2507539016419282,-2.0060863373648696,-1.1164602697184487,-1.6457378449013298,1.0596182790413595,0.8702853229976129,0.9736052087465508,1.3995904355119257,0.3806421003353849,0.6988393579361968,0.3261293497077929,0.5526210733442801
N-Acetyl-L-Methionine,0.4795431549729275,0.7125079437518306,0.381126063836374,0.16559069461950265,-1.068001546204683,-1.1900682690671032,-1.5678002944486034,-2.139789343105304,1.1733635665215885,1.2445329104533414,1.1386988611911015,0.9712795478277347,-0.3139881097010292,0.08338413313457065,-0.3686758653830029,0.2982965516006294
5'-CMP (2),0.44882345995703343,1.3518258543184132,1.5409032704204422,2.402590830339925,-0.5024191784559034,-0.004646259885413935,-0.6730570910327704,-0.865743422646492,0.40087122249709684,-0.49333405488461335,-0.591808357780186,0.09193170907349099,-0.02258538444517062,-0.7689018683297046,-0.7470372585990345,-1.567413470547171
Erythronic acid,0.5159490547102322,1.0585689023617653,1.288933175639613,0.4925571856045019,-1.6338933338948807,0.07302825659766853,-2.17397543868239,-1.1345472760688424,0.4327901149034455,0.29430980084398245,1.5357337715459498,0.6067478061769536,-0.095519578410831,-0.6686846017526644,-0.7369747636802134,0.14497692410576124
Xanthosine 5'-monophosphate,0.24539706804407085,-0.17143782590090603,-0.08224295940460809,0.572348753052406,-1.8300431883439328,-2.0981582590259107,-0.708021812761821,-0.9764926482152689,1.0601897144708707,-0.045379384049007467,1.4829531621199505,1.2580463308649559,-0.18731143066870998,0.8836839275065745,-0.18556373299389242,0.7820322853052383
Lauroylcarnitine;Lauroyl-L-carnitine,0.42885492764244937,0.7932847170668507,-0.624178547328449,0.3691935467822602,-1.387648085993545,-1.007889738033204,-1.221277340755385,-2.0884582272819245,0.6040266997200849,1.2874082035806005,1.0623158144535516,1.2137210134176084,0.04222151745382844,0.23974063056758207,0.8998110313760855,-0.6111261626684444
Adenosine 5'-monophosphate,0.595308721388794,1.4905536865040023,0.6176116855807322,2.672549527191244,-0.19601319981959364,0.0885062922724018,-0.7939551927545719,-0.5409537916768914,0.3576852076450929,-0.49575951306397364,-0.1791075678202659,0.1769951966996215,-0.45896331619765157,-0.8760608668968226,-0.7324434147969048,-1.7259534542552402
Decanoyl-L-carnitine,0.36173590366512987,0.7763610622460172,-0.5640691823883198,-0.04675557157629264,-0.8098092193374075,-0.8490879275066591,-1.9409510935871315,-1.8563144327231318,0.49789550649012976,1.2519511909353354,1.2367591711893695,1.1165182243824958,-0.04216040517239178,0.9442507290372752,0.6207565622510126,-0.6970805179054358
