Feature_ID,Metabolite,log2FC_2N_G_vs_2N_C,p_2N_G_vs_2N_C,log2FC_4N_G_vs_4N_C,p_4N_G_vs_4N_C,Differential_response_2N_minus_4N,p_interaction,Order_category,Response_category,cat_order
Orotate,Orotate,-2.9237392221493828,6.108326758366284e-05,-1.898850974505752,6.866918069536872e-05,-1.0248882476436307,2.516110235742962e-06,Common down,Common gem response,5
(R)-3-hydroxybutyrylcarnitine,(R)-3-hydroxybutyrylcarnitine,-0.048493062986807445,0.7630677586252496,0.4341150961572744,0.0010854213357376111,-0.48260815914408184,0.012128258950974701,No strong response,No strong response,99
L-carnitine | row_54,L-carnitine,-0.3341971808164601,0.04544078678833739,0.02308086570657686,0.8827320760312618,-0.35727804652303696,0.07230350257890696,No strong response,No strong response,99
Glycine | row_55,Glycine,-0.5805054155449554,0.0025091752821574257,0.10398362876819078,0.1894687353074836,-0.6844890443131462,0.0002220045904901625,No strong response,No strong response,99
Hypotaurine | row_56,Hypotaurine,-0.9203941542028211,0.000575963397222588,-0.06954485121865162,0.4890032817782526,-0.8508493029841695,6.698310255696695e-05,No strong response,No strong response,99
Eicosapentaenoic acid,Eicosapentaenoic acid,0.4382217124218428,0.1638919565004441,1.4781452919320976,0.033670639847820774,-1.0399235795102548,0.06115124429921157,4N up,4N-specific response,2
Tartaric acid;Meso-Tartrate,Tartaric acid;Meso-Tartrate,-0.1439476612338204,0.8115248973111121,-0.04849979729442211,0.7515902701995744,-0.0954478639393983,0.8747713618213995,No strong response,No strong response,99
Cytidine 5'-Diphosphocholine (Citicoline) | row_59,Cytidine 5'-Diphosphocholine (Citicoline),0.7006827415455561,0.027417934195461062,0.5057666914088799,0.023143814030157927,0.19491605013667623,0.46393191042370296,No strong response,No strong response,99
Aspartate | row_60,Aspartate,-0.7577889252585592,0.0003827967778074238,-0.28766110476141193,0.02055570749920016,-0.4701278204971473,0.0025950141645241054,No strong response,No strong response,99
Deoxycarnitine | row_61,Deoxycarnitine,-0.45452392170159506,0.016449141934026464,0.13128907703968373,0.23465704046374208,-0.5858129987412788,0.004466016433158456,No strong response,No strong response,99
Cytidine | row_62,Cytidine,-0.8583445104995846,0.062417521935264314,0.03876292561600536,0.8479446695864592,-0.89710743611559,0.05519629153446047,No strong response,No strong response,99
Pseudouridine | row_63,Pseudouridine,0.04098477724441807,0.8465519664589358,0.33332423179895443,0.058026956367048424,-0.29233945455453636,0.25558339066275426,No strong response,No strong response,99
