"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
3.43396407673404e-67,2.1059232061276,0.854,0.217,2.48282470676025e-62,"GRCh38-MELK","MELK","4c","MELK",2.1059232061276,2.48282470676025e-62,0.637,2.1059232061276,0.637
2.20273882241336e-31,2.10462565356589,0.505,0.13,1.5926242233813e-26,"GRCh38-MSR1","MSR1","4c","MSR1",2.10462565356589,1.5926242233813e-26,0.375,2.10462565356589,0.375
2.89841586912337e-16,2.10165611826302,0.718,0.379,2.09561264169358e-11,"GRCh38-TENM2","TENM2","4c","TENM2",2.10165611826302,2.09561264169358e-11,0.339,2.10165611826302,0.339
5.58762946549619e-19,2.10065406891975,0.942,0.777,4.03996785614306e-14,"GRCh38-NAV2","NAV2","4c","NAV2",2.10065406891975,4.03996785614306e-14,0.165,2.10065406891975,0.165
8.62467984116716e-114,2.09952347707177,0.854,0.13,6.23581601876068e-109,"GRCh38-DEPDC1","DEPDC1","4c","DEPDC1",2.09952347707177,6.23581601876068e-109,0.724,2.09952347707177,0.724
1.86282418160549e-125,2.09412200885589,0.816,0.108,1.3468591397844e-120,"GRCh38-KIFC1","KIFC1","4c","KIFC1",2.09412200885589,1.3468591397844e-120,0.708,2.09412200885589,0.708
4.17250270751315e-61,2.08306566081956,0.903,0.301,3.01680290758616e-56,"GRCh38-PRC1","PRC1","4c","PRC1",2.08306566081956,3.01680290758616e-56,0.602,2.08306566081956,0.602
2.39259235133922e-34,2.06299865701741,0.922,0.61,1.72989212186529e-29,"GRCh38-TENT4A","TENT4A","4c","TENT4A",2.06299865701741,1.72989212186529e-29,0.312,2.06299865701741,0.312
5.59465379062726e-58,2.05854186896484,0.777,0.21,4.04504658369932e-53,"GRCh38-INCENP","INCENP","4c","INCENP",2.05854186896484,4.04504658369932e-53,0.567,2.05854186896484,0.567
2.67260967194291e-88,2.03652931889833,0.796,0.144,1.93235024500817e-83,"GRCh38-TTK","TTK","4c","TTK",2.03652931889833,1.93235024500817e-83,0.652,2.03652931889833,0.652
3.9040471356417e-112,2.03582022871334,0.903,0.143,2.82270416001166e-107,"GRCh38-CEP55","CEP55","4c","CEP55",2.03582022871334,2.82270416001166e-107,0.76,2.03582022871334,0.76
9.64919570147628e-10,2.03420959938486,0.515,0.294,6.97656147608138e-05,"GRCh38-LTBP1","LTBP1","4c","LTBP1",2.03420959938486,6.97656147608138e-05,0.221,2.03420959938486,0.221
2.03190665810131e-26,2.03174644222801,0.592,0.206,1.46910915194041e-21,"GRCh38-LINC02377","LINC02377","4c","LINC02377",2.03174644222801,1.46910915194041e-21,0.386,2.03174644222801,0.386
2.79552949021361e-70,2.02119291508566,0.796,0.183,2.02122373201424e-65,"GRCh38-STIL","STIL","4c","STIL",2.02119291508566,2.02122373201424e-65,0.613,2.02119291508566,0.613
3.76924514790352e-88,2.01475246111968,0.806,0.147,2.72523962683721e-83,"GRCh38-NUF2","NUF2","4c","NUF2",2.01475246111968,2.72523962683721e-83,0.659,2.01475246111968,0.659
3.91080140675198e-19,2.01174702377958,0.942,0.729,2.82758763310982e-14,"GRCh38-VEGFC","VEGFC","4c","VEGFC",2.01174702377958,2.82758763310982e-14,0.213,2.01174702377958,0.213
2.99228153756074e-19,2.00451522363343,0.883,0.732,2.16347939728717e-14,"GRCh38-KIAA1217","KIAA1217","4c","KIAA1217",2.00451522363343,2.16347939728717e-14,0.151,2.00451522363343,0.151
3.62465578176153e-16,1.99739018961266,0.883,0.687,2.62069862332922e-11,"GRCh38-CDH13","CDH13","4c","CDH13",1.99739018961266,2.62069862332922e-11,0.196,1.99739018961266,0.196
1.8556802707325e-60,1.99245650718856,0.874,0.266,1.34169394934501e-55,"GRCh38-NCAPG2","NCAPG2","4c","NCAPG2",1.99245650718856,1.34169394934501e-55,0.608,1.99245650718856,0.608
6.42685810308545e-19,1.99194675291806,0.748,0.459,4.64674694569284e-14,"GRCh38-MID1","MID1","4c","MID1",1.99194675291806,4.64674694569284e-14,0.289,1.99194675291806,0.289
2.6318142897988e-23,1.98833397075124,0.845,0.582,1.90285436781033e-18,"GRCh38-SPATA5","SPATA5","4c","SPATA5",1.98833397075124,1.90285436781033e-18,0.263,1.98833397075124,0.263
2.8148618521425e-40,1.97959991085314,0.903,0.403,2.03520141633607e-35,"GRCh38-BRCA2","BRCA2","4c","BRCA2",1.97959991085314,2.03520141633607e-35,0.5,1.97959991085314,0.5
3.12090870993801e-77,1.95739082159839,0.709,0.128,2.25647941545938e-72,"GRCh38-NEIL3","NEIL3","4c","NEIL3",1.95739082159839,2.25647941545938e-72,0.581,1.95739082159839,0.581
3.5645559306387e-22,1.95350775165341,0.932,0.87,2.57724522897039e-17,"GRCh38-RUNX1","RUNX1","4c","RUNX1",1.95350775165341,2.57724522897039e-17,0.0620000000000001,1.95350775165341,0.0620000000000001
1.10162035906355e-16,1.94771818951485,0.699,0.411,7.96493552010124e-12,"GRCh38-NHSL1","NHSL1","4c","NHSL1",1.94771818951485,7.96493552010124e-12,0.288,1.94771818951485,0.288
1.78907489571617e-15,1.9338868184586,0.757,0.473,1.29353693110071e-10,"GRCh38-ABTB2","ABTB2","4c","ABTB2",1.9338868184586,1.29353693110071e-10,0.284,1.9338868184586,0.284
4.70752891510234e-36,1.9270080859268,0.971,0.766,3.40363755619729e-31,"GRCh38-SMC4","SMC4","4c","SMC4",1.9270080859268,3.40363755619729e-31,0.205,1.9270080859268,0.205
8.67200926322522e-151,1.92244254771858,0.816,0.089,6.2700361374971e-146,"GRCh38-KIF20A","KIF20A","4c","KIF20A",1.92244254771858,6.2700361374971e-146,0.727,1.92244254771858,0.727
7.71049397709726e-65,1.91856933872898,0.816,0.2,5.57484135532086e-60,"GRCh38-RRM2","RRM2","4c","RRM2",1.91856933872898,5.57484135532086e-60,0.616,1.91856933872898,0.616
2.6986887268097e-12,1.9175054857627,0.777,0.663,1.95120592325795e-07,"GRCh38-FRMD4B","FRMD4B","4c","FRMD4B",1.9175054857627,1.95120592325795e-07,0.114,1.9175054857627,0.114
1.85506916771454e-57,1.91546176409752,0.66,0.148,1.34125210964096e-52,"GRCh38-DBF4B","DBF4B","4c","DBF4B",1.91546176409752,1.34125210964096e-52,0.512,1.91546176409752,0.512
1.41850955964382e-17,1.91392785786383,0.67,0.377,1.02561078181368e-12,"GRCh38-SLC2A9","SLC2A9","4c","SLC2A9",1.91392785786383,1.02561078181368e-12,0.293,1.91392785786383,0.293
8.5660187776662e-25,1.91032263603057,0.942,0.789,6.19340289662821e-20,"GRCh38-NSD2","NSD2","4c","NSD2",1.91032263603057,6.19340289662821e-20,0.153,1.91032263603057,0.153
4.63250760993062e-28,1.9087845540241,0.806,0.491,3.34939565213204e-23,"GRCh38-JAG1","JAG1","4c","JAG1",1.9087845540241,3.34939565213204e-23,0.315,1.9087845540241,0.315
