"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
1.07037537491472e-85,0.2659178365367,0.956,0.894,7.73902803570844e-81,"GRCh38-G3BP1","G3BP1","2"
1.07389264483381e-85,0.40485365454852,0.91,0.809,7.76445860067744e-81,"GRCh38-JARID2","JARID2","2"
1.13163157116431e-85,0.284280967259494,0.981,0.943,8.18192258583219e-81,"GRCh38-MRPL20","MRPL20","2"
2.02332828589629e-85,0.291638877174695,0.972,0.912,1.46290681726873e-80,"GRCh38-ABCF1","ABCF1","2"
2.2851863746381e-85,0.293132413899274,0.904,0.814,1.65223545259084e-80,"GRCh38-NAA15","NAA15","2"
2.76424071889861e-85,0.337505205143806,0.526,0.373,1.99860132457807e-80,"GRCh38-FOXC2","FOXC2","2"
3.02234244563338e-85,0.342898634030562,0.869,0.776,2.18521403504185e-80,"GRCh38-LACTB","LACTB","2"
3.79659470636302e-85,0.337871370351399,0.984,0.952,2.74501390459459e-80,"GRCh38-NDUFC1","NDUFC1","2"
3.86133935989252e-85,0.345087959773714,0.99,0.954,2.79182558398949e-80,"GRCh38-ASAP1","ASAP1","2"
4.31003691287314e-85,0.381408069741544,0.885,0.805,3.11624288874554e-80,"GRCh38-TAX1BP3","TAX1BP3","2"
4.54686810760952e-85,0.41710814785264,0.971,0.937,3.28747657916383e-80,"GRCh38-PGAM1","PGAM1","2"
4.65534286410552e-85,0.305255683572452,0.639,0.491,3.36590599760557e-80,"GRCh38-SLC35F6","SLC35F6","2"
4.90395613374319e-85,0.262556212153166,0.878,0.779,3.545658363819e-80,"GRCh38-DPM2","DPM2","2"
5.10969478659313e-85,0.333057630454613,0.926,0.858,3.69441152460257e-80,"GRCh38-PMM2","PMM2","2"
5.34232544852946e-85,0.315057903883947,0.788,0.666,3.86260814579577e-80,"GRCh38-IMPDH1","IMPDH1","2"
5.52904177778511e-85,0.33384463783196,0.728,0.588,3.99760778617419e-80,"GRCh38-ZPR1","ZPR1","2"
5.69477451558039e-85,0.284521266198197,0.961,0.91,4.11743587025493e-80,"GRCh38-EMD","EMD","2"
7.36126894290287e-85,0.436612207375813,0.767,0.635,5.32234467109763e-80,"GRCh38-ADAM12","ADAM12","2"
8.4804629218955e-85,0.342067135954745,0.96,0.908,6.13154430178888e-80,"GRCh38-SNF8","SNF8","2"
8.60089997971915e-85,0.263547123203889,0.985,0.947,6.21862270333654e-80,"GRCh38-AURKAIP1","AURKAIP1","2"
9.39722639629125e-85,0.338270452115562,0.909,0.822,6.7943826290465e-80,"GRCh38-YWHAG","YWHAG","2"
1.07007606906999e-84,0.330144687294342,0.976,0.93,7.73686399458987e-80,"GRCh38-UFM1","UFM1","2"
1.10706053629901e-84,0.303829886193034,0.878,0.78,8.00426908954913e-80,"GRCh38-PLOD3","PLOD3","2"
1.12813286939112e-84,0.639493711201845,0.677,0.592,8.15662627227171e-80,"GRCh38-PLAC8","PLAC8","2"
1.31979419643798e-84,0.364842357662858,0.98,0.94,9.54237599908591e-80,"GRCh38-GNB1","GNB1","2"
1.62191143262173e-84,0.296569565468238,0.909,0.83,1.17267440401416e-79,"GRCh38-UBE2N","UBE2N","2"
1.79504063530871e-84,0.364404756707884,0.813,0.697,1.2978502801409e-79,"GRCh38-APCDD1L-DT","APCDD1L-DT","2"
1.83903489584006e-84,0.637084539394148,0.934,0.865,1.32965901039028e-79,"GRCh38-PTPRK","PTPRK","2"
1.85973157451526e-84,0.327123163058249,0.955,0.906,1.34462312300603e-79,"GRCh38-MACROH2A1","MACROH2A1","2"
2.26458298387351e-84,0.323810499031302,0.636,0.492,1.63733878900022e-79,"GRCh38-MPHOSPH6","MPHOSPH6","2"
2.34898725713009e-84,0.342290694289707,0.493,0.344,1.69836476665019e-79,"GRCh38-MIR22HG","MIR22HG","2"
2.46906498224586e-84,0.374043225376768,0.876,0.772,1.7851833634634e-79,"GRCh38-TRAF3","TRAF3","2"
2.78401515129443e-84,0.294997915672447,0.992,0.955,2.0128986346889e-79,"GRCh38-ZFR","ZFR","2"
3.12309841736738e-84,0.389911605979297,0.995,0.978,2.25806261772497e-79,"GRCh38-CLIC1","CLIC1","2"
3.46996743786316e-84,0.286159827902787,0.846,0.745,2.50885585692382e-79,"GRCh38-EXOSC7","EXOSC7","2"
3.51669022012732e-84,0.298632302330987,0.467,0.314,2.54263736295646e-79,"GRCh38-TIGAR","TIGAR","2"
3.81107564195977e-84,0.331360331722227,0.534,0.388,2.75548391064975e-79,"GRCh38-SH3TC1","SH3TC1","2"
3.84767727891333e-84,0.274541938946925,0.542,0.388,2.78194762619992e-79,"GRCh38-CCDC86","CCDC86","2"
4.34740091906059e-84,0.451758754120003,0.605,0.463,3.14325781249919e-79,"GRCh38-EVA1A","EVA1A","2"
4.68265190215251e-84,0.286747585501902,0.722,0.583,3.38565097829431e-79,"GRCh38-ATG101","ATG101","2"
5.77334186275022e-84,0.261988726735669,0.983,0.938,4.17424163360567e-79,"GRCh38-HDAC2","HDAC2","2"
7.4567529105857e-84,0.347794124763365,0.652,0.517,5.39138148941167e-79,"GRCh38-SNX18","SNX18","2"
9.65759355248841e-84,0.27704488005613,0.713,0.577,6.98263329032017e-79,"GRCh38-ANAPC7","ANAPC7","2"
1.03709977673208e-83,0.276403008219106,0.958,0.916,7.49843880572826e-79,"GRCh38-MPLKIP","MPLKIP","2"
1.63058535082391e-83,0.289467091598194,0.949,0.889,1.1789458203527e-78,"GRCh38-PITPNB","PITPNB","2"
1.84685608547148e-83,0.310789184199515,0.989,0.958,1.33531388691759e-78,"GRCh38-SELENOM","SELENOM","2"
2.0422090008647e-83,0.826252918582603,0.313,0.181,1.4765579518052e-78,"GRCh38-CLDN1","CLDN1","2"
2.55654894846049e-83,0.319119404873356,0.698,0.553,1.84843602071591e-78,"GRCh38-VARS1","VARS1","2"
3.29310443455807e-83,0.346905204178425,0.853,0.75,2.38098036827418e-78,"GRCh38-KIF21A","KIF21A","2"
4.71665150959394e-83,0.296171517336044,0.783,0.665,3.41023337446661e-78,"GRCh38-ANTKMT","ANTKMT","2"
5.73629926519508e-83,0.315942597070114,0.979,0.939,4.14745909472135e-78,"GRCh38-RPN2","RPN2","2"
5.77357103198174e-83,0.337977449648922,0.914,0.85,4.17440732754344e-78,"GRCh38-MRPL28","MRPL28","2"
5.8667392171239e-83,0.443048899770394,0.95,0.882,4.24176978876492e-78,"GRCh38-SPTBN1","SPTBN1","2"
6.18439358278747e-83,0.268455809513579,0.964,0.899,4.471440248227e-78,"GRCh38-HSPH1","HSPH1","2"
7.22152200434766e-83,0.368726549842189,0.849,0.744,5.22130483958344e-78,"GRCh38-DNAJC10","DNAJC10","2"
7.69960068182956e-83,0.319481571334423,0.519,0.375,5.56696528497641e-78,"GRCh38-SPRY2","SPRY2","2"
8.3522219566865e-83,0.337235035818398,0.939,0.881,6.03882351912348e-78,"GRCh38-ARL2BP","ARL2BP","2"
8.63003258530479e-83,0.313869489496986,0.9,0.823,6.23968615982707e-78,"GRCh38-PFDN6","PFDN6","2"
8.96850385803925e-83,0.304484986141772,0.967,0.923,6.48440765943954e-78,"GRCh38-POLR2E","POLR2E","2"
1.01999130331499e-82,0.479190692956852,0.743,0.624,7.37474112122804e-78,"GRCh38-ANKRD50","ANKRD50","2"
1.05486253022836e-82,0.356629440582412,0.866,0.777,7.6268670660571e-78,"GRCh38-HMOX2","HMOX2","2"
1.20780073412688e-82,0.26407244679311,0.134,0.053,8.73264086788417e-78,"GRCh38-SPTSSB","SPTSSB","2"
1.22654074361065e-82,0.334855023073934,0.813,0.686,8.8681348844537e-78,"GRCh38-UBE2E2","UBE2E2","2"
1.30996332317642e-82,0.287654589112967,0.932,0.855,9.47129681923013e-78,"GRCh38-UTP11","UTP11","2"
1.49409162074638e-82,0.308748241938726,0.662,0.521,1.08025812363205e-77,"GRCh38-SGTB","SGTB","2"
1.59322250928456e-82,0.324959970519493,0.994,0.975,1.15193173866292e-77,"GRCh38-VDAC1","VDAC1","2"
1.9236743968462e-82,0.334608860932211,0.931,0.862,1.39085506240774e-77,"GRCh38-SRPRA","SRPRA","2"
2.24258814531232e-82,0.284533193975476,0.901,0.817,1.62143608082372e-77,"GRCh38-MAT2A","MAT2A","2"
2.31641275886509e-82,0.319186219630806,0.761,0.636,1.67481275291463e-77,"GRCh38-BOLA3","BOLA3","2"
2.58880069538744e-82,0.58794013604397,0.926,0.864,1.87175467877903e-77,"GRCh38-PRNP","PRNP","2"
3.99758412035024e-82,0.282843656215881,0.914,0.828,2.89033327069563e-77,"GRCh38-AHSA1","AHSA1","2"
5.25840703569327e-82,0.420101019780283,0.619,0.488,3.80193345494695e-77,"GRCh38-ATP8B1","ATP8B1","2"
5.55514711498035e-82,0.373904034258576,0.987,0.943,4.01648246707309e-77,"GRCh38-CDC42BPA","CDC42BPA","2"
6.49219437114674e-82,0.325814056461863,0.996,0.977,4.69398637422652e-77,"GRCh38-POMP","POMP","2"
6.62459086601629e-82,0.351050644025762,0.729,0.608,4.7897116879471e-77,"GRCh38-TMEM120B","TMEM120B","2"
7.56979262794457e-82,0.3083592860942,0.79,0.687,5.47311146585648e-77,"GRCh38-LMO4","LMO4","2"
7.61844050652756e-82,0.393176518259942,0.688,0.562,5.50828485502956e-77,"GRCh38-OSBPL3","OSBPL3","2"
7.63952939673709e-82,0.482840865683849,0.982,0.945,5.52353254442885e-77,"GRCh38-PRDX4","PRDX4","2"
7.97772592516189e-82,0.301804654905338,0.844,0.745,5.76805539841055e-77,"GRCh38-SIN3B","SIN3B","2"
8.7493988216546e-82,0.298643965562134,0.86,0.77,6.32599033603271e-77,"GRCh38-MRPL58","MRPL58","2"
9.70782314042342e-82,0.279324350280097,0.957,0.883,7.01895028698894e-77,"GRCh38-SRPK1","SRPK1","2"
1.08401242712039e-81,0.290582220955799,0.891,0.802,7.83762665056581e-77,"GRCh38-GTF2H3","GTF2H3","2"
1.10732087330921e-81,0.324736658108892,0.753,0.618,8.00615137820024e-77,"GRCh38-MYO1E","MYO1E","2"
1.58499374957597e-81,0.406038879818189,0.889,0.801,1.14598218081842e-76,"GRCh38-ABL2","ABL2","2"
1.62172118812443e-81,0.259505835783453,0.944,0.886,1.17253685343773e-76,"GRCh38-CDC123","CDC123","2"
2.48679865381447e-81,0.258673382843572,0.985,0.955,1.79800516268094e-76,"GRCh38-ATF4","ATF4","2"
2.57032991459417e-81,0.328651016084344,0.984,0.951,1.85839993484988e-76,"GRCh38-COPE","COPE","2"
2.58654820561254e-81,0.336729079954113,0.687,0.559,1.87012608362198e-76,"GRCh38-ZNF281","ZNF281","2"
2.65120685816368e-81,0.280417758389098,0.719,0.578,1.91687558258951e-76,"GRCh38-POLR1A","POLR1A","2"
3.34883188482059e-81,0.348560207871082,0.925,0.849,2.42127242936299e-76,"GRCh38-SSH1","SSH1","2"
4.42541304495082e-81,0.298434498465783,0.57,0.422,3.19966213976034e-76,"GRCh38-GTPBP2","GTPBP2","2"
4.66792113815215e-81,0.288938416356395,0.966,0.925,3.37500034130677e-76,"GRCh38-BLVRB","BLVRB","2"
4.83673518020842e-81,0.26318515943248,0.992,0.972,3.49705626999429e-76,"GRCh38-SEPTIN7","SEPTIN7","2"
4.96873620782908e-81,0.483929096613424,0.803,0.701,3.59249565298459e-76,"GRCh38-LYN","LYN","2"
