"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
2.11001458030199e-58,2.50632359966266,0.971,0.442,1.52558274184994e-53,"GRCh38-TPX2","TPX2","4c"
5.59465379062726e-58,2.05854186896484,0.777,0.21,4.04504658369932e-53,"GRCh38-INCENP","INCENP","4c"
8.03061334451731e-58,1.05203298393355,0.495,0.078,5.8062940603529e-53,"GRCh38-CCNB3","CCNB3","4c"
1.74392193298284e-57,1.37900689558594,0.796,0.214,1.26089043598525e-52,"GRCh38-C5orf34","C5orf34","4c"
1.85506916771454e-57,1.91546176409752,0.66,0.148,1.34125210964096e-52,"GRCh38-DBF4B","DBF4B","4c"
4.75871642152025e-57,2.20564523362935,0.854,0.292,3.44064714708757e-52,"GRCh38-KIF11","KIF11","4c"
2.32212330077587e-56,0.946924972487085,0.534,0.089,1.67894158892697e-51,"GRCh38-SKA1","SKA1","4c"
2.69452407946426e-56,1.77431700491613,0.796,0.209,1.94819479993425e-51,"GRCh38-BRIP1","BRIP1","4c"
7.30092008452021e-56,1.14183697500597,0.718,0.157,5.2787112395098e-51,"GRCh38-RAD51AP1","RAD51AP1","4c"
1.95948267706005e-55,2.36721907523159,0.942,0.377,1.41674516516795e-50,"GRCh38-PRR11","PRR11","4c"
3.05139108830493e-55,1.86218915261993,0.816,0.245,2.20621678466623e-50,"GRCh38-AURKA","AURKA","4c"
5.04034382344874e-55,1.69998498265683,0.796,0.222,3.64426939122991e-50,"GRCh38-CIP2A","CIP2A","4c"
6.45412841466233e-55,1.58475958892541,0.641,0.129,4.66646392636916e-50,"GRCh38-ASF1B","ASF1B","4c"
8.19971822675208e-55,2.28073636855501,0.961,0.42,5.92856027230629e-50,"GRCh38-KIF20B","KIF20B","4c"
2.22707645489314e-54,1.13093052445886,0.621,0.122,1.61022081841684e-49,"GRCh38-BLM","BLM","4c"
6.66171513017092e-53,1.33875687686668,0.621,0.129,4.81655327341618e-48,"GRCh38-CDCA5","CDCA5","4c"
7.52863177043808e-52,2.18483843450456,0.874,0.332,5.44335134266214e-47,"GRCh38-GPSM2","GPSM2","4c"
2.32924898388725e-51,1.16984862849301,0.573,0.114,1.68409360033016e-46,"GRCh38-SPC24","SPC24","4c"
3.92003346900613e-51,0.864159971893192,0.515,0.089,2.83426259876081e-46,"GRCh38-SKA3","SKA3","4c"
4.10874154287127e-51,2.23858396139954,0.932,0.435,2.97070231032679e-46,"GRCh38-ECT2","ECT2","4c"
7.14899909018522e-51,2.14903854337434,0.786,0.25,5.16886932218572e-46,"GRCh38-GAS2L3","GAS2L3","4c"
1.40202913000071e-50,0.451111275452843,0.272,0.028,1.01369510157312e-45,"GRCh38-FAM72D","FAM72D","4c"
4.54963596167329e-50,2.20538419425266,0.932,0.435,3.28947779300902e-45,"GRCh38-NUSAP1","NUSAP1","4c"
3.36917108141323e-49,0.747566912794287,0.447,0.072,2.4359780752834e-44,"GRCh38-EME1","EME1","4c"
6.09131422901846e-49,0.774847466017409,0.485,0.084,4.40414201386493e-44,"GRCh38-RECQL4","RECQL4","4c"
1.95017057714107e-48,0.921275798534482,0.563,0.112,1.41001233068454e-43,"GRCh38-OIP5","OIP5","4c"
2.50752368366383e-48,1.81715391852341,0.757,0.24,1.81298977376262e-43,"GRCh38-C21orf58","C21orf58","4c"
2.88645027179913e-48,1.19777342720311,0.583,0.124,2.08696127551621e-43,"GRCh38-KIF24","KIF24","4c"
4.55169334525578e-48,1.07967234835201,0.66,0.151,3.29096532248683e-43,"GRCh38-ZWINT","ZWINT","4c"
2.13933389633889e-47,0.930881969682422,0.524,0.102,1.54678119373094e-42,"GRCh38-BORA","BORA","4c"
2.68461161885391e-47,2.41666182109857,0.874,0.375,1.94102789266376e-42,"GRCh38-KIF18A","KIF18A","4c"
3.94741838125771e-47,1.79794731748311,0.748,0.218,2.85406243801695e-42,"GRCh38-UBE2C","UBE2C","4c"
4.44106638888819e-47,1.616280806813,0.806,0.266,3.21097982049394e-42,"GRCh38-KNTC1","KNTC1","4c"
6.81928453986753e-47,1.0952942479861,0.524,0.104,4.93047910801502e-42,"GRCh38-MYBL1","MYBL1","4c"
6.99516469054668e-47,0.487338865965818,0.204,0.017,5.05764397455906e-42,"GRCh38-ENSG00000287022","ENSG00000287022","4c"
2.44557991814035e-46,1.30311463057772,0.777,0.234,1.76820319241384e-41,"GRCh38-CCNB2","CCNB2","4c"
2.64476002839779e-46,1.62848089537691,0.893,0.32,1.91221439573217e-41,"GRCh38-BRCA1","BRCA1","4c"
2.70178625838948e-46,-2.36121962556073,0.99,0.997,1.95344550054076e-41,"GRCh38-RPL10","RPL10","4c"
4.25320890291656e-46,-2.301485711518,0.961,0.993,3.07515510098673e-41,"GRCh38-RPL12","RPL12","4c"
4.52958493828839e-46,0.84003224201806,0.534,0.108,3.27498050208127e-41,"GRCh38-MTFR2","MTFR2","4c"
4.85932071146106e-46,1.18440593085811,0.621,0.146,3.51338606080058e-41,"GRCh38-CCDC15","CCDC15","4c"
2.64974958935222e-45,1.7458981455178,0.845,0.318,1.91582194809344e-40,"GRCh38-FANCI","FANCI","4c"
3.09777411067075e-45,2.71545837848485,0.67,0.194,2.23975263749716e-40,"GRCh38-HCCS-DT","HCCS-DT","4c"
3.82314018446697e-45,-2.40639791809513,0.903,0.978,2.76420681617331e-40,"GRCh38-SNHG29","SNHG29","4c"
1.40172614807663e-44,-2.24676402083573,0.99,0.996,1.01347603958236e-39,"GRCh38-RPS8","RPS8","4c"
1.49806742343885e-44,-2.12157504923741,0.961,0.993,1.08313270849476e-39,"GRCh38-RPL39","RPL39","4c"
1.93267594718055e-44,1.04093676836759,0.495,0.093,1.39736336333048e-39,"GRCh38-EXO1","EXO1","4c"
4.42192456019074e-44,1.39108938679633,0.621,0.155,3.19713989550911e-39,"GRCh38-RTKN2","RTKN2","4c"
1.18485387763628e-43,-2.16000034474796,0.981,0.992,8.56673050608586e-39,"GRCh38-RPL5","RPL5","4c"
2.42689625877317e-43,1.19351011243447,0.65,0.155,1.75469453301818e-38,"GRCh38-MYBL2","MYBL2","4c"
6.24661945185678e-43,1.06351858754478,0.816,0.258,4.51643079608149e-38,"GRCh38-CDKN3","CDKN3","4c"
8.48149255751959e-43,0.739099703985503,0.534,0.107,6.13228874893781e-38,"GRCh38-PKMYT1","PKMYT1","4c"
1.11473432148091e-42,1.13364945086321,0.786,0.225,8.0597520911713e-38,"GRCm39-Cmss1","Cmss1","4c"
2.00056498053944e-42,1.43175225476672,0.699,0.205,1.44644849222962e-37,"GRCh38-GINS1","GINS1","4c"
2.67201946905066e-42,-1.87963201382354,0.825,0.97,1.93192351651301e-37,"GRCh38-GPX4","GPX4","4c"
2.85956725196587e-42,1.14065057843089,0.718,0.22,2.06752431451636e-37,"GRCh38-CENPO","CENPO","4c"
2.93238137234866e-42,0.373679923122362,0.126,0.008,2.12017037983553e-37,"GRCh38-ENSG00000287392","ENSG00000287392","4c"
3.06687096793403e-42,-2.03728447693083,0.99,0.993,2.21740904723567e-37,"GRCh38-RPS3A","RPS3A","4c"
3.14251296800783e-42,-1.95999472387676,1,0.998,2.27209972612902e-37,"GRCh38-TPT1","TPT1","4c"
3.66409268822987e-42,-2.62067553255079,0.427,0.899,2.64921229544396e-37,"GRCh38-RPSA2","RPSA2","4c"
4.55353912846484e-42,-1.95720368344769,0.942,0.991,3.29229986066265e-37,"GRCh38-RPL29","RPL29","4c"
8.81943264904086e-42,1.20787379494209,0.592,0.132,6.37662619390952e-37,"GRCh38-DTL","DTL","4c"
1.00062261516958e-41,1.37840687544133,0.67,0.192,7.23470163219913e-37,"GRCh38-ZGRF1","ZGRF1","4c"
1.27614591025529e-41,-1.99423629461597,0.767,0.962,9.22679016032779e-37,"GRCh38-LGALS3","LGALS3","4c"
1.32563102343065e-41,-1.97720859394738,0.971,0.991,9.58457742560828e-37,"GRCh38-RPL18","RPL18","4c"
1.75089015555215e-41,-1.89097562322158,0.971,0.994,1.26592860026732e-36,"GRCh38-RPLP0","RPLP0","4c"
1.89070462860951e-41,0.326131320485224,0.126,0.008,1.36701726057725e-36,"GRCh38-TMEM244","TMEM244","4c"
3.64785230364067e-41,-1.90401650841424,0.981,0.993,2.63747017257828e-36,"GRCh38-RPL34","RPL34","4c"
4.32925026809964e-41,1.74564924444624,0.689,0.202,3.1301345288414e-36,"GRCh38-STON2","STON2","4c"
5.20675660828974e-41,-1.89342363594315,0.981,0.993,3.76458916292565e-36,"GRCh38-RPL7A","RPL7A","4c"
6.04233098963758e-41,1.58653272011391,0.864,0.363,4.36872615212777e-36,"GRCh38-CENPK","CENPK","4c"
6.94091173008121e-41,-3.05081852165753,0.476,0.905,5.01841799908332e-36,"GRCh38-OOEP","OOEP","4c"
1.48892180689858e-40,-1.94045539020852,0.951,0.992,1.07652024482381e-35,"GRCh38-RPS15A","RPS15A","4c"
2.22866926138095e-40,0.963654591753217,0.845,0.246,1.61137244936366e-35,"GRCm39-Cxcl2","Cxcl2","4c"
2.8148618521425e-40,1.97959991085314,0.903,0.403,2.03520141633607e-35,"GRCh38-BRCA2","BRCA2","4c"
3.51305616623306e-40,1.14260229555554,0.748,0.226,2.54000986930983e-35,"GRCh38-ORC6","ORC6","4c"
4.89003328819384e-40,0.928108218496748,0.272,0.034,3.53559186802991e-35,"GRCh38-RERGL","RERGL","4c"
4.9795413636107e-40,-2.42179042102503,0.301,0.859,3.60030799671781e-35,"GRCh38-ENSG00000285080","ENSG00000285080","4c"
5.44430379005895e-40,-2.52483723752939,0.184,0.818,3.93634052628842e-35,"GRCh38-SLC35F1","SLC35F1","4c"
6.69115671003536e-40,1.44895085510713,0.777,0.284,4.83784012448977e-35,"GRCh38-CENPA","CENPA","4c"
7.02494340897173e-40,-1.8488282734995,0.971,0.992,5.07917458355474e-35,"GRCh38-RACK1","RACK1","4c"
7.44791245056366e-40,3.67956162464651,0.951,0.864,5.38498966000654e-35,"GRCh38-ENSG00000289474","ENSG00000289474","4c"
7.66652830841572e-40,-1.90660484754698,0.835,0.967,5.54305329755074e-35,"GRCh38-GAS5","GAS5","4c"
9.01706552675603e-40,-1.90343602323283,0.961,0.992,6.51951871715515e-35,"GRCh38-RPL35A","RPL35A","4c"
1.31697246454286e-39,0.865568207191063,0.437,0.082,9.52197431313782e-35,"GRCh38-SAPCD2","SAPCD2","4c"
1.6892054149879e-39,-1.91414610350603,0.99,0.995,1.22132929914455e-34,"GRCh38-RPS3","RPS3","4c"
2.0069122768362e-39,-1.89304419378609,0.981,0.991,1.45103771439811e-34,"GRCh38-RPS10","RPS10","4c"
2.74916544632287e-39,-1.79724283690128,0.99,0.996,1.98770160100036e-34,"GRCh38-RPL13","RPL13","4c"
3.05324797243257e-39,-1.86953438239221,0.951,0.991,2.2075593490282e-34,"GRCh38-RPL9","RPL9","4c"
4.13152077204692e-39,-2.47156281402907,0.35,0.859,2.98717214860536e-34,"GRCh38-STEAP1B","STEAP1B","4c"
5.24438447523801e-39,-1.71183899835993,0.99,0.995,3.79179486328659e-34,"GRCh38-RPL28","RPL28","4c"
5.46384628167451e-39,-1.80585280030401,0.971,0.993,3.9504701385763e-34,"GRCh38-RPL18A","RPL18A","4c"
5.48740240620719e-39,-1.7790608300631,0.961,0.991,3.96750168773592e-34,"GRCh38-RPL7","RPL7","4c"
5.54631193656656e-39,-1.92801668640153,1,0.993,4.01009445637635e-34,"GRCh38-RPS14","RPS14","4c"
7.66063013571122e-39,-1.68799119652903,0.961,0.989,5.53878880072193e-34,"GRCh38-RPL31","RPL31","4c"
7.75798754318106e-39,-1.79790426650103,0.99,0.996,5.60918015347077e-34,"GRCh38-RPL13A","RPL13A","4c"
7.89045665581722e-39,-1.82978436679797,0.99,0.996,5.70495797128897e-34,"GRCh38-RPS12","RPS12","4c"
8.57648427192217e-39,0.767893695589536,0.398,0.073,6.20096965828517e-34,"GRCh38-ENSG00000287895","ENSG00000287895","4c"
1.18415704766333e-38,1.68928260578469,0.631,0.169,8.56169228601538e-34,"GRCh38-FAT2","FAT2","4c"
1.19216399937464e-38,1.10277042034831,0.864,0.269,8.61958414827852e-34,"GRCm39-S100a9","S100a9","4c"
1.3393263816222e-38,-1.84402232943839,0.951,0.99,9.68359760440484e-34,"GRCh38-RPL17","RPL17","4c"
1.71081093720869e-38,-1.67248076903222,0.903,0.982,1.23695052382062e-33,"GRCh38-SERF2","SERF2","4c"
1.76587286389125e-38,1.2484212842732,0.709,0.218,1.27676139805065e-33,"GRCh38-MND1","MND1","4c"
1.84034676414945e-38,1.05906653613154,0.602,0.147,1.33060751741533e-33,"GRCh38-CLSPN","CLSPN","4c"
1.86553034465648e-38,1.44646303401715,0.796,0.304,1.34881574979353e-33,"GRCh38-KIF22","KIF22","4c"
2.26844977127014e-38,1.0118079238283,0.495,0.107,1.64013455362374e-33,"GRCh38-RAD54L","RAD54L","4c"
2.45051862954032e-38,1.62630829185408,0.825,0.332,1.77177397953024e-33,"GRCh38-ATAD5","ATAD5","4c"
2.50211761076482e-38,3.57945487202496,0.981,0.939,1.80908107493518e-33,"GRCh38-ENSG00000289901","ENSG00000289901","4c"
2.82578676320328e-38,-1.73893054215768,0.981,0.992,2.04310034553124e-33,"GRCh38-RPL10A","RPL10A","4c"
2.9561125695332e-38,-1.78831880378425,0.99,0.993,2.1373285100239e-33,"GRCh38-RPL26","RPL26","4c"
3.12665946203735e-38,-1.78931415684894,0.971,0.993,2.26063732424225e-33,"GRCh38-RPS27A","RPS27A","4c"
4.28850836366335e-38,-1.71187554530218,0.728,0.962,3.10067731709587e-33,"GRCh38-SELENOM","SELENOM","4c"
4.30432952153447e-38,-1.68096496498495,1,0.997,3.11211633065986e-33,"GRCh38-RPLP1","RPLP1","4c"
