"mouse","initial_ploidy","dose","cluster_final","cluster_annotation","cluster_order","n_cells","total_cells","proportion","denominator_definition"
"2N-A2-0","2N","30mg/kg","10","cell_cycle_candidate",7,69,317,0.217665615141956,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-L","2N","30mg/kg","10","cell_cycle_candidate",7,152,505,0.300990099009901,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-R","2N","120mg/kg","10","cell_cycle_candidate",7,108,305,0.354098360655738,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-RL","2N","120mg/kg","10","cell_cycle_candidate",7,232,1280,0.18125,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-0","4N","0mg/kg","10","cell_cycle_candidate",7,73,888,0.0822072072072072,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-RR","4N","0mg/kg","10","cell_cycle_candidate",7,103,393,0.262086513994911,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-L","4N","0mg/kg","10","cell_cycle_candidate",7,98,385,0.254545454545455,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-R","4N","0mg/kg","10","cell_cycle_candidate",7,78,358,0.217877094972067,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-O","4N","30mg/kg","10","cell_cycle_candidate",7,47,189,0.248677248677249,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-RR","4N","30mg/kg","10","cell_cycle_candidate",7,128,660,0.193939393939394,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RL","4N","120mg/kg","10","cell_cycle_candidate",7,335,1832,0.182860262008734,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RR","4N","120mg/kg","10","cell_cycle_candidate",7,72,247,0.291497975708502,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-0","2N","0mg/kg","13","not_cell_cycle_candidate",8,20,413,0.0484261501210654,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-LR","2N","0mg/kg","13","not_cell_cycle_candidate",8,24,369,0.0650406504065041,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-R","2N","0mg/kg","13","not_cell_cycle_candidate",8,12,196,0.0612244897959184,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-RR","2N","0mg/kg","13","not_cell_cycle_candidate",8,81,1495,0.054180602006689,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-0","2N","30mg/kg","13","not_cell_cycle_candidate",8,21,317,0.0662460567823344,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-L","2N","30mg/kg","13","not_cell_cycle_candidate",8,17,505,0.0336633663366337,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-R","2N","120mg/kg","13","not_cell_cycle_candidate",8,13,305,0.0426229508196721,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-RL","2N","120mg/kg","13","not_cell_cycle_candidate",8,42,1280,0.0328125,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-0","4N","0mg/kg","13","not_cell_cycle_candidate",8,54,888,0.0608108108108108,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-RR","4N","0mg/kg","13","not_cell_cycle_candidate",8,22,393,0.0559796437659033,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-L","4N","0mg/kg","13","not_cell_cycle_candidate",8,23,385,0.0597402597402597,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-R","4N","0mg/kg","13","not_cell_cycle_candidate",8,26,358,0.0726256983240224,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-O","4N","30mg/kg","13","not_cell_cycle_candidate",8,6,189,0.0317460317460317,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-RR","4N","30mg/kg","13","not_cell_cycle_candidate",8,37,660,0.0560606060606061,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RL","4N","120mg/kg","13","not_cell_cycle_candidate",8,101,1832,0.0551310043668122,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RR","4N","120mg/kg","13","not_cell_cycle_candidate",8,7,247,0.0283400809716599,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-0","2N","0mg/kg","14","not_cell_cycle_candidate",9,0,413,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-LR","2N","0mg/kg","14","not_cell_cycle_candidate",9,0,369,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-R","2N","0mg/kg","14","not_cell_cycle_candidate",9,0,196,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A1-RR","2N","0mg/kg","14","not_cell_cycle_candidate",9,1,1495,0.000668896321070234,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-0","2N","30mg/kg","14","not_cell_cycle_candidate",9,0,317,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A2-L","2N","30mg/kg","14","not_cell_cycle_candidate",9,0,505,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-R","2N","120mg/kg","14","not_cell_cycle_candidate",9,0,305,0,"all canonical cells with included_in_si_figures=true within mouse"
"2N-A4-RL","2N","120mg/kg","14","not_cell_cycle_candidate",9,1,1280,0.00078125,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-0","4N","0mg/kg","14","not_cell_cycle_candidate",9,1,888,0.00112612612612613,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A5-RR","4N","0mg/kg","14","not_cell_cycle_candidate",9,0,393,0,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-L","4N","0mg/kg","14","not_cell_cycle_candidate",9,0,385,0,"all canonical cells with included_in_si_figures=true within mouse"
"A5-4N-R","4N","0mg/kg","14","not_cell_cycle_candidate",9,0,358,0,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-O","4N","30mg/kg","14","not_cell_cycle_candidate",9,0,189,0,"all canonical cells with included_in_si_figures=true within mouse"
"A6-4N-RR","4N","30mg/kg","14","not_cell_cycle_candidate",9,0,660,0,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RL","4N","120mg/kg","14","not_cell_cycle_candidate",9,0,1832,0,"all canonical cells with included_in_si_figures=true within mouse"
"4N-A8-RR","4N","120mg/kg","14","not_cell_cycle_candidate",9,0,247,0,"all canonical cells with included_in_si_figures=true within mouse"
