"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
7.47806304477274e-106,1.38721471447577,0.578,0.371,5.40678914263158e-101,"GRCh38-IL6","IL6",5,"IL6",1.38721471447577,5.40678914263158e-101,0.207,1.38721471447577,0.207
2.96110642464366e-125,1.37286697103009,0.736,0.547,2.14093916714586e-120,"GRCh38-PLAUR","PLAUR",5,"PLAUR",1.37286697103009,2.14093916714586e-120,0.189,1.37286697103009,0.189
9.05426061989636e-168,1.35634126358228,0.778,0.552,6.54641151339746e-163,"GRCh38-PLCG2","PLCG2",5,"PLCG2",1.35634126358228,6.54641151339746e-163,0.226,1.35634126358228,0.226
6.70259464913464e-179,1.35252539485569,0.88,0.778,4.84610998321733e-174,"GRCh38-ZFP36L2","ZFP36L2",5,"ZFP36L2",1.35252539485569,4.84610998321733e-174,0.102,1.35252539485569,0.102
1.020758422397e-124,1.34767267950365,0.803,0.739,7.38028754561478e-120,"GRCh38-MFSD14A","MFSD14A",5,"MFSD14A",1.34767267950365,7.38028754561478e-120,0.0640000000000001,1.34767267950365,0.0640000000000001
3.21144667204764e-146,1.33829078775607,0.761,0.576,2.32194017282388e-141,"GRCh38-WARS1","WARS1",5,"WARS1",1.33829078775607,2.32194017282388e-141,0.185,1.33829078775607,0.185
3.79270355488542e-179,1.33290577641526,0.905,0.852,2.74220052425325e-174,"GRCh38-IRF1","IRF1",5,"IRF1",1.33290577641526,2.74220052425325e-174,0.053,1.33290577641526,0.053
3.92025810205873e-169,1.32506965027416,0.754,0.544,2.8344250129505e-164,"GRCh38-JAK2","JAK2",5,"JAK2",1.32506965027416,2.8344250129505e-164,0.21,1.32506965027416,0.21
1.58356831935907e-295,1.31207815094805,0.625,0.273,1.14495156626299e-290,"GRCh38-AIM2","AIM2",5,"AIM2",1.31207815094805,1.14495156626299e-290,0.352,1.31207815094805,0.352
4.35272397075336e-144,1.30044729054923,0.86,0.769,3.14710648533409e-139,"GRCh38-GBP1","GBP1",5,"GBP1",1.30044729054923,3.14710648533409e-139,0.091,1.30044729054923,0.091
0,1.29654249424895,0.798,0.499,0,"GRCh38-APOL1","APOL1",5,"APOL1",1.29654249424895,0,0.299,1.29654249424895,0.299
7.75239902227244e-266,1.28163481532441,0.623,0.317,5.60513954108342e-261,"GRCh38-CD99P1","CD99P1",5,"CD99P1",1.28163481532441,5.60513954108342e-261,0.306,1.28163481532441,0.306
3.63219847843724e-109,1.26672182340268,0.685,0.528,2.62615214387969e-104,"GRCh38-PPM1K","PPM1K",5,"PPM1K",1.26672182340268,2.62615214387969e-104,0.157,1.26672182340268,0.157
0,1.25357003431698,0.602,0.155,0,"GRCh38-RTP4","RTP4",5,"RTP4",1.25357003431698,0,0.447,1.25357003431698,0.447
4.90771567100511e-15,1.2406211480674,0.191,0.13,3.54837658445011e-10,"GRCh38-CXCL1","CXCL1",5,"CXCL1",1.2406211480674,3.54837658445011e-10,0.061,1.2406211480674,0.061
2.39559864363039e-110,1.23765609827116,0.422,0.215,1.73206573131764e-105,"GRCh38-TNFSF10","TNFSF10",5,"TNFSF10",1.23765609827116,1.73206573131764e-105,0.207,1.23765609827116,0.207
1.12891256030885e-303,1.22141109667088,0.389,0.11,8.16226359354502e-299,"GRCh38-IDO1","IDO1",5,"IDO1",1.22141109667088,8.16226359354502e-299,0.279,1.22141109667088,0.279
3.34519240221814e-260,1.21280519352268,0.805,0.542,2.41864101065176e-255,"GRCh38-SAMHD1","SAMHD1",5,"SAMHD1",1.21280519352268,2.41864101065176e-255,0.263,1.21280519352268,0.263
0,1.20167571535665,0.699,0.315,0,"GRCh38-TRANK1","TRANK1",5,"TRANK1",1.20167571535665,0,0.384,1.20167571535665,0.384
3.76955257359306e-212,1.19404266937124,0.939,0.872,2.72546190175925e-207,"GRCh38-CCND3","CCND3",5,"CCND3",1.19404266937124,2.72546190175925e-207,0.0669999999999999,1.19404266937124,0.0669999999999999
2.86121648080418e-100,1.19080313044555,0.615,0.447,2.06871673995104e-95,"GRCh38-NEDD1","NEDD1",5,"NEDD1",1.19080313044555,2.06871673995104e-95,0.168,1.19080313044555,0.168
7.92621008453567e-176,1.1871582582156,0.833,0.635,5.73080841532098e-171,"GRCh38-COL8A1","COL8A1",5,"COL8A1",1.1871582582156,5.73080841532098e-171,0.198,1.1871582582156,0.198
2.15627369093817e-38,1.16920532438496,0.619,0.511,1.55902900402212e-33,"GRCh38-S100A8","S100A8",5,"S100A8",1.16920532438496,1.55902900402212e-33,0.108,1.16920532438496,0.108
1.70380659680034e-148,1.15701443896856,0.884,0.671,1.23188624561858e-143,"GRCh38-KRT17","KRT17",5,"KRT17",1.15701443896856,1.23188624561858e-143,0.213,1.15701443896856,0.213
2.40891201950267e-132,1.15154474080585,0.34,0.141,1.74169156834082e-127,"GRCh38-GBP5","GBP5",5,"GBP5",1.15154474080585,1.74169156834082e-127,0.199,1.15154474080585,0.199
