"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
1.26336455521269e-19,-0.557750007595177,0.467,0.542,9.1343784070988e-15,"GRCh38-TAF4B","TAF4B","8"
1.30186326834698e-19,0.284045366633871,0.351,0.257,9.41273180280232e-15,"GRCh38-WNT6","WNT6","8"
1.31572338805503e-19,-0.259448520308267,0.13,0.223,9.5129432403155e-15,"GRCh38-AFF2","AFF2","8"
1.6435857718681e-19,-0.478221028371624,0.198,0.286,1.18834538477608e-14,"GRCh38-IRF7","IRF7","8"
1.6437482478219e-19,-0.412340979601298,0.197,0.289,1.18846285814019e-14,"GRCh38-CD68","CD68","8"
1.7095574319527e-19,-0.312713112770585,0.098,0.183,1.23604421445044e-14,"GRCh38-MCM2","MCM2","8"
1.95223991650061e-19,-0.287664259036792,0.544,0.62,1.41150850442827e-14,"GRCh38-CDK5RAP1","CDK5RAP1","8"
2.09593525587966e-19,-0.389552657559042,0.759,0.792,1.51540310870611e-14,"GRCh38-SCAPER","SCAPER","8"
2.15017086033848e-19,-0.986599170494067,0.848,0.833,1.55461653544193e-14,"GRCh38-SIK3","SIK3","8"
2.18797886235854e-19,-0.34730009451781,0.307,0.408,1.58195247706247e-14,"GRCh38-PAEP","PAEP","8"
2.21687226389362e-19,-0.620848656406322,0.737,0.785,1.60284298424036e-14,"GRCh38-ZFP36L2","ZFP36L2","8"
2.38919995174614e-19,-0.468502261752619,1,0.979,1.72743934911149e-14,"GRCh38-YWHAB","YWHAB","8"
2.47016627422481e-19,-0.69077323718715,0.998,0.979,1.78597961959002e-14,"GRCh38-SQSTM1","SQSTM1","8"
2.52145367468495e-19,-0.462393095925517,0.94,0.926,1.82306143587071e-14,"GRCh38-HMGN3","HMGN3","8"
2.67707461240091e-19,-0.47927858453871,0.588,0.652,1.93557848625811e-14,"GRCh38-SKI","SKI","8"
2.69433908071395e-19,-0.340552168366916,0.969,0.939,1.9480610421378e-14,"GRCh38-RTF2","RTF2","8"
2.71442367223181e-19,-0.406442320392675,0.748,0.794,1.96258260349704e-14,"GRCh38-ITPRIPL2","ITPRIPL2","8"
2.74258367141574e-19,-0.467277201397965,0.449,0.528,1.98294284610701e-14,"GRCh38-KDM3A","KDM3A","8"
2.82065319904318e-19,-0.455378151639675,0.821,0.834,2.0393886759722e-14,"GRCh38-COL7A1","COL7A1","8"
3.06952361528803e-19,-0.525932950995629,0.241,0.335,2.21932696432555e-14,"GRCh38-KIF26B","KIF26B","8"
3.27955874056848e-19,-0.373118312699275,0.43,0.514,2.37118656060583e-14,"GRCh38-DMKN","DMKN","8"
3.33257309351398e-19,-0.41182512071433,0.137,0.226,2.40951699807248e-14,"GRCh38-EVI2B","EVI2B","8"
3.38978373469434e-19,-0.480994265859624,0.08,0.161,2.4508814358587e-14,"GRCh38-PTPRD","PTPRD","8"
3.48937682083525e-19,-0.323025603640747,0.07,0.148,2.5228892290003e-14,"GRCh38-PSMC3IP","PSMC3IP","8"
3.51295986242069e-19,-0.327362398927614,0.79,0.8,2.5399402397274e-14,"GRCh38-POLR2J3","POLR2J3","8"
3.53997350414947e-19,-0.253555420064917,0.495,0.576,2.55947164297015e-14,"GRCh38-EPHB4","EPHB4","8"
3.61452976932077e-19,-0.498894926728689,0.731,0.76,2.6133773138143e-14,"GRCh38-IFRD1","IFRD1","8"
3.70672063209948e-19,-0.448325813708076,0.298,0.406,2.68003315142057e-14,"GRCh38-BACH2","BACH2","8"
3.7510292927215e-19,-0.364934130523312,0.592,0.654,2.7120691992235e-14,"GRCh38-DCP2","DCP2","8"
4.26561741909533e-19,-0.369363844176659,0.534,0.615,3.0841267063543e-14,"GRCh38-TOM1","TOM1","8"
4.46812503618027e-19,0.275218700773289,0.758,0.675,3.23054376365906e-14,"GRCh38-GLT8D2","GLT8D2","8"
4.82105779756797e-19,-0.513212149180276,0.617,0.672,3.48572120879759e-14,"GRCh38-MANBA","MANBA","8"
5.39917523242645e-19,-0.275672216489145,0.26,0.355,3.90371167654897e-14,"GRCh38-RPS6KA1","RPS6KA1","8"
5.75083658707064e-19,-0.274370691446952,0.367,0.463,4.15796986918382e-14,"GRCh38-TRAF2","TRAF2","8"
6.45929681912157e-19,-0.870544951689839,0.517,0.579,4.67020078616127e-14,"GRCh38-DOCK4","DOCK4","8"
8.00654105914092e-19,-0.565481224110863,0.079,0.157,5.78888931658007e-14,"GRCh38-H2AC12","H2AC12","8"
8.84026654544873e-19,-0.284820890913331,0.051,0.123,6.39168951769034e-14,"GRCh38-TCF19","TCF19","8"
9.32292910016502e-19,-0.285921580252985,0.414,0.503,6.74066419800131e-14,"GRCh38-ZGPAT","ZGPAT","8"
9.59965236689967e-19,-0.37349660680888,0.937,0.918,6.9407406543158e-14,"GRCh38-ANKRD12","ANKRD12","8"
9.83642657870087e-19,-0.678235133552949,0.405,0.48,7.1119331449323e-14,"GRCh38-UAP1","UAP1","8"
9.96514820043711e-19,-0.920066385633566,0.052,0.123,7.20500145188004e-14,"GRCh38-ENSG00000250697","ENSG00000250697","8"
1.03653398185986e-18,-0.730717625828231,0.612,0.653,7.49434799564315e-14,"GRCh38-PAM","PAM","8"
1.10843062003575e-18,-0.545687364876513,0.324,0.41,8.01417506898249e-14,"GRCh38-MXD1","MXD1","8"
1.16248181422077e-18,-0.283622685195576,0.583,0.65,8.40497601317905e-14,"GRCh38-ZCCHC14","ZCCHC14","8"
1.39486169530566e-18,-0.325645907635013,0.974,0.942,1.0085129029399e-13,"GRCh38-LAMB1","LAMB1","8"
1.59024358956428e-18,-0.617416636181362,0.355,0.437,1.14977792012677e-13,"GRCh38-AFF1","AFF1","8"
1.60856408545795e-18,-0.369371003979143,0.588,0.648,1.16302400506781e-13,"GRCh38-CEP250","CEP250","8"
1.64524826915774e-18,-0.566258112405213,0.548,0.602,1.18954740356643e-13,"GRCh38-SLC6A6","SLC6A6","8"
1.78295707404618e-18,-0.487817749478392,0.115,0.197,1.28911362367687e-13,"GRCh38-SLCO4A1","SLCO4A1","8"
1.79249562255686e-18,-0.486821544882797,0.17,0.256,1.29601018502106e-13,"GRCh38-PKIA","PKIA","8"
1.80610722745937e-18,-0.756514024996492,0.684,0.716,1.30585164759767e-13,"GRCh38-RBBP8","RBBP8","8"
2.08172072969179e-18,-1.12839628052292,0.564,0.61,1.50512572198176e-13,"GRCh38-ICAM1","ICAM1","8"
2.47123454342255e-18,-0.492864223086835,0.28,0.381,1.78675199958537e-13,"GRCh38-FOXP2","FOXP2","8"
2.56667466776237e-18,-0.481924701617276,0.935,0.914,1.85575711828555e-13,"GRCh38-MED13L","MED13L","8"
2.66857417308183e-18,-0.392905400574989,0.819,0.834,1.92943249862162e-13,"GRCh38-SERINC1","SERINC1","8"
2.72691223357439e-18,-0.401675777796661,0.985,0.957,1.97161208311896e-13,"GRCh38-LIMA1","LIMA1","8"
2.77611464036772e-18,-0.761747436417763,0.12,0.201,2.00718640727867e-13,"GRCh38-ZBTB7C","ZBTB7C","8"
2.78361160102279e-18,-0.986524999971287,0.155,0.242,2.0126068597715e-13,"GRCh38-ENSG00000286147","ENSG00000286147","8"
2.79478157361054e-18,-0.420075593866353,0.234,0.324,2.02068297335189e-13,"GRCh38-PARPBP","PARPBP","8"
2.81328784870372e-18,-0.581811105536671,0.728,0.749,2.03406338036977e-13,"GRCh38-ATP13A3","ATP13A3","8"
3.05656038734345e-18,-0.504811358410925,0.594,0.724,2.20995429125706e-13,"GRCh38-NCAM1","NCAM1","8"
3.1315573090954e-18,-0.316103560533145,0.491,0.567,2.26417856562215e-13,"GRCh38-BCOR","BCOR","8"
3.13914692438582e-18,0.255407246739815,0.888,0.834,2.26966600926944e-13,"GRCh38-ALDH3A2","ALDH3A2","8"
3.22570344825326e-18,-0.376003401715489,0.262,0.348,2.33224810715607e-13,"GRCh38-MZT1","MZT1","8"
3.57122916633949e-18,-0.998751179777964,0.145,0.225,2.58207011184678e-13,"GRCh38-TK1","TK1","8"
3.58646380414112e-18,-0.288184442714464,0.978,0.953,2.59308505967012e-13,"GRCh38-SPART","SPART","8"
3.65130061249072e-18,-0.321614707189936,0.422,0.506,2.63996336884304e-13,"GRCh38-MAP3K1","MAP3K1","8"
3.81902369084134e-18,-0.841201060511666,0.11,0.188,2.7612305089521e-13,"GRCh38-NCAPG","NCAPG","8"
4.09405242450504e-18,-1.00362061963722,0.3,0.369,2.96008178396563e-13,"GRCh38-SLC22A23","SLC22A23","8"
4.10250886188214e-18,-0.611279681754451,0.155,0.24,2.96619595731803e-13,"GRCh38-CCNB2","CCNB2","8"
4.12314688664423e-18,-0.395422316978077,0.82,0.837,2.98111766198151e-13,"GRCh38-CD2AP","CD2AP","8"
4.18131826820123e-18,-0.608198302869988,0.206,0.292,3.02317673427485e-13,"GRCh38-ANKRD37","ANKRD37","8"
4.30669018843431e-18,-0.500418113279845,0.375,0.452,3.11382314004178e-13,"GRCh38-ARF5","ARF5","8"
4.43965304505884e-18,-0.350250788766377,0.678,0.723,3.20995794463844e-13,"GRCh38-CREG1","CREG1","8"
4.60134071389085e-18,-0.265974367292021,0.566,0.629,3.32686136295736e-13,"GRCh38-PCMTD2","PCMTD2","8"
4.65303827289538e-18,-0.678320231590969,0.942,0.911,3.36423973206882e-13,"GRCh38-AGAP1","AGAP1","8"
4.72682531093833e-18,-0.278632431785173,0.253,0.345,3.41758923631463e-13,"GRCh38-ETV3","ETV3","8"
4.77567066348869e-18,-0.278654514293858,0.094,0.175,3.45290540311559e-13,"GRCh38-PAPSS2","PAPSS2","8"
4.86435983385023e-18,-0.362158650382022,0.778,0.807,3.51702944707039e-13,"GRCh38-POU2F1","POU2F1","8"
4.93459050537761e-18,-0.46587667449409,0.455,0.534,3.56780762719812e-13,"GRCh38-RAD18","RAD18","8"
5.31607369945935e-18,-0.36513974419183,0.826,0.828,3.8436276061831e-13,"GRCh38-TRPC4","TRPC4","8"
5.73705109325518e-18,-0.283453082255608,0.636,0.504,4.14800268144536e-13,"GRCh38-CASC15","CASC15","8"
5.92893827026007e-18,-0.323700207562622,0.438,0.519,4.28674094816344e-13,"GRCh38-ZNF124","ZNF124","8"
6.24689399894966e-18,-0.423033563503762,0.217,0.306,4.51662929912058e-13,"GRCh38-WDHD1","WDHD1","8"
6.34951427599634e-18,-0.252873149904964,0.53,0.596,4.59082581183088e-13,"GRCh38-ZNF512B","ZNF512B","8"
6.40236726876498e-18,-0.34713220778995,0.958,0.913,4.62903958266246e-13,"GRCh38-NABP1","NABP1","8"
6.42168209192723e-18,-0.45624442149468,0.745,0.772,4.64300458610523e-13,"GRCh38-AGPAT4","AGPAT4","8"
6.59268952445953e-18,-0.29988074262006,0.4,0.489,4.76664637997473e-13,"GRCh38-GLMP","GLMP","8"
7.07551091953433e-18,-0.273970303056277,0.324,0.414,5.11573590504171e-13,"GRCh38-SNX21","SNX21","8"
7.1795916447685e-18,-0.410286230470649,0.186,0.279,5.19098835100052e-13,"GRCh38-PRKCG","PRKCG","8"
7.23509588929953e-18,-0.311099338710489,0.333,0.43,5.23111902988134e-13,"GRCh38-CABLES1","CABLES1","8"
8.82577888246926e-18,-0.382860193969403,0.163,0.249,6.38121464760293e-13,"GRCh38-H4C5","H4C5","8"
8.83867801217319e-18,-0.328151196052523,0.119,0.204,6.39054097636146e-13,"GRCh38-GPRC5A","GPRC5A","8"
9.78956863756771e-18,-0.264592012216477,0.525,0.607,7.0780539163342e-13,"GRCh38-FLII","FLII","8"
1.01920920544824e-17,-0.615199927174727,0.984,0.927,7.36908639723189e-13,"GRCh38-BNIP3","BNIP3","8"
1.05617738358091e-17,-0.254780122668469,0.6,0.661,7.6363737187667e-13,"GRCh38-OSBPL2","OSBPL2","8"
1.10084068418274e-17,-0.370862938895625,0.409,0.484,7.95929831477803e-13,"GRCh38-F8A1","F8A1","8"
1.12291318017835e-17,-0.382013924514736,0.219,0.31,8.11888687532554e-13,"GRCh38-KNSTRN","KNSTRN","8"
1.20923008757612e-17,-0.331922473841465,0.74,0.773,8.74297537919287e-13,"GRCh38-ESRRA","ESRRA","8"
1.2164398554619e-17,-0.346188481742026,0.975,0.935,8.7951034429606e-13,"GRCh38-KMT2C","KMT2C","8"
1.2459362228439e-17,-0.335732328789531,0.07,0.143,9.00836807840594e-13,"GRCh38-FAM83B","FAM83B","8"
1.27824378541671e-17,-0.27931928137354,0.051,0.119,9.24195821731991e-13,"GRCh38-SPC24","SPC24","8"
1.37203264328487e-17,-0.313597706449164,0.048,0.116,9.92007041747825e-13,"GRCh38-RNF152","RNF152","8"
1.40940638338381e-17,-0.433558593613135,0.746,0.771,1.01902900331416e-12,"GRCh38-SWAP70","SWAP70","8"
1.51235280289537e-17,-0.276604485923481,0.144,0.229,1.09346132354941e-12,"GRCh38-CENPL","CENPL","8"
1.57175600843125e-17,-0.457603790749404,0.635,0.671,1.13641102921596e-12,"GRCh38-PXN","PXN","8"
1.64260561758533e-17,-0.526989495301259,0.051,0.119,1.18763671362654e-12,"GRCh38-ENSG00000249001","ENSG00000249001","8"
