direction	metric	cancer_type	category_label	pvalue	pvalue_for_fdr	qvalue_bh
low_ploidy_sensitive	Z_SCORE	NB	Epigenetic inhibitors	0.221	0.221	0.7359
low_ploidy_sensitive	Z_SCORE	NB	Other	0.859	0.859	1
low_ploidy_sensitive	Z_SCORE	NB	DNA damage repair inhibitors	0.874	0.874	1
low_ploidy_sensitive	Z_SCORE	NB	Metabolic/redox agents	0.91	0.91	1
low_ploidy_sensitive	Z_SCORE	NB	Proapoptotic agents	0.046	0.046	0.368
low_ploidy_sensitive	Z_SCORE	NB	WNT/HH pathway inhibitors	0.266	0.266	0.767740540540541
low_ploidy_sensitive	Z_SCORE	NB	Chemotherapy agents	0.471	0.471	0.949190839694656
low_ploidy_sensitive	Z_SCORE	NB	Chaperone/protein-homeostasis inhibitors	0.601	0.601	1
low_ploidy_sensitive	Z_SCORE	NB	p53/MDM2 pathway	0.627	0.627	1
low_ploidy_sensitive	Z_SCORE	NB	Hormone therapy	0.848	0.848	1
low_ploidy_sensitive	Z_SCORE	COREAD	Kinase inhibitors	1	1	1
low_ploidy_sensitive	Z_SCORE	COREAD	Epigenetic inhibitors	0.228	0.228	0.736
low_ploidy_sensitive	Z_SCORE	COREAD	Other	0.198	0.198	0.701684210526316
low_ploidy_sensitive	Z_SCORE	COREAD	DNA damage repair inhibitors	0.106	0.106	0.528
low_ploidy_sensitive	Z_SCORE	COREAD	Metabolic/redox agents	0.387	0.387	0.914451063829787
low_ploidy_sensitive	Z_SCORE	COREAD	Proapoptotic agents	0.937	0.937	1
low_ploidy_sensitive	Z_SCORE	COREAD	WNT/HH pathway inhibitors	0.349	0.349	0.889004651162791
low_ploidy_sensitive	Z_SCORE	COREAD	Chemotherapy agents	0	0.000999000999000999	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	COREAD	Chaperone/protein-homeostasis inhibitors	0.254	0.254	0.762
low_ploidy_sensitive	Z_SCORE	COREAD	p53/MDM2 pathway	0.13	0.13	0.5808
low_ploidy_sensitive	Z_SCORE	COREAD	Hormone therapy	0.687	0.687	1
low_ploidy_sensitive	Z_SCORE	LIHC	Kinase inhibitors	0.022	0.022	0.258133333333333
low_ploidy_sensitive	Z_SCORE	LIHC	Epigenetic inhibitors	0.881	0.881	1
low_ploidy_sensitive	Z_SCORE	LIHC	Other	0.19	0.19	0.694356164383562
low_ploidy_sensitive	Z_SCORE	LIHC	DNA damage repair inhibitors	0.564	0.564	1
low_ploidy_sensitive	Z_SCORE	LIHC	Metabolic/redox agents	0.125	0.125	0.578947368421053
