"panel","pseudotime","mean_ecdf","curve_label","color_group","line_group","n_samples.x","test_design","comparison","group_a","group_b","stratified_by_analysis_group","n_samples.y","n_group_a","n_group_b","observed_ecdf_rmse","observed_ecdf_ks","observed_ecdf_mean_abs","p_ecdf_rmse","p_ecdf_ks","p_ecdf_mean_abs","n_permutations","permutation_mode","method","q_ecdf_rmse_exploratory","q_ecdf_ks_exploratory","q_ecdf_mean_abs_exploratory","threshold","estimable","annotation"
"1. 0 vs treated",0.046,0.0491445286745763,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.048,0.0505123108398934,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.05,0.0522303105087128,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.052,0.0556410967496887,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.054,0.0560964701558818,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.056,0.0585518435620749,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.058,0.0606563993062741,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.06,0.0651645221632861,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.062,0.0673395571850364,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.064,0.0707056774036157,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.066,0.0738441109190984,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.068,0.078824736850544,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.07,0.0802881747728661,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.072,0.0872849297365698,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.074,0.0897833072184216,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.076,0.0953422534377471,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.078,0.0991648088507657,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.08,0.101944360188125,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.082,0.105855342313085,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.084,0.108608281541434,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.086,0.114562867900544,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.088,0.117315807128893,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.09,0.119234618457409,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.092,0.121331109685479,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.094,0.122593735948105,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.096,0.124690227176175,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.098,0.125145600582368,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.1,0.126469778513535,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.102,0.128706365203826,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.104,0.130941289947379,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.106,0.130941289947379,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.108,0.134440502900296,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.11,0.135808285065613,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0291836734693878,0.104761904761905,0.0538775510204082,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
