collection_id	collection_label	pathway_id	pathway_label	ranking_id	pval	padj	log2err	ES	NES	size	direction	nPermSimple	retry_round	leading_edge_genes	model_id
C5:GO:BP	GO biological process	GOBP_PARAXIAL_MESODERM_DEVELOPMENT	Paraxial Mesoderm Development	primary_adjacent_state	0.926726162517614	1	0.0291044135063116	-0.186016304326956	-0.666187254548335	17	negative	10000	0	FOXC1;TEAD2;BMPR1A;DLL3;WNT5A	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_CHEMOKINE_PRODUCTION	Chemokine Production	primary_adjacent_state	0.949221250266695	1	0.00507945876567319	0.17922368888737	0.666160920576882	75	positive	10000	0	ACKR1;CAMP;ALOX15B;TRPV4;HAVCR2;DEFB124;LPL;CLEC7A;CARD9;CSF1R;LBP;AGER;C1QTNF3;TLR7;ERBIN;AZU1;SYK;TREM2;ARG2	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_REGULATION_OF_CIRCADIAN_RHYTHM	Regulation of Circadian Rhythm	primary_adjacent_state	0.957417869847248	1	0.00439694194495413	0.173806564419164	0.665843299201549	98	positive	10000	0	TOP2A;HCRTR2;NMU;DRD2;ADRB1;GHRL;RORC;PASD1;BMAL1;SIK1;FXR1;PROX1;PIWIL2;SFPQ;ADORA1;PPARGC1A;BHLHE40;PER2;DRD4;MAPK10;ID2;KLF10;NR1D1;ADORA2A;NR1D2;USP9X;PER1;PRKAA2;OPN3;RORA	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_RESPONSE_TO_ISCHEMIA	Response to Ischemia	primary_adjacent_state	0.979269496544916	1	0.0434866142149823	-0.139366130677372	-0.665123978016114	50	negative	10000	0	BCL2;STUB1;CAV1;EEF2;PPIF;CIB1;SIRT5;TIGAR;CSF1;RCAN1	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_ENTRAINMENT_OF_CIRCADIAN_CLOCK_BY_PHOTOPERIOD	Entrainment of Circadian Clock by Photoperiod	primary_adjacent_state	0.940752189592993	1	0.0305292852884412	-0.177273147719915	-0.664860557635379	20	negative	10000	0	PPP1CA;PPP1CC;NR2F6;TP53;RBM4B;CRTC1;MTA1;CRY1;RBM4;PML;PER3;PPP1CB;USP2;CRY2;FBXL3;PER1;ID2;PER2;BHLHE40;SIK1	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_EXOCYTOSIS	Exocytosis	primary_adjacent_state	0.994085805934242	1	0.00132777386561875	0.161284039430162	0.664596920532126	305	positive	10000	0	GRIK5;PRAM1;SV2B;CPLX1;CPLX4;UNC13C;SYT8;CACNA1B;RAB21;BTK;CD160;SYT7;SYT5;RIMS3;SLC18A2;RAB44;CCR1;EXOC3L4;FCER1G;RASGRP1;HAP1;SCIN;FES;SYT11;P2RY1;SCN11A;ITGAM;SYNGR1;SYN1;SYT17;DOC2B;SDCBP;SPI1;SYN2;CLTRN;SYNGR3;SLC4A8;SYT2;SYT9;RAB5A;SYTL5;RAB15;BRSK1;WIPF3;BAIAP3;STXBP5L;AP1G1;RIMS1;NOTCH1;KCNB1;SYP;EXPH5;RAB7A;STX19;HLA-F;OTOF;SRCIN1;RPH3A;CSPG5;REST;ZP3;PRRT2;EXOC3L2;APOLD1;P2RX7;SNAP25;PREPL;STX1B;SYK;RASEF;RAB40A;BRAF;NKD2;DOC2A;LLGL2;SNPH;FOXF1;EXOC3L1;UNC13A;RAB40C;RAB26;LAT;CASK;TRIM72;SYTL2;SYT13;TPH1;SNAP23;VPS11;MYH10;CLNK;SEPTIN4;ANXA3;ABCA12;ITGB2;RAB11FIP5	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_PEPTIDE_TRANSPORT	Peptide Transport	primary_adjacent_state	0.984892738442945	1	0.00217372223846754	0.163618157822944	0.664586873786644	213	positive	10000	0	TNFSF11;CDH17;CAMP;CPLX1;TACR2;ALOX5;NMU;PDE8B;CELA2A;DRD2;TRPV4;SYT7;CD38;EPHA5;GHRL;ZBED6;FAM3B;SLC2A2;SOX4;PLA2G6;SLC30A8;TFR2;BMAL1;MLXIPL;GJA1;GAL;DOC2B;BMP8A;MMP7;GPLD1;CLTRN;NKX6-1;ILDR1;CCDC186;NPFF;ADORA1;SLC13A3;BAIAP3;ABCA1;TFAP2B;SIRT4;KCNB1;GIPR	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	Negative Regulation of Lipid Biosynthetic Process	primary_adjacent_state	0.975609756097561	1	0.0453371931652217	-0.137230678267267	-0.663802847517997	53	negative	10000	0	BRCA1;SPHK1;TMX1;ORMDL1;ERLIN1;GGCX;TRIB3;KLHL25;ORMDL2;INSIG1;SCAP	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	Epithelial Cell Differentiation Involved in Kidney Development	primary_adjacent_state	0.923832639852057	1	0.00723109742649719	0.200547104364039	0.66372793507077	36	positive	10000	0	CD24;GDNF;FOXJ1;NOTCH1;GATA3;NPHS1;EXT1;YAP1;EDN1;PTPRO;LHX1;LAMB2;PAX8;JAG1;IQGAP1;BASP1;KLF15	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	Epithelial Tube Branching Involved in Lung Morphogenesis	primary_adjacent_state	0.908158339367608	1	0.00827561309280259	0.215004452636495	0.663432416449663	25	positive	10000	0	FOXA1;FGFR2;BMP4;WNT2B;EXT1;FOXF1;YAP1;HOXA5;RDH10;LAMA1;RSPO2	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	Protein Transport along Microtubule	primary_adjacent_state	0.904868913857678	1	0.00889145172273372	0.227909122800811	0.662835372638359	19	positive	10000	0	SPAG17;FHIP2A;KIF5C;HOOK2;FHIP1B;CLIP3;KIF5A;BAG3;HSPB1;DLG2;MAPK8IP3	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS	Multi Multicellular Organism Process	primary_adjacent_state	0.977108556312952	1	0.00293321680385836	0.166203002493276	0.662811827038964	160	positive	10000	0	ADRA2B;GARIN4;PSG11;PTGIS;PSG3;CD38;GHRL;HAVCR2;VEGFA;OVGP1;PSG6;PSG7;PSG2;PRDM1;DKKL1;GJA1;TRO;IGFBP2;PSG5;CBS;OXTR;WNT4;NPPA;NPFF;TACR1;ERRFI1;AMBP;TCF23;STOX2;RARA;SLC2A1;ACVR1C;CITED2;ESR1;FBN2;GNRH1;PLA2G4B;ACVR2B;IGFBP7;SMURF2;IDO1;IGFBP5;SPP1;SERPINA5;PSG1;MAFF;EDN1;BMPR2;HSD11B2;STC1;PRLR;JUNB;SP3;PTGS2;ITGB4;FOSB;UCN;CYP27B1;RXFP1	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_RAB_PROTEIN_SIGNAL_TRANSDUCTION	Rab Protein Signal Transduction	primary_adjacent_state	0.946701846965699	1	0.0308606593896151	-0.174043317986347	-0.66271735385673	21	negative	10000	0	GDI1;DENND4B;MICALL2;CD2AP	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE	Protein Catabolic Process in the Vacuole	primary_adjacent_state	0.9504662004662	1	0.032686317971351	-0.165228972884461	-0.662553202695735	25	negative	10000	0	LAPTM4B;LDLR;VPS13A;ATP13A2;TCIRG1;CD81;SLC17A9	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_CORONARY_VASCULATURE_DEVELOPMENT	Coronary Vasculature Development	primary_adjacent_state	0.926490984743412	1	0.00717924257186286	0.199744862048511	0.661072844950168	36	positive	10000	0	TBX1;VEGFA;ABCC9;PRDM1;NOTCH1;SPRED1;BMP4;SRF;MEGF8;GPER1;VEGFB;TGFBR3;MYH10	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_REGULATION_OF_PHAGOCYTOSIS	Regulation of Phagocytosis	primary_adjacent_state	0.955285851165762	1	0.004883188678953	0.177170641164694	0.660339037075085	77	positive	10000	0	STAP1;TUB;TULP1;BTK;SYT7;MASP2;FCER1G;MERTK;SYT11;CLEC7A;CFB;CFP;PLA2G5;SIRPG	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_HINDLIMB_MORPHOGENESIS	Hindlimb Morphogenesis	primary_adjacent_state	0.912657468506299	1	0.00809344312905025	0.21225669776798	0.660317109748918	26	positive	10000	0	AFF3;ALX3;GDF5;TFAP2B;NOTCH1;ALX4;BMP4;RARB	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_INTERLEUKIN_1_PRODUCTION	Interleukin 1 Production	primary_adjacent_state	0.960976122856842	1	0.00443920881332681	0.173625328539366	0.659853461748788	91	positive	10000	0	CAMP;ORM1;NLRC4;PYDC2;GHRL;HAVCR2;LPL;IGF1;CLEC7A;CD33;CCR7;NAIP;ERRFI1;CD36;IL16;AGER;USP50;SAA1;P2RX7;AZU1;NLRP2;TREM2;ARG2;APOA1	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION	Ras Protein Signal Transduction	primary_adjacent_state	0.964375261178437	1	0.00416674027574212	0.171647319272111	0.659775137312008	101	positive	10000	0	RASA4;GRAP;RASGEF1C;RAPGEF5;RASGRP1;IGF1;SDCBP;RASGRP2;PLK2;PLD1;NGF;GRAP2;CDKN2A;WNT4;NOTCH1;NTN1;SHOC2;RGL3	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_ODONTOGENESIS	Odontogenesis	primary_adjacent_state	0.997938144329897	1	0.0640052201911665	-0.122941409175202	-0.658832952321828	90	negative	10000	0	BAX;NFIC;MSX1;HDAC2;FOXC1;HDAC1;MSX2;RELT;SRC;SSUH2;TCIRG1;CSF1;BCOR;FAM20C;BSG;DLX1;WLS;BMPR1A;TGFB3;PDGFRA	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	Positive Regulation of Transmembrane Transport	primary_adjacent_state	0.976297968397291	1	0.00326053473140261	0.167003662710177	0.658716556776862	137	positive	10000	0	NTSR1;CD4;ATP1B2;KCNE5;CAPN3;KCNC2;NPSR1;XCL1;SLC17A8;F2RL3;F2;LCN2;KCNC1;CXCL9;IGF1;LRRC38;FXYD7;CLTRN;WNK2;TRPC3;ARL6IP1;KCNE1;NPPA;KCNQ1;FXYD1;NOS1AP;ATP2A1;CEMIP;KCNH2;P2RX7;C3;AKAP5;PRKCI;OSBPL8;GPER1;RHOQ;ABL1;BRAF;STAC2;ZDHHC7;C1QTNF12;EDN1;SLC1A2;IRS1;SCN1B;OPN3;PIK3R1;SORBS1;STAC3;MEF2A;PSEN1;PDPK1;SNCA;KCNIP2;F2R;ACSL1	ETP_reference_balanced_threshold_2_24
C5:GO:BP	GO biological process	GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT	Reproductive System Development	primary_adjacent_state	0.989655518730541	1	0.00176208594947341	0.161311181388952	0.658456027435948	238	positive	10000	0	FGF9;GDF9;DHH;DMRT1;REN;ARID4A;ALOX15B;KIF18A;ZFY;SCX;SRD5A2;VEGFA;ASPM;FOXA1;KDM5B;DNAAF3;ADAM32;HOXA13;SYCP2;IGF1;MERTK;MSH4;GMNC;FGFR2;BMP6;LHX9;INHA;PCYT1B;NUP210L;WNT4;CDKN1B;LHCGR;SFRP1;REC8;CDKN1C;ARID4B;STRA6;SLIT3;HMGB2;FST;NOTCH1;SULF1;DNAAF11;ERRFI1;AXL;TMF1;TIPARP;CYP19A1;TEX11;EAF2;HOXB13;SERPINF1;ZP3;GATA3;ADAM21;NUPR1;RARA;WDR48;BMP4;C3;TACR3;NR0B1;FANCE;TNC;HESX1;CITED2;HOXA9;ESR1;WNT2B;AXDND1;GNRH1;AGO4;TBX3;PSAP;GAS2;GREB1L;NTRK1;NOS3;PRLR;BCL2L11;LGR4;ZNF830;FZD4;AKR1C3;TFAP2C;PATZ1;BMPR1B;ANG	ETP_reference_balanced_threshold_2_24
