DATASET	NLME_RESULT_ID	NLME_CURVE_ID	COSMIC_ID	CELL_LINE_NAME	SANGER_MODEL_ID	TCGA_DESC	DRUG_ID	DRUG_NAME	PUTATIVE_TARGET	PATHWAY_NAME	COMPANY_ID	WEBRELEASE	MIN_CONC	MAX_CONC	LN_IC50	AUC	RMSE	Z_SCORE	CELL_LINE_NAME_RAW	CELL_LINE_KEY	selected	selection_reason	selection_sort_columns
GDSC2	401	18948305	687459	TCCSUP	SIDM01190	BLCA	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.171741	0.860988	0.066683	0.117672	TCCSUP	TCCSUP	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18948586	687505	C33A	SIDM00889	CESC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-4.916186	0.828124	0.09583	-0.356682	C-33-A	C33A	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18948868	687506	C4I	SIDM00905	CESC	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.181673	0.819969	0.092603	-0.525848	C-4-I	C4I	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18949429	687561	42MGBA	SIDM00982	GBM	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.039023	0.819202	0.084021	-0.434953	42-MG-BA	42MGBA	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18949990	687563	A172	SIDM00799	GBM	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.907169	0.723166	0.068303	-0.988129	A172	A172	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18950271	687568	GB1	SIDM00581	GBM	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.135576	0.901467	0.111365	0.777908	GB-1	GB1	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18950552	687586	T98G	SIDM01171	GBM	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-5.268609	0.79779	0.074076	-0.581243	T98G	T98G	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18950834	687588	U118MG	SIDM01193	GBM	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.060432	0.907319	0.079014	0.825789	U-118-MG	U118MG	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18951115	687590	U87MG	SIDM01189	GBM	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-3.07159	0.925827	0.077696	0.818679	U-87-MG	U87MG	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
GDSC2	401	18951996	687777	CALU3	SIDM00922	LUAD	1007	Docetaxel	Microtubule stabiliser	Mitosis	1046	Y	1.3e-05	0.0125	-1.067262	0.959729	0.068826	2.095821	Calu-3	CALU3	TRUE	lowest finite RMSE with stable identifier tie-breakers	DRUG_NAME;CELL_LINE_NAME;is.na(RMSE);RMSE;NLME_RESULT_ID;NLME_CURVE_ID;DRUG_ID;COSMIC_ID
