collection_id	collection_label	pathway_id	pathway_label	ranking_id	pval	padj	log2err	ES	NES	size	direction	leading_edge_genes	model_id
C2:CP:REACTOME	Reactome	REACTOME_SPHINGOLIPID_METABOLISM	Sphingolipid Metabolism	primary_adjacent_state	0.00168157403429103	0.00312858067611755	0.45505986738723	-0.254636018965556	-1.50623170101024	95	negative	PPM1L;B4GALNT1;SPHK2;SPHK1;ASAH1;PRKD1;ARSB;CSNK1G2;CERK;ORMDL1;VAPB;SUMF2;PRKD2;CERS2;SMPD4;GBA2;ST3GAL2;B4GALT6;KDSR;B4GALT5;ORMDL2;DEGS1;SPTSSA;CYB5B;ABCG2	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT	Class i Peroxisomal Membrane Protein Import	primary_adjacent_state	0.00172602683109618	0.00320547840060719	0.45505986738723	-0.468730318361609	-1.91376015029219	20	negative	ABCD3;PEX26;PEX14;PEX11B;PXMP2;PEX13;PEX3;ALDH3A2;SLC25A17;PXMP4;GDAP1;FIS1;PEX16;ATAD1;ACBD5	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Interferon Alpha Beta Signaling	primary_adjacent_state	0.00178388206402013	0.00330694382626115	0.45505986738723	-0.295124285948365	-1.61110479385226	61	negative	KPNB1;RPS27A;ABCE1;OAS3;PSMB8;USP18;UBA52;PTPN1;SAMHD1;IFI35;PTPN11	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_GPER1_SIGNALING	Gper1 Signaling	primary_adjacent_state	0.00178930681942262	0.00331102360999466	0.45505986738723	-0.370974092606549	-1.82293424329748	37	negative	PRKACA;GNG11;ADCY3;PRKAR2A;GNG10;ADCY7;GNB4;SRC;GNG5;GNB2;SHC1;ADCY6;GNB1;GNG2	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_DRUG_ADME	Drug Adme	primary_adjacent_state	0.00180295874138038	0.00333028530107491	0.45505986738723	-0.291541310661	-1.6017134921512	64	negative	SLC29A1;GLYATL2;NME2;NME1;PNP;GMPS;HPRT1;ITPA;ABCC4;GSTP1;GUK1;TPMT	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_SIGNALING_BY_ERBB2	Signaling by Erbb2	primary_adjacent_state	0.00183160159782569	0.00337711820640393	0.45505986738723	-0.319775738892723	-1.67462254765196	49	negative	RPS27A;STUB1;CDC37;DIAPH1;CUL5;AKT2;PRKCE;HSP90AA1;UBA52;SRC;PTPN12;HRAS;PRKCD;PTPN18;NRG1;ERBB4	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_INSULIN_RECEPTOR_RECYCLING	Insulin Receptor Recycling	primary_adjacent_state	0.00211119450558944	0.00388565727104006	0.431707695803346	-0.408666919879383	-1.8498814484801	28	negative	ATP6V0A2;ATP6V0B;INSR;ATP6V1F;PTPN1;ATP6AP1;ATP6V0E1;TCIRG1;ATP6V1E1;ATP6V0D1;ATP6V0C	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	Rho Gtpases Activate Rocks	primary_adjacent_state	0.00212311366573982	0.00390060417659177	0.431707695803346	-0.491525765083942	-1.93770542903542	18	negative	CFL1;PAK1;RHOC;ROCK1;LIMK1;MYL12B;RHOA;ROCK2	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM	Diseases of Carbohydrate Metabolism	primary_adjacent_state	0.00218117815322398	0.00400012493457328	0.431707695803346	-0.408163058242485	-1.84760065634998	28	negative	RPS27A;SLC37A4;TALDO1;GYG1;G6PC3;RPIA;ARSB;DCXR;UBA52	ETP_reference_balanced_threshold_2_24
C2:CP:REACTOME	Reactome	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION	Regulation of Tp53 Activity Through Methylation	primary_adjacent_state	0.00219009377405003	0.00400931605338571	0.431707695803346	-0.502261668068946	-2.02068182487822	19	negative	RPS27A;CHEK2;UBA52;EHMT1;TP53;TTC5;SMYD2;ATM	ETP_reference_balanced_threshold_2_24
