cancer_type	drug	metric	n_raw	pearson_r_raw	pearson_p_raw	pearson_fdr_raw	spearman_rho_raw	spearman_p_raw	spearman_fdr_raw	n_normalized	pearson_r_normalized	pearson_p_normalized	pearson_fdr_normalized	spearman_rho_normalized	spearman_p_normalized	spearman_fdr_normalized	n_delta	pearson_r_delta	spearman_rho_delta	delta_status
LGG	Trametinib	Z_SCORE	10	0.258831414995311	0.470237313569204	0.615797620909022	0.333333333333333	0.346593507087334	0.645924263208214	10	0.258831414995311	0.470237313569204	0.615797620909022	0.333333333333333	0.346593507087334	0.645924263208214	0	0	0	unchanged
LGG	Tretinoin	Z_SCORE	2							2							0			unchanged
LGG	TW 37	Z_SCORE	8							8							0			unchanged
LGG	Ulixertinib	Z_SCORE	10	0.0390488571843836	0.914710754384277	0.929829940407158	0.00606060606060606	0.986742911194989	0.986742911194989	10	0.0390488571843836	0.914710754384277	0.929829940407158	0.00606060606060606	0.986742911194989	0.986742911194989	0	0	0	unchanged
LGG	ULK1_4989	Z_SCORE	5							5							0			unchanged
LGG	UMI-77	Z_SCORE	8							8							0			unchanged
LGG	UNC0379	Z_SCORE	8							8							0			unchanged
LGG	UNC0638	Z_SCORE	8							8							0			unchanged
LGG	Uprosertib	Z_SCORE	10	-0.380374843212645	0.278227107135121	0.546324388248124	-0.187878787878788	0.603217610029209	0.771441664075076	10	-0.380374843212645	0.278227107135121	0.546324388248124	-0.187878787878788	0.603217610029209	0.771441664075076	0	0	0	unchanged
LGG	VE-822	Z_SCORE	7							7							0			unchanged
LGG	VE821	Z_SCORE	10	-0.193170082021349	0.592858237314537	0.707976341647457	-0.406060606060606	0.244282294086627	0.606775107257297	10	-0.193170082021349	0.592858237314537	0.707976341647457	-0.406060606060606	0.244282294086627	0.606775107257297	0	0	0	unchanged
LGG	Veliparib	Z_SCORE	10	-0.74815708763978	0.012818673146848	0.473732884151867	-0.6	0.0666879999999999	0.4411320699079	10	-0.74815708763978	0.012818673146848	0.473732884151867	-0.6	0.0666879999999999	0.4411320699079	0	0	0	unchanged
LGG	Venetoclax	Z_SCORE	10	-0.536747088615666	0.109669697599775	0.49950618206512	-0.612121212121212	0.0599721424772553	0.4411320699079	10	-0.536747088615666	0.109669697599775	0.49950618206512	-0.612121212121212	0.0599721424772553	0.4411320699079	0	0	0	unchanged
LGG	Vinblastine	Z_SCORE	8							8							0			unchanged
LGG	Vinorelbine	Z_SCORE	10	-0.296236360245852	0.405918624908994	0.577768658479869	-0.381818181818182	0.276255333385436	0.606775107257297	10	-0.296236360245852	0.405918624908994	0.577768658479869	-0.381818181818182	0.276255333385436	0.606775107257297	0	0	0	unchanged
LGG	Vismodegib	Z_SCORE	10	-0.264349567765661	0.460478740056466	0.61564005464071	-0.309090909090909	0.384841230261283	0.654977704818807	10	-0.264349567765661	0.460478740056466	0.61564005464071	-0.309090909090909	0.384841230261283	0.654977704818807	0	0	0	unchanged
LGG	Vorinostat	Z_SCORE	10	-0.330614043308649	0.350784054696207	0.567716299047808	-0.248484848484848	0.488776304519243	0.699063784370545	10	-0.330614043308649	0.350784054696207	0.567716299047808	-0.248484848484848	0.488776304519243	0.699063784370545	0	0	0	unchanged
