Feature_ID,Metabolite,comparison,group_a,group_b,log2FC,fold_change,p_value,FDR_BH
Hypotaurine | row_56,Hypotaurine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.9203941542028211,0.5283646477058597,0.000575963397222588,0.008769507209324566
Eicosapentaenoic acid,Eicosapentaenoic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.4382217124218428,1.354933186724238,0.1638919565004441,0.2975269364161909
Tartaric acid;Meso-Tartrate,Tartaric acid;Meso-Tartrate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.1439476612338204,0.9050392957266592,0.8115248973111121,0.8949526904926283
Cytidine 5'-Diphosphocholine (Citicoline) | row_59,Cytidine 5'-Diphosphocholine (Citicoline),Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.7006827415455561,1.6252737559114527,0.027417934195461062,0.08260896382227328
Aspartate | row_60,Aspartate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.7577889252585592,0.5914020193749643,0.0003827967778074238,0.007528336630212668
Deoxycarnitine | row_61,Deoxycarnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.45452392170159506,0.7297509446060897,0.016449141934026464,0.059798907737408126
Cytidine | row_62,Cytidine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.8583445104995846,0.5515851377028893,0.062417521935264314,0.14804557966555154
Pseudouridine | row_63,Pseudouridine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.04098477724441807,1.028815852172554,0.8465519664589358,0.9122660460470724
Butyryl-L-carnitine;Isobutyryl-L-carnitine,Butyryl-L-carnitine;Isobutyryl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.5056662294249605,0.7043350440229579,0.02453047556205384,0.07671513428388617
Aspartate | row_65,Aspartate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6508009578579852,0.6369266054990499,0.00012075574992035046,0.005183241516626907
Oleoyl-L-carnitine,Oleoyl-L-carnitine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.4093089361080793,0.7529839734246803,0.15515492463546957,0.286066892296647
Riboflavin,Riboflavin,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.21239508715496314,0.8631031623440167,0.7601620520136603,0.8547147929195513
Proline betaine,Proline betaine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.7434998817325535,0.5972886110754817,0.004510226401608754,0.02776034904131341
D-Glucuronic acid;D-(+)-Galacturonic acid,D-Glucuronic acid;D-(+)-Galacturonic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.30550320658652197,0.809159935388719,0.09371138283981537,0.2019715648419765
6-Oxopiperidine-2-carboxylic acid | row_70,6-Oxopiperidine-2-carboxylic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.8581215200240173,0.5516704001698696,0.00046601951151205745,0.008146711460507078
Succinic acid,Succinic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.03975041291056414,0.9728232318457066,0.7453254925442743,0.8456577703867727
D-Pantothenic acid | row_72,D-Pantothenic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3331751050531828,0.7937875802490129,0.021296985740956464,0.06980678659535729
Docosahexaenoic acid | row_73,Docosahexaenoic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.5639754449599614,1.4783372693797923,0.16060927186392723,0.29382781519292117
4-Guanidinobutanoate | row_74,4-Guanidinobutanoate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.2744916047473573,0.413370802281785,0.00018519597358900624,0.005194455085610017
Cytidine 5'-Diphosphocholine (Citicoline) | row_75,Cytidine 5'-Diphosphocholine (Citicoline),Gem_response_2N_G_vs_2N_C,2N_C,2N_G,1.2745775170771303,2.41927960596639,0.0113927693144897,0.04868553591730684
4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.01244952255882481,1.0086666916441913,0.9190805142302139,0.9511310861928414
Chenodeoxycholic acid (CDCA);Deoxycholate (DCA),Chenodeoxycholic acid (CDCA);Deoxycholate (DCA),Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.46159826910194646,0.7261813232639784,0.00953314684099105,0.04244948404667713
L-Valine | row_78,L-Valine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.5851453650934317,0.6665821707390787,0.01180840199195103,0.049243912436256226
Coenzyme A,Coenzyme A,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.14700522465986054,0.903123239522792,0.23502219248441328,0.3812952680411275
Trimethylacetic acid;Pentanoate,Trimethylacetic acid;Pentanoate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.011731346179601587,0.9919014220896617,0.9467464460171959,0.9651497246654783
N-Acetylmuramate,N-Acetylmuramate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.5001251026992044,0.7070454673751543,0.012158759308197542,0.049243912436256226
Ectoine,Ectoine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6769016628332096,0.6255071745048744,0.0025993203376508843,0.020794562701207074
Nicotinamide,Nicotinamide,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.11116266334055425,0.9258416283357485,0.7676576689731184,0.8565825526130304
Uridine 5'-monophosphate | row_84,Uridine 5'-monophosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-1.5631304136665563,0.3384159769753416,0.007200277587696537,0.03474985490307583
