Feature_ID,Metabolite,oneway_F,oneway_p,oneway_FDR_BH
3-Amino-5-Hydroxybenzoic acid,3-Amino-5-Hydroxybenzoic acid,1.8116417177321182,0.19865573386250007,0.24675133258710535
Cyclic ADP-ribose | row_282,Cyclic ADP-ribose,20.58496421700549,5.046085216813082e-05,0.0002559394621100427
Leucine | row_283,Leucine,0.5729393808761655,0.6435569973141377,0.6780332650273951
Ferulate,Ferulate,1.7778111137471253,0.20484089764731406,0.2537661514160951
Phosphocreatine | row_285,Phosphocreatine,10.430833801732728,0.0011610611468497228,0.0030961630582659275
N-Acetyl-L-Aspartic acid | row_286,N-Acetyl-L-Aspartic acid,1.8829761798266187,0.18628867503872762,0.23327854676951792
NAD | row_287,NAD,27.39964892979147,1.1828834725504347e-05,7.97601427205436e-05
Pyridoxal | row_288,Pyridoxal,0.14864883588100064,0.9285658641749072,0.9345055178903117
D-(-)-3-phosphoglyceric acid,D-(-)-3-phosphoglyceric acid,2.2324242128928975,0.13698171366762818,0.1811074757734468
L-Lysine | row_290,L-Lysine,1.242128464361979,0.3376274891682495,0.3849279586652506
7-Methylguanine,7-Methylguanine,3.2615956999177027,0.059405875918558504,0.08789834932150349
Linoleate,Linoleate,2.116055123393581,0.1515410537630554,0.19650378400044546
Phosphocreatine | row_293,Phosphocreatine,4.266675120724528,0.028758354906032187,0.0492547694479131
L-Methionine | row_294,L-Methionine,0.31621369810747796,0.813457962463779,0.8274830997476372
L-Argininosuccinate | row_295,L-Argininosuccinate,0.9335466916928801,0.4545645369019029,0.4989638637620888
GTP | row_296,GTP,0.8638282426269204,0.4863608799196525,0.528945473092341
L-Arginine | row_297,L-Arginine,1.0463269364628982,0.40754576057200753,0.45368301648581966
L-Isoleucine | row_298,L-Isoleucine,0.04751565058772133,0.9855961039112859,0.9876886646414585
Cytidine 5'-diphosphate | row_299,Cytidine 5'-diphosphate,0.5697887086232472,0.6454813407804949,0.6785460865220347
2-Hydroxystearate;12-Hydroxystearic acid,2-Hydroxystearate;12-Hydroxystearic acid,0.8952932553499203,0.4717430533409577,0.5154229656873427
Glycolate,Glycolate,5.69237298823307,0.01163895810766231,0.022607358958093047
L-Tyrosine | row_302,L-Tyrosine,2.330610089889011,0.12592501405726642,0.16790001874302188
Histidine,Histidine,1.359758465052935,0.30189825538873954,0.35271281322644815
N-Acetyl-L-glutamic acid | row_304,N-Acetyl-L-glutamic acid,8.188847107713418,0.0031041979467343003,0.007325907154292949
Pterin | row_305,Pterin,1.092576494370884,0.38975144361777375,0.4380063842561648
Nervonic acid,Nervonic acid,5.4577977539068785,0.013389405316680833,0.025380720118366878
Cholestenone,Cholestenone,1.567776152357589,0.2484101871843786,0.300640021412889
Anthranilate,Anthranilate,14.821464204800549,0.0002443280175475752,0.0008870986483265807
Pterin | row_309,Pterin,3.8923127380639797,0.03732561364089028,0.0607506539258628
L-Phenylalanine | row_310,L-Phenylalanine,0.3672332649499705,0.7780015697444886,0.798297262868258
Guanosine diphosphate mannose | row_311,Guanosine diphosphate mannose,0.12452231716536932,0.9438031085861746,0.9478192920269668
Cyclic ADP-ribose | row_312,Cyclic ADP-ribose,17.74353035984547,0.00010431191666856985,0.00044356058259067537
3-Methyl-2-Oxovaleric acid;4-Methyl-2-Oxovaleric acid,3-Methyl-2-Oxovaleric acid;4-Methyl-2-Oxovaleric acid,5.999890932909953,0.009731439856320297,0.019342796898214408
L-Phenylalanine | row_314,L-Phenylalanine,0.8575977100336664,0.4893084999153199,0.5309278435862781
Cholate,Cholate,2.9524607690107985,0.07554860707504046,0.10740645343198524
Methyl acetoacetate;3-Methyl-2-oxobutanoic acid,Methyl acetoacetate;3-Methyl-2-oxobutanoic acid,6.338546924350938,0.008037098096433475,0.01644393966741539
L-Isoleucine | row_317,L-Isoleucine,1.954365894655283,0.17477214569203386,0.2217539052866666
L-Arginine | row_318,L-Arginine,2.4521542165874837,0.1136184036319618,0.1545472233841094
Heptanoic acid,Heptanoic acid,9.930247462576759,0.0014269046499437534,0.0037209889214002852
Aminoadipic acid | row_320,Aminoadipic acid,1.7571180464016647,0.20873034872699062,0.25723426788287096
Citrulline | row_321,Citrulline,1.88275118111273,0.18632629689005986,0.23327854676951792
N-acetylneuraminate | row_322,N-acetylneuraminate,15.991621889632848,0.00017124807639441262,0.0006673203580591362
L-Tyrosine | row_323,L-Tyrosine,6.812141141009136,0.00620994253716095,0.013359597710719815
Oxidized Glutathione | row_324,Oxidized Glutathione,2.4292086498987686,0.11583273170468282,0.15710646369140888
Indole-3-Acetaldehyde,Indole-3-Acetaldehyde,1.4507826937283277,0.2770764796220592,0.3302527736909393
GCDCA;Glycodeoxycholic acid (GDCA);Chenodeoxycholic acid glycine conjugate,GCDCA;Glycodeoxycholic acid (GDCA);Chenodeoxycholic acid glycine conjugate,14.014042828826387,0.00031625804493965755,0.0010662414086537026
N-Acetylaspartylglutamic acid | row_327,N-Acetylaspartylglutamic acid,5.995969985953062,0.009753359452913198,0.019342796898214408
Leucine | row_328,Leucine,1.4652810538076544,0.2733336283866884,0.32661638632535933
Gluconic acid,Gluconic acid,1.4175987280026685,0.28585675553382567,0.33815636243600433
Oxidized Glutathione | row_330,Oxidized Glutathione,6.810764845344282,0.006214502567475019,0.013359597710719815
Cytidine Triphosphate (CTP),Cytidine Triphosphate (CTP),0.3429798432928598,0.7947969980878098,0.8120003963148187
N-Acetylaspartylglutamic acid | row_332,N-Acetylaspartylglutamic acid,11.472056257154662,0.0007723954674114476,0.0022095191552618377
Hexadecanedioic acid | row_333,Hexadecanedioic acid,2.9092415089616535,0.07818538097641979,0.11078343337847092
Folic acid | row_334,Folic acid,2.7870875321262334,0.08622814293402586,0.12041326468893553
5'-CMP | row_335,5'-CMP,11.218589964972606,0.0008508354212155154,0.002404756400082175
Carnosine | row_336,Carnosine,3.513463320684626,0.04914680623221823,0.07482997594066776
L-Serine | row_337,L-Serine,18.925400791060238,7.629617953156467e-05,0.00034962909455241284
Adenine,Adenine,8.48832604519215,0.0026961192464912236,0.006627959814290924
N-acetylneuraminate | row_339,N-acetylneuraminate,37.77177905971626,2.1662633610752105e-06,2.0048555027990183e-05
N-Acetyl-L-glutamic acid | row_340,N-Acetyl-L-glutamic acid,28.987899993358337,8.823526557996089e-06,6.507350836522115e-05
Methyl Jasmonate,Methyl Jasmonate,2.4851803551413276,0.11051552677652676,0.15076106542925038
Alpha-D-Galactose 1-phosphate;D-Fructose 6-Phosphate;Alpha-D-Glucose 1-phosphate,Alpha-D-Galactose 1-phosphate;D-Fructose 6-Phosphate;Alpha-D-Glucose 1-phosphate,1.3475902177330707,0.3053966185970036,0.35417003434345384
Cholate;Hyocholic acid,Cholate;Hyocholic acid,6.736152442650219,0.006467644244286157,0.013813249245715233
Uridine 5'-diphosphoglucuronic acid,Uridine 5'-diphosphoglucuronic acid,3.962355220164873,0.035519310713030154,0.05821220366857719
Glycocholate (GCA),Glycocholate (GCA),21.71215957683737,3.869731811251297e-05,0.0002052262263944508
4-Methylcatechol,4-Methylcatechol,3.00790899045794,0.07231397399231927,0.10406157233041065
Propylparaben,Propylparaben,3.1852845352632464,0.06298705592795849,0.09261648099064301
D-Gulonic acid gama-lactone,D-Gulonic acid gama-lactone,1.3898676448584815,0.29342833207578445,0.3453819769071578
2-Keto-3-deoxy-6-phosphogluconic acid | row_349,2-Keto-3-deoxy-6-phosphogluconic acid,8.377881017253605,0.002838888371834684,0.006838697840942677
Kynurenic acid,Kynurenic acid,1.5777223091431851,0.24612862493163432,0.29922387457932037
Uracil,Uracil,1.3554703957655465,0.3031260649867857,0.35327284610805637
"12,13-DiHOME | row_352","12,13-DiHOME",2.692402698983452,0.09311835212031457,0.12927018294349552
L-Valine | row_353,L-Valine,2.8926644240288124,0.0792246589431924,0.11129178280115123
Acetyl-CoA | row_354,Acetyl-CoA,4.778851025028107,0.020465232068827627,0.03750673325511083
Malonate,Malonate,1.377738776271378,0.2968086537533582,0.34849175266563454
Stearate,Stearate,0.837579707284333,0.4988989849567006,0.5400924791274374
Inosine 5'-Diphosphate,Inosine 5'-Diphosphate,20.555344075906223,5.0822191130472515e-05,0.0002559394621100427
Bis(2-ethylhexyl)phthalate;Nutriacholic acid,Bis(2-ethylhexyl)phthalate;Nutriacholic acid,4.1435316832265645,0.03129717576178511,0.05238392538851976
N-Acetyl-L-Phenylalanine;3-Phenylpropionylglycine | row_359,N-Acetyl-L-Phenylalanine;3-Phenylpropionylglycine,23.94686395320837,2.3614217953648068e-05,0.00014624400388002078
3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid | row_360,3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid,3.7062603350350365,0.042662996548740686,0.06712311457001868
3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid | row_361,3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid,1.4987779430145995,0.264897149395691,0.3173387170425537
