Feature_ID,Metabolite,log2FC_2N_G_vs_C,FC_2N_G_vs_C,log2FC_4N_G_vs_C,FC_4N_G_vs_C,Differential_response_delta_log2FC_2N_minus_4N,p_interaction,FDR_interaction_BH
N-Acetylglycine,N-Acetylglycine,-1.182653409447795,0.44054050903888065,-0.5119762580367784,0.7012611656532433,-0.6706771514110166,0.0005062828971446133,0.009190981825086826
Deoxycarnitine | row_42,Deoxycarnitine,-0.4886726963210535,0.7126804742849943,0.11524391532916667,1.0831581587540526,-0.6039166116502201,0.002747738717750404,0.029134167619838405
5'-Deoxyadenosine;2'-Deoxyadenosine,5'-Deoxyadenosine;2'-Deoxyadenosine,-0.2666805704685622,0.8312298852250143,0.37743122611356483,1.2990268279361539,-0.644111796582127,0.0011582963125727202,0.01708487061044762
7-Ketodeoxycholate,7-Ketodeoxycholate,0.2521229971118757,1.1909583803142652,0.7102802647125621,1.6361219269725997,-0.4581572676006864,0.058361510034915944,0.19961328069913278
O-Acetyl-L-carnitine,O-Acetyl-L-carnitine,-0.7796984194744603,0.5824885437336282,0.04700830497476716,1.0331203348963802,-0.8267067244492274,0.0001451760847616158,0.0042826945004676665
dAMP | row_46,dAMP,-4.296657328586244,0.050883533576312284,-1.6513073138542378,0.3183515483572551,-2.6453500147320064,0.00014216844045452005,0.0042826945004676665
4-Aminobutanoate,4-Aminobutanoate,-1.0388792066936752,0.48670543602191235,-0.1624423584331467,0.8935111524070867,-0.8764368482605285,7.9408884711641e-06,0.0007443830803880458
Hypotaurine | row_48,Hypotaurine,-1.070113084340477,0.47628166465306837,-0.054036149238157805,0.9632377581172861,-1.0160769351023191,9.462496784593802e-06,0.0007443830803880458
L-carnitine | row_49,L-carnitine,-0.36384561361729695,0.7770904227126096,0.1185608620367482,1.0856513476050285,-0.48240647565404515,0.0026459320431877296,0.02904371917173508
Xanthosine | row_50,Xanthosine,-0.10558083060003298,0.9294306774720116,0.34018669103317833,1.2659203989947083,-0.4457675216332113,0.5986240554464313,0.787048897411464
Deoxycytidine | row_51,Deoxycytidine,-0.7871250033736494,0.5794977627667116,-0.04826710860366035,0.9670972592587422,-0.7388578947699891,0.14607514567161087,0.3609815118167557
Orotate,Orotate,-2.9237392221493828,0.1317852469213427,-1.898850974505752,0.2681568524653329,-1.0248882476436307,2.516110235742962e-06,0.0005753041022487849
