"compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_rmse","TGI_percent_Day_38",38,8,-0.0875745975638127,0.836635243882613,0.8254,0.5854,10000,"monte_carlo_TGI_label_permutation",-0.142857142857143,0.735764859879812,0.7556,0.6404,10000,"monte_carlo_TGI_label_permutation",FALSE,0.84296170212766,0.876144578313253
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_auc",NA,8,0.652836046788877,0.0792582171200376,0.0851438492063492,0.0416666666666667,40320,"exact_TGI_label_enumeration",0.666666666666667,0.0709876543209875,0.0830853174603175,0.0415426587301587,40320,"exact_TGI_label_enumeration",FALSE,0.190883720930233,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_3",3,8,-0.153697846411533,0.716322884629092,0.7625,0.6167,10000,"monte_carlo_TGI_label_permutation",0.19047619047619,0.651401495702482,0.6652,0.3282,10000,"monte_carlo_TGI_label_permutation",FALSE,0.804395604395604,0.845431578947368
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_7",7,8,0.694227667417071,0.0560835629011277,0.0576,0.0261,10000,"monte_carlo_TGI_label_permutation",0.619047619047619,0.101733037454265,0.1151,0.0588,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_10",10,8,0.571424148528805,0.138963718541899,0.1608,0.0781,10000,"monte_carlo_TGI_label_permutation",0.357142857142857,0.385120643556256,0.386,0.1975,10000,"monte_carlo_TGI_label_permutation",FALSE,0.270821052631579,0.5883
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_14",14,8,0.513153046474547,0.193402864137485,0.1945,0.0979,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.1986,0.1006,10000,"monte_carlo_TGI_label_permutation",FALSE,0.306098360655738,0.40708085106383
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_17",17,8,0.571601273026636,0.138813130118352,0.1479,0.0713,10000,"monte_carlo_TGI_label_permutation",0.30952380952381,0.455644890737582,0.462,0.2384,10000,"monte_carlo_TGI_label_permutation",FALSE,0.253542857142857,0.670280597014925
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_21",21,8,0.321638245187758,0.437229770642967,0.4289,0.209,10000,"monte_carlo_TGI_label_permutation",0.0476190476190476,0.910849168519584,0.9308,0.461,10000,"monte_carlo_TGI_label_permutation",FALSE,0.534276923076923,0.958570212765957
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_24",24,8,0.652263146691385,0.0796123569980635,0.0855,0.0422,10000,"monte_carlo_TGI_label_permutation",0.619047619047619,0.101733037454265,0.1136,0.0558,10000,"monte_carlo_TGI_label_permutation",FALSE,0.190883720930233,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_27",27,8,0.695168171951553,0.0556114929110985,0.0577,0.0295,10000,"monte_carlo_TGI_label_permutation",0.690476190476191,0.0579903181645727,0.0686,0.0329,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_31",31,8,0.724883109715264,0.0419079228514595,0.0401,0.0209,10000,"monte_carlo_TGI_label_permutation",0.761904761904762,0.0280049391530718,0.0363,0.0188,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_34",34,8,0.273367727144371,0.512398955676187,0.4922,0.2403,10000,"monte_carlo_TGI_label_permutation",0.214285714285714,0.610344415645267,0.6219,0.3111,10000,"monte_carlo_TGI_label_permutation",FALSE,0.578458536585366,0.840878873239437
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_ks","TGI_percent_Day_38",38,8,-0.281062183402084,0.500104150704096,0.4941,0.7466,10000,"monte_carlo_TGI_label_permutation",-0.357142857142857,0.385120643556256,0.3922,0.8184,10000,"monte_carlo_TGI_label_permutation",FALSE,0.578458536585366,0.5883
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_mean_abs","TGI_percent_auc",NA,8,0.713383750033397,0.0469350149615472,0.0547371031746032,0.0275793650793651,40320,"exact_TGI_label_enumeration",0.666666666666667,0.0709876543209875,0.0830853174603175,0.0415426587301587,40320,"exact_TGI_label_enumeration",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_mean_abs","TGI_percent_Day_3",3,8,-0.372740848576204,0.363146540262478,0.3935,0.7821,10000,"monte_carlo_TGI_label_permutation",-0.0476190476190476,0.910849168519584,0.9342,0.5611,10000,"monte_carlo_TGI_label_permutation",FALSE,0.510486486486487,0.958570212765957
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_mean_abs","TGI_percent_Day_7",7,8,0.707755339238842,0.0495218087014361,0.0538,0.0312,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0887,0.0427,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_mean_abs","TGI_percent_Day_10",10,8,0.678956960936903,0.0640842068725818,0.0612,0.0449,10000,"monte_carlo_TGI_label_permutation",0.452380952380952,0.260404767436885,0.2749,0.1356,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.488711111111111
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_mean_abs","TGI_percent_Day_14",14,8,0.601429975674085,0.114744722941007,0.115,0.0609,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.1863,0.0925,10000,"monte_carlo_TGI_label_permutation",FALSE,0.2208,0.40708085106383
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_mean_abs","TGI_percent_Day_17",17,8,0.693033146641581,0.056686571844704,0.0573,0.0325,10000,"monte_carlo_TGI_label_permutation",0.476190476190476,0.232935534650098,0.246,0.1253,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.463058823529412
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_mean_abs","TGI_percent_Day_21",21,8,0.382410688955612,0.349816873819853,0.3474,0.1692,10000,"monte_carlo_TGI_label_permutation",0.142857142857143,0.735764859879812,0.7469,0.3706,10000,"monte_carlo_TGI_label_permutation",FALSE,0.479725714285714,0.876144578313253
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_mean_abs","TGI_percent_Day_24",24,8,0.646921006700437,0.0829590751552986,0.0842,0.0462,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.1355,0.0639,10000,"monte_carlo_TGI_label_permutation",FALSE,0.190883720930233,0.361333333333333
"CellCycle","treated","sensitivity_pooled_cell_reference","ecdf_mean_abs","TGI_percent_Day_27",27,8,0.700033877865812,0.0532072297247903,0.0604,0.0306,10000,"monte_carlo_TGI_label_permutation",0.642857142857143,0.0855588910126731,0.0991,0.0508,10000,"monte_carlo_TGI_label_permutation",FALSE,0.162162162162162,0.336872727272727
