Feature_ID,Metabolite,log2FC_2N_G_vs_C,p_2N_G_vs_C,log2FC_4N_G_vs_C,p_4N_G_vs_C,Differential_response_2N_minus_4N,p_interaction,Raw_substring_pathway_class,Corrected_pathway_class,annotation_changed
N-Acetyl-b-glucosaminylamine,N-Acetyl-b-glucosaminylamine,0.4715776018298463,0.03489488971481802,0.20574175235709724,0.28915744552147427,0.2658358494727491,0.2744656261002535,Folate/one-carbon/methylation,PPP/glycolysis/carbohydrate,True
Dipalmitoyl-Phosphatidylcholine,Dipalmitoyl-Phosphatidylcholine,-0.025188968242819243,0.8317121741842813,-0.18804767759973728,0.21666135519086946,0.16285870935691804,0.3729115687639036,Kennedy/choline-phospholipid,Fatty acids/lipids; Kennedy/choline-phospholipid,True
Stearoylethanolamide,Stearoylethanolamide,0.6087640290523382,0.0012710304162770083,0.2591275756510534,0.16946460054666765,0.3496364534012848,0.07639753824391357,Carnitine/FAO,Fatty acids/lipids,True
1-Methylnicotinamide,1-Methylnicotinamide,0.024685990677877356,0.8962801988263318,0.4043384958800047,0.01205986010007144,-0.37965250520212734,0.09059094364362448,Cofactors/vitamins/redox,Other,True
10-Hydroxydecanoate;(R)-3-Hydroxydecanoic acid,10-Hydroxydecanoate;(R)-3-Hydroxydecanoic acid,1.0500762841755886,0.006437991905806426,0.4028810431716181,0.06359687945115004,0.6471952410039705,0.04925771913956658,Other,Fatty acids/lipids,True
NADP | row_400,NADP,-0.0075674401458840634,0.9631800598814366,0.3440563336814293,0.04083175848488905,-0.35162377382731336,0.10832621982870068,Purine metabolism; Cofactors/vitamins/redox,Cofactors/vitamins/redox,True
L-Methionine | row_403,L-Methionine,-0.11162217756066184,0.5456856300638816,-0.4069931371077935,0.08865558068019481,0.29537095954713166,0.2798653197398216,Folate/one-carbon/methylation,Amino acid/nitrogen; Folate/one-carbon/methylation,True
N-Acetyl-Glucosamine-6-phosphate | row_404,N-Acetyl-Glucosamine-6-phosphate,1.3990071574062704,0.0012858758820149087,0.7039530048957392,0.019193703311638,0.6950541525105312,0.04603208091816036,Folate/one-carbon/methylation,PPP/glycolysis/carbohydrate,True
NADP | row_405,NADP,-0.04821280722092425,0.50529327341712,0.12812568968393734,0.46123703658693826,-0.17633849690486159,0.33495199804677006,Purine metabolism; Cofactors/vitamins/redox,Cofactors/vitamins/redox,True
2-Hydroxymyristic acid;3-Hydroxytetradecanoic acid,2-Hydroxymyristic acid;3-Hydroxytetradecanoic acid,0.18325008646084484,0.1991610882292267,0.1968187366057954,0.04121967998605894,-0.013568650144950567,0.927651765243919,Fatty acids/lipids,Other,True
13-Methylmyristic acid,13-Methylmyristic acid,0.5043004975732615,0.044100583514403345,0.6193818223624703,0.0026791612985411343,-0.11508132478920885,0.5610604537749155,Fatty acids/lipids,Other,True
Guanosine diphosphate mannose | row_414,Guanosine diphosphate mannose,0.47608423131607935,0.019059442599554267,-0.03149032221138626,0.7931120715539015,0.5075745535274656,0.008799684662606057,Purine metabolism,PPP/glycolysis/carbohydrate; Purine metabolism,True
"12,13-DiHOME | row_422","12,13-DiHOME",-0.11075909255372451,0.7295113979200624,0.06311816926152503,0.5798614500541605,-0.17387726181524954,0.5924679738848921,Fatty acids/lipids,Other,True
Formyl-l-methionyl peptide | row_442,Formyl-l-methionyl peptide,1.2711787704960749,0.0013852499578514662,0.39661505593585034,0.18843894348001813,0.8745637145602245,0.021301865279830887,Other,Amino acid/nitrogen,True
Formyl-l-methionyl peptide | row_445,Formyl-l-methionyl peptide,1.1390196673622093,0.0008991924064948926,0.25295763033163254,0.20661456002208728,0.8860620370305767,0.003299793616268027,Other,Amino acid/nitrogen,True
S-(5'-adenosyl)-L-homocysteine | row_464,S-(5'-adenosyl)-L-homocysteine,-0.30928250145421643,0.21268527015700758,-0.3181203841902338,0.4120982893764934,0.008837882736017377,0.9836333830922673,Folate/one-carbon/methylation,Folate/one-carbon/methylation; Purine metabolism,True
S-(5'-adenosyl)-L-homocysteine | row_468,S-(5'-adenosyl)-L-homocysteine,-0.3226480159476708,0.32422685403921386,-0.49916317175269853,0.20261963337000313,0.17651515580502775,0.7039830609251883,Folate/one-carbon/methylation,Folate/one-carbon/methylation; Purine metabolism,True
