cancer_type	direction	metric	analysis_mode	permute_n	pvalue_cutoff	input_drugs	input_groups	category_source	category_mode
SKCM	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	285	19	reviewed_primary_anticancer_class_workbook	primary_secondary
SKCM	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	285	19	reviewed_primary_anticancer_class_workbook	primary_secondary
DLBC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	267	19	reviewed_primary_anticancer_class_workbook	primary_secondary
DLBC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	267	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LUAD	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	271	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LUAD	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	271	19	reviewed_primary_anticancer_class_workbook	primary_secondary
ALL	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
ALL	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
MM	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
MM	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
PAAD	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	271	19	reviewed_primary_anticancer_class_workbook	primary_secondary
PAAD	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	271	19	reviewed_primary_anticancer_class_workbook	primary_secondary
BRCA	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	275	19	reviewed_primary_anticancer_class_workbook	primary_secondary
BRCA	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	275	19	reviewed_primary_anticancer_class_workbook	primary_secondary
HNSC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
HNSC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
NB	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	131	19	reviewed_primary_anticancer_class_workbook	primary_secondary
NB	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	131	19	reviewed_primary_anticancer_class_workbook	primary_secondary
COREAD	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	272	19	reviewed_primary_anticancer_class_workbook	primary_secondary
COREAD	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	272	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LIHC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LIHC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LAML	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	269	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LAML	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	269	19	reviewed_primary_anticancer_class_workbook	primary_secondary
SCLC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	285	19	reviewed_primary_anticancer_class_workbook	primary_secondary
SCLC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	285	19	reviewed_primary_anticancer_class_workbook	primary_secondary
ESCA	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	271	19	reviewed_primary_anticancer_class_workbook	primary_secondary
ESCA	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	271	19	reviewed_primary_anticancer_class_workbook	primary_secondary
OV	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	270	19	reviewed_primary_anticancer_class_workbook	primary_secondary
OV	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	270	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LUSC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LUSC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LGG	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	123	19	reviewed_primary_anticancer_class_workbook	primary_secondary
LGG	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	123	19	reviewed_primary_anticancer_class_workbook	primary_secondary
