drug	metric	n	n_cancer_types	n_tissues	beta_ploidy	se_ploidy	t_ploidy	p_ploidy	fdr_ploidy	model_formula	model_status	rank_deficient	skipped_reason	notes
BDF00022089a	Z_SCORE	490	29	29	0.0857488964684664	0.0632393583567981	1.35594191175484	0.175782898444241	0.542858951077803	response ~ ploidy + TCGA_DESC	ok	FALSE		
BDILV000379a	Z_SCORE	490	29	29	0.0350096892144836	0.0605432781286796	0.57825889671969	0.563372321269595	0.845058481904392	response ~ ploidy + TCGA_DESC	ok	FALSE		
BDOCA000347a	Z_SCORE	490	29	29	-0.0233185602938928	0.0639220681609191	-0.364796712071174	0.715430809621707	0.87122995156634	response ~ ploidy + TCGA_DESC	ok	FALSE		
BDP-00009066	Z_SCORE	515	29	29	0.0448684095020544	0.0614291054507743	0.730409618906291	0.465492507599909	0.771906392374443	response ~ ploidy + TCGA_DESC	ok	FALSE		
BEN	Z_SCORE	490	29	29	0.0346335122972177	0.0629246951104419	0.550396187640337	0.58231483164425	0.849969876693888	response ~ ploidy + TCGA_DESC	ok	FALSE		
BI-2536	Z_SCORE	590	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
BIBR-1532	Z_SCORE	613	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Bicalutamide	Z_SCORE	111	22	22						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Bleomycin	Z_SCORE	490	29	29	0.149010562261963	0.0627886982011007	2.37320674788812	0.0180443839945686	0.315776719904951	response ~ ploidy + TCGA_DESC	ok	FALSE		
Bleomycin (50 uM)	Z_SCORE	509	29	29	0.157536857082549	0.0623260794874607	2.52762340224278	0.0118042634428872	0.255449363416524	response ~ ploidy + TCGA_DESC	ok	FALSE		
BMS-345541	Z_SCORE	573	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
BMS-536924	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
BMS-754807	Z_SCORE	612	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Bortezomib	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Bosutinib	Z_SCORE	612	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
BPD-00008900	Z_SCORE	515	29	29	0.0458043088244853	0.0577732777193896	0.792828633455096	0.42826532620853	0.749464320864927	response ~ ploidy + TCGA_DESC	ok	FALSE		
Bromosporine	Z_SCORE	490	29	29	0.0750722108985472	0.0585313930734449	1.28259737136868	0.200279090319952	0.564273605381136	response ~ ploidy + TCGA_DESC	ok	FALSE		
Buparlisib	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
BX795	Z_SCORE	111	22	22						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Camptothecin	Z_SCORE	624	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
CCT-018159	Z_SCORE	111	22	22						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
CCT007093	Z_SCORE	606	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
CDK9_5038	Z_SCORE	493	29	29	0.108712478758842	0.0589437764491227	1.84434193578821	0.0657719589047172	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
CDK9_5576	Z_SCORE	493	29	29	0.102969640005577	0.0620285111010243	1.66003726637696	0.0975840317284161	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
Cediranib	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
CHIR-99021	Z_SCORE	111	22	22						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Cisplatin	Z_SCORE	526	29	29	0.0129421277540255	0.0551964864989322	0.234473760467995	0.814713958808192	0.919838340589894	response ~ ploidy + TCGA_DESC	ok	FALSE		
CPI-637	Z_SCORE	514	29	29	0.0367244931705049	0.0518465469762852	0.708330550678772	0.479080999334394	0.771906392374443	response ~ ploidy + TCGA_DESC	ok	FALSE		
Crizotinib	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
CT7033-2	Z_SCORE	514	29	29	0.0702538016666263	0.057246162600358	1.22722289976144	0.220335407815491	0.564273605381136	response ~ ploidy + TCGA_DESC	ok	FALSE		
Cyclophosphamide	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Cytarabine	Z_SCORE	515	29	29	0.0936131568738018	0.0534999744772843	1.74977946790515	0.0807887946470978	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
CZC24832	Z_SCORE	571	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Dabrafenib	Z_SCORE	614	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Dacarbazine	Z_SCORE	490	29	29	0.106465459646876	0.0592893665650885	1.79569231069448	0.0731996349853979	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
Dactinomycin	Z_SCORE	619	29	29	0.0596819550002965	0.0540088422571564	1.10504044349124	0.269593252847063	0.629050923309815	response ~ ploidy + TCGA_DESC	ok	FALSE		
