drug	metric	n	n_cancer_types	n_tissues	beta_ploidy	se_ploidy	t_ploidy	p_ploidy	fdr_ploidy	model_formula	model_status	rank_deficient	skipped_reason	notes
AGI-6780	AUC	570	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGK2	Z_SCORE	606	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGK2	LN_IC50	606	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGK2	AUC	606	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Alisertib	Z_SCORE	611	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Alisertib	LN_IC50	611	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Alisertib	AUC	611	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Alpelisib	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Alpelisib	LN_IC50	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Alpelisib	AUC	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
alpha-lipoic acid	Z_SCORE	514	29	29	-0.0226391565937303	0.0567369035929356	-0.39901995280104	0.690054494228233	0.87122995156634	response ~ ploidy + TCGA_DESC	ok	FALSE		
alpha-lipoic acid	LN_IC50	514	29	29	-0.0219727042517562	0.0550668774600405	-0.39901852556831	0.690055545152463	0.871229644060451	response ~ ploidy + TCGA_DESC	ok	FALSE		
alpha-lipoic acid	AUC	514	29	29	-0.000528812159530704	0.000994507633398096	-0.531732630069239	0.595155153754948	0.869899164793801	response ~ ploidy + TCGA_DESC	ok	FALSE		
AMG-319	Z_SCORE	611	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AMG-319	LN_IC50	611	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AMG-319	AUC	611	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
ascorbate (vitamin C)	Z_SCORE	510	29	29	-0.110216508584128	0.058190478920345	-1.89406429761472	0.0588174004830798	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
ascorbate (vitamin C)	LN_IC50	510	29	29	-0.141738420704164	0.074832982151658	-1.89406350821239	0.0588175055052797	0.361234699241812	response ~ ploidy + TCGA_DESC	ok	FALSE		
ascorbate (vitamin C)	AUC	510	29	29	-0.00487572064458832	0.00217305564689932	-2.2437164237121	0.0253058021275188	0.302315178892259	response ~ ploidy + TCGA_DESC	ok	FALSE		
AT13148	Z_SCORE	612	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AT13148	LN_IC50	612	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AT13148	AUC	612	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Avagacestat	Z_SCORE	616	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Avagacestat	LN_IC50	616	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Avagacestat	AUC	616	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Axitinib	Z_SCORE	619	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Axitinib	LN_IC50	619	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Axitinib	AUC	619	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZ6102	Z_SCORE	613	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZ6102	LN_IC50	613	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZ6102	AUC	613	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZ960	Z_SCORE	574	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZ960	LN_IC50	574	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZ960	AUC	574	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AZD1208	Z_SCORE	492	29	29	0.0108205035088144	0.0556018181056819	0.194607008861617	0.845786160857799	0.944761137128392	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD1208	LN_IC50	492	29	29	0.0110280710830057	0.0566682120364168	0.194607711920022	0.845785610740641	0.944760522635822	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD1208	AUC	492	29	29	-0.00074061790336959	0.00107423650096869	-0.689436546516286	0.490894712481167	0.834230164259533	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD1332	Z_SCORE	493	29	29	0.0315264082974721	0.0632540830701227	0.498409063372594	0.61843242672672	0.856796614399118	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD1332	LN_IC50	493	29	29	0.0484046642657363	0.0971183306910525	0.498409146052134	0.618432368508396	0.856796635790071	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD1332	AUC	493	29	29	0.00210936051795407	0.00520951995472246	0.404904969418905	0.685734369241089	0.90002635962893	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD2014	Z_SCORE	493	29	29	0.0109390897349295	0.0650299376008572	0.168216211463585	0.866486642688081	0.947719765440088	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD2014	LN_IC50	493	29	29	0.0158571659760574	0.0942669145639696	0.168215604057951	0.866487120246787	0.947720287769924	response ~ ploidy + TCGA_DESC	ok	FALSE		
AZD2014	AUC	493	29	29	0.00372566703645709	0.00669550066497916	0.556443382336471	0.578176620364471	0.869147434341269	response ~ ploidy + TCGA_DESC	ok	FALSE		
