cancer	drug	correlation
allcancers	Dacarbazine	0.114867114734556
allcancers	THR-103	0.11507819991367
allcancers	VE821	0.116643748013809
allcancers	LMB_AB2	0.116829643307954
allcancers	MIM1	0.11698359382465
allcancers	POMHEX	0.117090920927431
allcancers	N30652-18-1	0.117783702978285
allcancers	Sorafenib	0.118150794162866
allcancers	Bleomycin (50 uM)	0.118629631211065
allcancers	RO-3306	0.1188082826241
allcancers	Olaparib	0.119679193504062
allcancers	Navitoclax	0.11979103025381
allcancers	Vinorelbine	0.120095044499786
allcancers	Gemcitabine	0.122229671305355
allcancers	GSK626616AC	0.122590207159584
allcancers	Bleomycin	0.123284969533046
allcancers	YK-4-279	0.124891632160811
allcancers	Nelarabine	0.124949464995677
allcancers	VSP34_8731	0.125147732749201
allcancers	630600	0.125380263055534
allcancers	CDK9_5576	0.125438977857802
allcancers	Foretinib	0.126144643288129
allcancers	N27922-53-1	0.1265076466681
allcancers	615590	0.126696760024874
allcancers	150412	0.12790382702603
allcancers	GSK2801	0.128634113264036
allcancers	CDK9_5038	0.129421939501411
allcancers	5-azacytidine	0.129630422277664
allcancers	N25720-51-A1	0.131008572847121
allcancers	LMB_AB1	0.131649905778575
allcancers	CT7033-2	0.131656143426087
allcancers	PRIMA-1MET	0.131821488368971
allcancers	5-Fluorouracil	0.132521806532282
allcancers	Elephantin	0.135256653954679
allcancers	PBD-288	0.13576153833883
allcancers	ABT737	0.136377523691042
allcancers	Tozasertib	0.142574814306579
allcancers	AZD5991	0.143158477597881
allcancers	50869	0.145028709868027
allcancers	GSK2830371	0.147827930261279
allcancers	Cytarabine	0.148702182034263
allcancers	PF-4708671	0.150695729599362
allcancers	Alisertib	0.152338815426677
allcancers	GSK2830371A	0.156052520393351
allcancers	Fludarabine	0.157116443733351
allcancers	Vinblastine	0.161075163047697
allcancers	AZD5438	0.162318050122449
allcancers	GSK269962A	0.163167980299236
allcancers	Niraparib	0.166579541009126
allcancers	JAK1_8709	0.171139700525257
allcancers	Mirin	0.17924926539938
allcancers	Venetoclax	0.185428566050652
allcancers	Eg5_9814	0.18800770227151
allcancers	Nutlin-3a (-)	0.235216373409767
UNCLASSIFIED	OTX015	-0.0866984922973189
UNCLASSIFIED	VX-11e	-0.0719728344075629
UNCLASSIFIED	SCH772984	-0.0650603365153834
UNCLASSIFIED	ascorbate (vitamin C)	-0.0641076367184367
UNCLASSIFIED	Remodelin	-0.0621306756851243
UNCLASSIFIED	Tretinoin	-0.0599839172580772
UNCLASSIFIED	123829	-0.0511953451447341
UNCLASSIFIED	JNK Inhibitor VIII	-0.0503815664914501
UNCLASSIFIED	glutathione	-0.0496818948386599
UNCLASSIFIED	AGI-6780	-0.0452338111125841
