.rowname	drug	drugName	group
RUXOLITINIB	Ruxolitinib	Ruxolitinib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Janus Kinase Inhibitors; JAK Inhibitors
GALLIBISCOQUINAZOLE	Gallibiscoquinazole	Gallibiscoquinazole	
SABUTOCLAX	Sabutoclax	Sabutoclax	CYTOTOXIC
PFI3	PFI3	PFI3	EPIGENETICS AND TRANSCRIPTION
BOSUTINIB	Bosutinib	Bosutinib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors
ALPHA-LIPOIC ACID	alpha-lipoic acid	alpha-lipoic acid	
SAVOLITINIB	Savolitinib	Savolitinib	Signaling
SINULARIN	Sinularin	Sinularin	
LGK974	LGK974	LGK974	SIGNALING
SGC-CBP30	SGC-CBP30	SGC-CBP30	EPIGENETICS AND TRANSCRIPTION
VTP-A	VTP-A	VTP-A	SIGNALING
DABRAFENIB	Dabrafenib	Dabrafenib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors;
AZD1208	AZD1208	AZD1208	SIGNALING
AGI-5198	AGI-5198	AGI-5198	
TEMOZOLOMIDE	Temozolomide	Temozolomide	Breast Feeding; Lactation; Antineoplastic Agents; Antineoplastic Agents, Alkylating
SCHWEINFURTHIN A	Schweinfurthin A	Schweinfurthin A	
UNC0638	UNC0638	UNC0638	EPIGENETICS AND TRANSCRIPTION
GSK-LSD1-2HCL 	GSK-LSD1-2HCl 	GSK-LSD1-2HCl 	EPIGENETICS AND TRANSCRIPTION
ZM447439	ZM447439	ZM447439	Signaling
THR-101	THR-101	THR-101	
THR-102	THR-102	THR-102	
GLUTATHIONE	glutathione	glutathione	MetabolicInhibitor
MK-8776	MK-8776	MK-8776	Cytotoxic
TELOMERASE INHIBITOR IX	Telomerase Inhibitor IX	Telomerase Inhibitor IX	
AZD7762	AZD7762	AZD7762	Signaling
DOCETAXEL	Docetaxel	Docetaxel	CYTOTOXIC
PEVONEDISTAT	Pevonedistat	Pevonedistat	
GSK3337463A	GSK3337463A	GSK3337463A	
CRIZOTINIB	Crizotinib	Crizotinib	Signaling
SB216763	SB216763	SB216763	
123138	123138	123138	
XAV939	XAV939	XAV939	SIGNALING
PCI-34051	PCI-34051	PCI-34051	
AZ960	AZ960	AZ960	SIGNALING
N29087-69-1	N29087-69-1	N29087-69-1	
SN-38	SN-38	SN-38	Cytotoxic
AZD6738	AZD6738	AZD6738	SIGNALING
PFI-1	PFI-1	PFI-1	EPIGENETICS AND TRANSCRIPTION
BMS-345541	BMS-345541	BMS-345541	SIGNALING
VTP-B	VTP-B	VTP-B	SIGNALING
I-BRD9	I-BRD9	I-BRD9	EPIGENETICS AND TRANSCRIPTION
LJI308	LJI308	LJI308	SIGNALING
BDILV000379A	BDILV000379a	BDILV000379a	
KRAS (G12C) INHIBITOR-12	KRAS (G12C) Inhibitor-12	KRAS (G12C) Inhibitor-12	SIGNALING
TOPOTECAN	Topotecan	Topotecan	Breast Feeding; Lactation; Antineoplastic Agents; Topoisomerase I Inhibitors
BDP-00009066	BDP-00009066	BDP-00009066	
LMP744	LMP744	LMP744	
OBATOCLAX MESYLATE	Obatoclax Mesylate	Obatoclax Mesylate	CYTOTOXIC
VELIPARIB	Veliparib	Veliparib	Cytotoxic
PICOLINICI-ACID	Picolinici-acid	Picolinici-acid	
MK-1775	MK-1775	MK-1775	SIGNALING
GSK2256098C	GSK2256098C	GSK2256098C	
CISPLATIN	Cisplatin	Cisplatin	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Platinum Compounds; Cytotoxic medicines
BEN	BEN	BEN	
ERK_2440	ERK_2440	ERK_2440	SIGNALING
L-OXONORELEAGNINE	L-Oxonoreleagnine	L-Oxonoreleagnine	
DAPORINAD	Daporinad	Daporinad	
IAP_5620	IAP_5620	IAP_5620	
UNC0379	UNC0379	UNC0379	EPIGENETICS AND TRANSCRIPTION
MITOXANTRONE	Mitoxantrone	Mitoxantrone	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents
CAMPTOTHECIN	Camptothecin	Camptothecin	CYTOTOXIC
LENALIDOMIDE	Lenalidomide	Lenalidomide	(Anti-)Inflammatory
JQ1	JQ1	JQ1	(Anti-)Inflammatory
GSK-LSD1	GSK-LSD1	GSK-LSD1	EPIGENETICS AND TRANSCRIPTION
EPZ5676	EPZ5676	EPZ5676	EPIGENETICS AND TRANSCRIPTION
VISMODEGIB	Vismodegib	Vismodegib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors
BICALUTAMIDE	Bicalutamide	Bicalutamide	Antineoplastic Agents; Hormones and antihormones
ERK_6604	ERK_6604	ERK_6604	
IWP-2	IWP-2	IWP-2	
RIBOCICLIB	Ribociclib	Ribociclib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors
BPD-00008900	BPD-00008900	BPD-00008900	
VX-11E	VX-11e	VX-11e	SIGNALING
PACLITAXEL	Paclitaxel	Paclitaxel	CYTOTOXIC
EPZ004777	EPZ004777	EPZ004777	EPIGENETICS AND TRANSCRIPTION
AZD5153	AZD5153	AZD5153	EPIGENETICS AND TRANSCRIPTION
PIPERLONGUMINE	Piperlongumine	Piperlongumine	
AXITINIB	Axitinib	Axitinib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors
667880	667880	667880	
EPIRUBICIN	Epirubicin	Epirubicin	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Anthracyclines; Antibiotics, Antineoplastic; Topoisomerase II Inhibitors
IRINOTECAN	Irinotecan	Irinotecan	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Topoisomerase I Inhibitors; Cytotoxic medicines
TW 37	TW 37	TW 37	CYTOTOXIC
BIBR-1532	BIBR-1532	BIBR-1532	
WZ4003	WZ4003	WZ4003	
PODOPHYLLOTOXIN BROMIDE	Podophyllotoxin bromide	Podophyllotoxin bromide	CYTOTOXIC
OXALIPLATIN	Oxaliplatin	Oxaliplatin	CYTOTOXIC
TENIPOSIDE	Teniposide	Teniposide	Cytotoxic
TALAZOPARIB	Talazoparib	Talazoparib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors
MOTESANIB	Motesanib	Motesanib	Signaling
BDF00022089A	BDF00022089a	BDF00022089a	
SL0101	SL0101	SL0101	
RUCAPARIB	Rucaparib	Rucaparib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors
LMB_AB3	LMB_AB3	LMB_AB3	
GSK2276186C	GSK2276186C	GSK2276186C	
IRAK4_4710	IRAK4_4710	IRAK4_4710	SIGNALING
MYCOPHENOLIC ACID	Mycophenolic acid	Mycophenolic acid	IMMUNOSUPPRESSIVE AGENTS
GSK2606414	GSK2606414	GSK2606414	SIGNALING
BI-2536	BI-2536	BI-2536	
CPI-637	CPI-637	CPI-637	EPIGENETICS AND TRANSCRIPTION
ZOLEDRONATE	Zoledronate	Zoledronate	Breast Feeding; Lactation; Bisphosphonates; Bone Density Conservation Agents; Diphosphonates;; Medicines for endocrine disorders; Supportive medicines
729189	729189	729189	
BROMOSPORINE	Bromosporine	Bromosporine	EPIGENETICS AND TRANSCRIPTION
PALBOCICLIB	Palbociclib	Palbociclib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors
A-366	A-366	A-366	EPIGENETICS AND TRANSCRIPTION
LESTAURTINIB	Lestaurtinib	Lestaurtinib	SIGNALING
DACTINOMYCIN	Dactinomycin	Dactinomycin	Breast Feeding; Lactation; Antineoplastic Agents; Antibiotics, Antineoplastic; Protein Synthesis Inhibitors; Nucleic Acid Synthesis Inhibitors;; Cytotoxic medicines
NILOTINIB	Nilotinib	Nilotinib	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies
KU-55933	KU-55933	KU-55933	
DACARBAZINE	Dacarbazine	Dacarbazine	Cytotoxic
THR-103	THR-103	THR-103	
VE821	VE821	VE821	
LMB_AB2	LMB_AB2	LMB_AB2	
MIM1	MIM1	MIM1	
POMHEX	POMHEX	POMHEX	
N30652-18-1	N30652-18-1	N30652-18-1	
SORAFENIB	Sorafenib	Sorafenib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;
BLEOMYCIN (50 UM)	Bleomycin (50 uM)	Bleomycin (50 uM)	
RO-3306	RO-3306	RO-3306	SIGNALING
OLAPARIB	Olaparib	Olaparib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP inhibitors
NAVITOCLAX	Navitoclax	Navitoclax	CYTOTOXIC
VINORELBINE	Vinorelbine	Vinorelbine	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Antimitotic Agents; Cytotoxic medicines
GEMCITABINE	Gemcitabine	Gemcitabine	Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Enzyme Inhibitors; Immunosuppressive Agents; Cytotoxic medicines
GSK626616AC	GSK626616AC	GSK626616AC	SIGNALING
BLEOMYCIN	Bleomycin	Bleomycin	Breast Feeding; Lactation; Antineoplastic Agents; Antibiotics, Antineoplastic; Cytotoxic medicines
YK-4-279	YK-4-279	YK-4-279	
NELARABINE	Nelarabine	Nelarabine	Antineoplastic Agents
VSP34_8731	VSP34_8731	VSP34_8731	
630600	630600	630600	
CDK9_5576	CDK9_5576	CDK9_5576	EPIGENETICS AND TRANSCRIPTION
FORETINIB	Foretinib	Foretinib	Signaling
N27922-53-1	N27922-53-1	N27922-53-1	
615590	615590	615590	
150412	150412	150412	
GSK2801	GSK2801	GSK2801	EPIGENETICS AND TRANSCRIPTION
CDK9_5038	CDK9_5038	CDK9_5038	EPIGENETICS AND TRANSCRIPTION
5-AZACYTIDINE	5-azacytidine	5-azacytidine	MetabolicInhibitor
N25720-51-A1	N25720-51-A1	N25720-51-A1	
LMB_AB1	LMB_AB1	LMB_AB1	
CT7033-2	CT7033-2	CT7033-2	
PRIMA-1MET	PRIMA-1MET	PRIMA-1MET	
5-FLUOROURACIL	5-Fluorouracil	5-Fluorouracil	Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation
ELEPHANTIN	Elephantin	Elephantin	
PBD-288	PBD-288	PBD-288	CYTOTOXIC
ABT737	ABT737	ABT737	CYTOTOXIC
TOZASERTIB	Tozasertib	Tozasertib	Signaling
AZD5991	AZD5991	AZD5991	CYTOTOXIC
50869	50869	50869	
GSK2830371	GSK2830371	GSK2830371	SIGNALING
CYTARABINE	Cytarabine	Cytarabine	Breast Feeding; Lactation; Milk, Human; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Nucleosides; Cytotoxic medicines
PF-4708671	PF-4708671	PF-4708671	SIGNALING
ALISERTIB	Alisertib	Alisertib	Signaling
GSK2830371A	GSK2830371A	GSK2830371A	SIGNALING
FLUDARABINE	Fludarabine	Fludarabine	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Cytotoxic medicines
VINBLASTINE	Vinblastine	Vinblastine	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Antimitotic Agents; Cytotoxic medicines
AZD5438	AZD5438	AZD5438	SIGNALING
GSK269962A	GSK269962A	GSK269962A	SIGNALING
NIRAPARIB	Niraparib	Niraparib	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors;
JAK1_8709	JAK1_8709	JAK1_8709	SIGNALING
MIRIN	Mirin	Mirin	
VENETOCLAX	Venetoclax	Venetoclax	Breast Feeding; Lactation; Antineoplastic Agents
EG5_9814	Eg5_9814	Eg5_9814	
NUTLIN-3A (-)	Nutlin-3a (-)	Nutlin-3a (-)	
