drug	drug_key	drug_id_list	approved_final_category_id	approved_final_display_label	legacy_group_used_for_enrichment	pubchem_category	gdsc_putative_target	gdsc_pathway_name	assignment_source	include_in_enrichment	included_in_enrichment	exclusion_reason	exclusion_reason_code	low_count_filter_status	low_count_filter_reason	category_source	category_mode	analysis_metric	schema_version	schema_checksum	curated_mapping_version	curated_mapping_checksum	curation_status	evidence_summary	analysis_mode
729189	729189	1832	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
741909	741909	1833	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
743380	743380	1834	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
765771	765771	1821	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
776928	776928	1844	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
A-366	A-366	2157	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EHMT1, EHMT2	Chromatin histone methylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone methylation; target: "EHMT1, EHMT2"	manuscript
ABT737	ABT737	1910	APOPTOSIS	Apoptosis regulation	CYTOTOXIC	CYTOTOXIC	BCL2, BCL-XL,  BCL-W, BCL-B, BFL1	Apoptosis regulation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Apoptosis regulation; target: "BCL2, BCL-XL,  BCL-W, BCL-B, BFL1"	manuscript
Acetalax	ACETALAX	1803;1804	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
Afatinib	AFATINIB	1032	SIGNALING	Signaling	SIGNALING	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	EGFR, ERBB2	EGFR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: EGFR signaling; target: "EGFR, ERBB2"	manuscript
Afuresertib	AFURESERTIB	1912	SIGNALING	Signaling	SIGNALING	SIGNALING	AKT1, AKT2, AKT3	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: "AKT1, AKT2, AKT3"	manuscript
AGI-5198	AGI-5198	1913	METABOLISM	Metabolism			IDH1 (R132H)	Metabolism	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Metabolism; target: IDH1 (R132H)	manuscript
AGI-6780	AGI-6780	1634	METABOLISM	Metabolism			IDH2 R140Q mutant	Metabolism	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Metabolism; target: IDH2 R140Q mutant	manuscript
AGK2	AGK2	2039	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	BAZ2A, BAZ2B	Chromatin histone acetylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone acetylation; target: "BAZ2A, BAZ2B"	manuscript
Alisertib	ALISERTIB	1051	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	SIGNALING	Signaling	AURKA	Mitosis	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Mitosis; target: AURKA	manuscript
Alpelisib	ALPELISIB	1560	SIGNALING	Signaling	ANTINEOPLASTIC AGENTS	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents	PI3Kalpha	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: PI3Kalpha	manuscript
alpha-lipoic acid	ALPHA-LIPOIC ACID	2498	METABOLISM	Metabolism			Metabolism	Metabolism	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Metabolism; target: Metabolism	manuscript
AMG-319	AMG-319	2045	SIGNALING	Signaling	SIGNALING	SIGNALING	PI3K (beta sparing)	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: PI3K (beta sparing)	manuscript
ascorbate (vitamin C)	ASCORBATE (VITAMIN C)	2438	METABOLISM	Metabolism			anti-oxidant proteins	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: anti-oxidant proteins	manuscript
AT13148	AT13148	2170	SIGNALING	Signaling	SIGNALING	Signaling	AKT1	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: AKT1	manuscript
Avagacestat	AVAGACESTAT	1072	OTHER_REVIEWED	Other reviewed			Amyloid beta20, Amyloid beta40	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: "Amyloid beta20, Amyloid beta40"	manuscript
Axitinib	AXITINIB	1021	SIGNALING	Signaling	TYROSINE KINASE INHIBITORS	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors	PDGFR, KIT, VEGFR	RTK signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: RTK signaling; target: "PDGFR, KIT, VEGFR"	manuscript
AZ6102	AZ6102	2109	SIGNALING	Signaling			TNKS1, TNKS2	WNT signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: WNT signaling; target: "TNKS1, TNKS2"	manuscript
AZ960	AZ960	1250	SIGNALING	Signaling	SIGNALING	SIGNALING	JAK2, JAK3	Other, kinases	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: "Other, kinases"; target: "JAK2, JAK3"	manuscript
AZD1208	AZD1208	1449	SIGNALING	Signaling	SIGNALING	SIGNALING	PIM1, PIM2, PIM3	Other, kinases	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: "Other, kinases"; target: "PIM1, PIM2, PIM3"	manuscript
AZD1332	AZD1332	1463	SIGNALING	Signaling			NTRK1, NTRK2, NTRK3	RTK signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: RTK signaling; target: "NTRK1, NTRK2, NTRK3"	manuscript
AZD2014	AZD2014	1441	SIGNALING	Signaling	SIGNALING	SIGNALING	mTORC1, mTORC2	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: "mTORC1, mTORC2"	manuscript
AZD3759	AZD3759	1915	SIGNALING	Signaling	SIGNALING	SIGNALING	EGFR	EGFR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: EGFR signaling; target: EGFR	manuscript
AZD4547	AZD4547	1786	SIGNALING	Signaling	SIGNALING	SIGNALING	FGFR1, FGFR2, FGFR3	RTK signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: RTK signaling; target: "FGFR1, FGFR2, FGFR3"	manuscript
AZD5153	AZD5153	1706	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	BRD4	Chromatin other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin other; target: BRD4	manuscript
AZD5363	AZD5363	1916	SIGNALING	Signaling	PROTEIN KINASE INHIBITORS	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors	AKT1, AKT2, AKT3, ROCK2	Other, kinases	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: "Other, kinases"; target: "AKT1, AKT2, AKT3, ROCK2"	manuscript
AZD5438	AZD5438	1401	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	SIGNALING	SIGNALING	CDK2	Cell cycle	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Cell cycle; target: CDK2	manuscript
AZD5582	AZD5582	1617	APOPTOSIS	Apoptosis regulation	CYTOTOXIC	CYTOTOXIC	XIAP, cIAP	Apoptosis regulation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Apoptosis regulation; target: "XIAP, cIAP"	manuscript
AZD5991	AZD5991	1720	APOPTOSIS	Apoptosis regulation	CYTOTOXIC	CYTOTOXIC	MCL1	Apoptosis regulation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Apoptosis regulation; target: MCL1	manuscript
AZD6482	AZD6482	2169	SIGNALING	Signaling	SIGNALING	SIGNALING	PI3Kbeta	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: PI3Kbeta	manuscript
AZD6738	AZD6738	1917	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	SIGNALING	SIGNALING	ATR	Genome integrity	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Genome integrity; target: ATR	manuscript
AZD7762	AZD7762	1022	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	SIGNALING	Signaling	CHEK1, CHEK2	Cell cycle	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Cell cycle; target: "CHEK1, CHEK2"	manuscript
AZD8055	AZD8055	1059	SIGNALING	Signaling	SIGNALING	Signaling	MTORC1, MTORC2	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: "MTORC1, MTORC2"	manuscript
AZD8186	AZD8186	1918	SIGNALING	Signaling	SIGNALING	SIGNALING	PI3Kalpha, PI3Kbeta	PI3K/MTOR signaling	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: PI3K/MTOR signaling; target: "PI3Kalpha, PI3Kbeta"	manuscript
BDF00022089a	BDF00022089A	1585	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription			BRPF1, BRPF2, BRPF3	Chromatin histone acetylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone acetylation; target: "BRPF1, BRPF2, BRPF3"	manuscript
BDILV000379a	BDILV000379A	1586	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription			BAZ2A, BAZ2B	Chromatin histone acetylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone acetylation; target: "BAZ2A, BAZ2B"	manuscript
BDOCA000347a	BDOCA000347A	1584	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription			BRPF1, BRPF2, BRPF3	Chromatin histone acetylation	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Chromatin histone acetylation; target: "BRPF1, BRPF2, BRPF3"	manuscript
BDP-00009066	BDP-00009066	1866	CELL_CYCLE_MITOSIS	Cell cycle and mitosis			MRCKB_HUMAN	Cytoskeleton	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Cytoskeleton; target: MRCKB_HUMAN	manuscript
BEN	BEN	1847	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
BI-2536	BI-2536	1086	CELL_CYCLE_MITOSIS	Cell cycle and mitosis			PLK1, PLK2, PLK3	Cell cycle	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Cell cycle; target: "PLK1, PLK2, PLK3"	manuscript
BIBR-1532	BIBR-1532	2043	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage			TERT	Genome integrity	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Genome integrity; target: TERT	manuscript
Bicalutamide	BICALUTAMIDE	1502	HORMONE_RELATED	Hormone related	HORMONES AND ANTIHORMONES	Antineoplastic Agents; Hormones and antihormones	AR	Hormone-related	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Hormone-related; target: AR	manuscript
Bleomycin	BLEOMYCIN	1812	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	CYTOTOXIC	Breast Feeding; Lactation; Antineoplastic Agents; Antibiotics, Antineoplastic; Cytotoxic medicines	dsDNA break induction	DNA replication	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: DNA replication; target: dsDNA break induction	manuscript
Bleomycin (50 uM)	BLEOMYCIN (50 UM)	1378	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage			dsDNA break induction	DNA replication	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: DNA replication; target: dsDNA break induction	manuscript
