drug	drug_key	pubchem_category	legacy_group_used_for_enrichment	custom_set_candidate_category	would_manual_override_change_legacy_group	would_manual_override_change_pubchem_group	all_pubchem_categories	parsed_pubchem_category_tokens	annotation_source	annotation_status	multi_category_flag	notes
MK-8776	MK-8776	Cytotoxic	CYTOTOXIC		FALSE	FALSE	Cytotoxic	Cytotoxic	baseline_coxIn_RData	cached	FALSE	
ML323	ML323				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
MN-64	MN-64				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Motesanib	MOTESANIB	Signaling	SIGNALING		FALSE	FALSE	Signaling	Signaling	baseline_coxIn_RData	cached	FALSE	
Mycophenolic acid	MYCOPHENOLIC ACID	IMMUNOSUPPRESSIVE AGENTS	IMMUNOSUPPRESSIVE AGENTS	IMMUNOSUPPRESSIVE AGENTS	FALSE	FALSE	IMMUNOSUPPRESSIVE AGENTS	IMMUNOSUPPRESSIVE AGENTS	baseline_coxIn_RData	cached	FALSE	
N-acetyl cysteine	N-ACETYL CYSTEINE				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
N25720-51-A1	N25720-51-A1				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
N27922-53-1	N27922-53-1				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
N29087-69-1	N29087-69-1				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
N30652-18-1	N30652-18-1				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Navitoclax	NAVITOCLAX	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
Nelarabine	NELARABINE	Antineoplastic Agents	ANTINEOPLASTIC AGENTS		FALSE	FALSE	Antineoplastic Agents	Antineoplastic Agents	baseline_coxIn_RData	cached	FALSE	
Nilotinib	NILOTINIB	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Tyrosine Kinase Inhibitors;Targeted therapies	baseline_coxIn_RData	cached	TRUE	
Niraparib	NIRAPARIB	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors;	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors;	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Signal Transduction Inhibitors;PARP Inhibitors	baseline_coxIn_RData	cached	TRUE	
NU7441	NU7441				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Nutlin-3a (-)	NUTLIN-3A (-)				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
NVP-ADW742	NVP-ADW742	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Obatoclax Mesylate	OBATOCLAX MESYLATE	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
OF-1	OF-1				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
Olaparib	OLAPARIB	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP inhibitors	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP inhibitors	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Signal Transduction Inhibitors;PARP inhibitors	baseline_coxIn_RData	cached	TRUE	
OSI-027	OSI-027	SIGNALING	SIGNALING	SIGNALING	FALSE	FALSE	SIGNALING	SIGNALING	baseline_coxIn_RData	cached	FALSE	
Osimertinib	OSIMERTINIB	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	SIGNALING		FALSE	FALSE	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors	baseline_coxIn_RData	cached	TRUE	
OTX015	OTX015	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	FALSE	FALSE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	FALSE	
Oxaliplatin	OXALIPLATIN	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	FALSE	FALSE	CYTOTOXIC	CYTOTOXIC	baseline_coxIn_RData	cached	FALSE	
P22077	P22077				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
