cancer_type	direction	metric	drug	correlation_value	group	category_id
allcancers	low_ploidy_sensitive	Z_SCORE	PYRIDOSTATIN	0.059672985919504	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	N-ACETYL CYSTEINE	0.0608908425650011	Metabolism	METABOLISM
allcancers	low_ploidy_sensitive	Z_SCORE	PAK_5339	0.0610077062487751	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	ULIXERTINIB	0.0615550140791846	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	MIRA-1	0.0618848321296294	p53 pathway	P53_PATHWAY
allcancers	low_ploidy_sensitive	Z_SCORE	AZD6482	0.0620073173853521	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AZD3759	0.0621538917065034	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	CEDIRANIB	0.062558864225351	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	IGF1R_3801	0.0627230819699273	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	WEE1 INHIBITOR	0.062745714795411	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	GW441756	0.0631051699812639	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	GSK2578215A	0.063415936772843	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AGI-6780	0.0634375525859206	Metabolism	METABOLISM
allcancers	low_ploidy_sensitive	Z_SCORE	AGK2	0.0637771280267484	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	TRAMETINIB	0.0644748510085832	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	DASATINIB	0.064664452704969	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	BX795	0.0648206693635994	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AVAGACESTAT	0.065024026554013	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	LUMINESPIB	0.0662872155314354	Protein stability and degradation	PROTEIN_DEGRADATION
allcancers	low_ploidy_sensitive	Z_SCORE	720427	0.0669060380919347	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	CCT-018159	0.0675849219839932	Protein stability and degradation	PROTEIN_DEGRADATION
allcancers	low_ploidy_sensitive	Z_SCORE	LY2109761	0.0678069862829155	Other reviewed	OTHER_REVIEWED
