cancer_type	drug	metric	n	pearson_r	pearson_p	pearson_ci_low	pearson_ci_high	pearson_fdr	spearman_rho	spearman_p	spearman_ci_low	spearman_ci_high	spearman_ci_method	spearman_fdr	rank_by_pearson_desc	rank_by_pearson_asc	rank_by_spearman_desc	rank_by_spearman_asc	response_direction_note
LUAD	Gemcitabine	Z_SCORE	54	-0.0311634228700569	0.822991278817175	-0.29645029593162	0.238587989074402	0.994840289495455	-0.035410710882409	0.799336809455956	-0.300328306106261	0.234578743178514	approximate_fisher_transform	0.959019805280766	226	47	232	41	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LUSC	Gemcitabine	Z_SCORE	13	-0.40107666105185	0.174383595195759	-0.779747609024104	0.192434153760317	0.73820961338436	-0.368131868131868	0.215857180649381	-0.764130309308987	0.229390517886674	approximate_fisher_transform	0.750899109483469	210	60	192	78	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
MB	Gemcitabine	Z_SCORE	3										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
MESO	Gemcitabine	Z_SCORE	6										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
MM	Gemcitabine	Z_SCORE	14	0.0920102966331428	0.754404164803407	-0.461078494262018	0.593610462125688	0.998807562471417	0.010989010989011	0.970258390096969	-0.522645646804009	0.538436889410637	approximate_fisher_transform	0.993171082329898	59	211	80	186	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
NB	Gemcitabine	Z_SCORE	12	-0.299177943118057	0.344827366813211	-0.745139988768501	0.331671187357649	0.95968423324985	-0.244755244755245	0.443261936450183	-0.71783280424941	0.382945828682895	approximate_fisher_transform	0.7640436009865	97	35	63	69	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
OTHER	Gemcitabine	Z_SCORE	1										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
OV	Gemcitabine	Z_SCORE	24	-0.0679760465968516	0.752305373347312	-0.458792075019184	0.344877661657277	0.995174760569216	0.0321739130434783	0.881361712028487	-0.37611094439974	0.429996254866429	approximate_fisher_transform	0.993575668047497	127	145	80	192	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
PAAD	Gemcitabine	Z_SCORE	27	-0.168176174451805	0.401741461341267	-0.515260222718239	0.226300496596744	0.991307789903451	-0.288766788766789	0.144068827404171	-0.602653517547505	0.102501721967223	approximate_fisher_transform	0.992120607487507	199	74	249	24	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
PRAD	Gemcitabine	Z_SCORE	5										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
SCLC	Gemcitabine	Z_SCORE	40	-0.1759476452068	0.277477333467461	-0.462128061779819	0.143422601377959	0.997291275014984	-0.14953095684803	0.357092011706057	-0.440525494266966	0.169897761467117	approximate_fisher_transform	0.984624724811976	264	23	265	22	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
SKCM	Gemcitabine	Z_SCORE	34	0.166733923594717	0.345950875668315	-0.181675298430767	0.477950979667527	0.745942083373438	0.159969442322383	0.36614200952905	-0.188393526589901	0.472575886432453	approximate_fisher_transform	0.744553986306517	18	269	23	264	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
STAD	Gemcitabine	Z_SCORE	19	0.102271655045397	0.676954291236752	-0.369082524212172	0.531778380990081	0.955159523243812	0.0526315789473684	0.830556012313612	-0.411420320595624	0.495014140214084	approximate_fisher_transform	0.982381349145374	120	151	135	136	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
THCA	Gemcitabine	Z_SCORE	11	0.426770227357296	0.190522019423892	-0.23267047417875	0.817386983491183	0.978600513479135	0.545454545454545	0.0826509573441751	-0.0808997434130824	0.862967107017078	approximate_fisher_transform	0.683985265188208	7	83	9	81	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
UCEC	Gemcitabine	Z_SCORE	8										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
UNCLASSIFIED	Gemcitabine	Z_SCORE	94	0.137160115637343	0.187415393577024	-0.0673279578848272	0.330589673677388	0.619111107245865	0.202456381172561	0.0503544730872407	-0.000171227870290116	0.389114766196515	approximate_fisher_transform	0.240022988382514	96	191	80	207	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
