drug	drug_key	drug_id_list	current_legacy_enrichment_group	raw_drugCategory_Pubchem	parsed_pubchem_category_tokens	gdsc_putative_target_values	gdsc_pathway_name_values	gdsc_target_pathway_conflict_flag	rollup_conflict_status	rollup_resolution_reason	gdsc_putative_target_counts	gdsc_pathway_name_counts	current_manual_override	in_wrong_assignment_fixture	proposed_final_category_id	evidence_reason
Dinaciclib	DINACICLIB	1180	SIGNALING	Signaling	Signaling	CDK1, CDK2, CDK5, CDK9	Cell cycle	FALSE	none		CDK1, CDK2, CDK5, CDK9(n=890)	Cell cycle(n=890)		FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cell cycle; target: CDK1, CDK2, CDK5, CDK9
Docetaxel	DOCETAXEL	1007;1819	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	Microtubule stabiliser	Mitosis	FALSE	resolved_same_category	Multiple GDSC DRUG_ID values share this drug key but have the same pathway-level category evidence.	Microtubule stabiliser(n=966)	Mitosis(n=966)	CYTOTOXIC	FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Mitosis; target: Microtubule stabiliser
Doramapimod	DORAMAPIMOD	1042	SIGNALING	Signaling	Signaling	p38, JNK2	JNK and p38 signaling	FALSE	none		p38, JNK2(n=953)	JNK and p38 signaling(n=953)		FALSE	SIGNALING	GDSC pathway: JNK and p38 signaling; target: p38, JNK2
Eg5_9814	EG5_9814	1712				KSP11	Other	FALSE	none		KSP11(n=713)	Other(n=713)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: KSP11
EHT-1864	EHT-1864	1069				RAC1, RAC2, RAC3	Cytoskeleton	FALSE	none		RAC1, RAC2, RAC3(n=941)	Cytoskeleton(n=941)		FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cytoskeleton; target: RAC1, RAC2, RAC3
Elephantin	ELEPHANTIN	1835					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
Elesclomol	ELESCLOMOL	1031	SIGNALING	Signaling	Signaling	HSP90	Protein stability and degradation	FALSE	none		HSP90(n=225)	Protein stability and degradation(n=225)		TRUE	PROTEIN_DEGRADATION	GDSC pathway: Protein stability and degradation; target: HSP90
Entinostat	ENTINOSTAT	1593	SIGNALING	Signaling	Signaling	HDAC1, HDAC3	Chromatin histone acetylation	FALSE	none		HDAC1, HDAC3(n=897)	Chromatin histone acetylation(n=897)		TRUE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone acetylation; target: HDAC1, HDAC3
Entospletinib	ENTOSPLETINIB	1630	SIGNALING	SIGNALING	SIGNALING	SYK	Other, kinases	FALSE	none		SYK(n=893)	Other, kinases(n=893)	SIGNALING	FALSE	SIGNALING	GDSC pathway: Other, kinases; target: SYK
Epirubicin	EPIRUBICIN	1511	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Anthracyclines; Antibiotics, Antineoplastic; Topoisomerase II Inhibitors	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Anthracyclines;Antibiotics, Antineoplastic;Topoisomerase II Inhibitors	Anthracycline	DNA replication	FALSE	none		Anthracycline(n=956)	DNA replication(n=956)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: Anthracycline
EPZ004777	EPZ004777	1237	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	DOT1L	Chromatin histone methylation	FALSE	none		DOT1L(n=963)	Chromatin histone methylation(n=963)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone methylation; target: DOT1L
EPZ5676	EPZ5676	1563	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	DOT1L	Chromatin histone methylation	FALSE	none		DOT1L(n=960)	Chromatin histone methylation(n=960)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone methylation; target: DOT1L
ERK_2440	ERK_2440	1713	SIGNALING	SIGNALING	SIGNALING	ERK1,ERK2	ERK MAPK signaling	FALSE	none		ERK1,ERK2(n=717)	ERK MAPK signaling(n=717)	SIGNALING	FALSE	SIGNALING	GDSC pathway: ERK MAPK signaling; target: ERK1,ERK2
ERK_6604	ERK_6604	1714				ERK1,ERK2	ERK MAPK signaling	FALSE	none		ERK1,ERK2(n=717)	ERK MAPK signaling(n=717)		FALSE	SIGNALING	GDSC pathway: ERK MAPK signaling; target: ERK1,ERK2
Erlotinib	ERLOTINIB	1168	SIGNALING	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;; Targeted therapies	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Tyrosine Kinase Inhibitors;Targeted therapies	EGFR	EGFR signaling	FALSE	none		EGFR(n=953)	EGFR signaling(n=953)		FALSE	SIGNALING	GDSC pathway: EGFR signaling; target: EGFR
Fludarabine	FLUDARABINE	1813	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Cytotoxic medicines	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Cytotoxic medicines	Antimetabolite	DNA replication	FALSE	none		Antimetabolite(n=717)	DNA replication(n=717)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: Antimetabolite
Foretinib	FORETINIB	2040	SIGNALING	Signaling	Signaling	MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR	RTK signaling	FALSE	none		MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR(n=951)	RTK signaling(n=951)		FALSE	SIGNALING	GDSC pathway: RTK signaling; target: MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR
Fulvestrant	FULVESTRANT	1200;1816	ESTROGEN RECEPTOR ANTAGONISTS	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents, Hormonal; Estrogen Receptor Antagonists	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents, Hormonal;Estrogen Receptor Antagonists	ESR	Hormone-related	FALSE	resolved_same_category	Multiple GDSC DRUG_ID values share this drug key but have the same pathway-level category evidence.	ESR(n=963)	Hormone-related(n=963)		FALSE	HORMONE_RELATED	GDSC pathway: Hormone-related; target: ESR
Gallibiscoquinazole	GALLIBISCOQUINAZOLE	1830					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
GDC0810	GDC0810	1925	HORMONES AND ANTIHORMONES	HORMONES AND ANTIHORMONES	HORMONES AND ANTIHORMONES	ESR1, ESR2	Hormone-related	FALSE	none		ESR1, ESR2(n=956)	Hormone-related(n=956)	HORMONES AND ANTIHORMONES	FALSE	HORMONE_RELATED	GDSC pathway: Hormone-related; target: ESR1, ESR2
Gefitinib	GEFITINIB	1010	SIGNALING	Signaling	Signaling	EGFR	EGFR signaling	FALSE	none		EGFR(n=956)	EGFR signaling(n=956)		FALSE	SIGNALING	GDSC pathway: EGFR signaling; target: EGFR
Gemcitabine	GEMCITABINE	1190	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Enzyme Inhibitors; Immunosuppressive Agents; Cytotoxic medicines	Breast Feeding;Lactation;Milk, Human;Antimetabolites;Antineoplastic Agents;Enzyme Inhibitors;Immunosuppressive Agents;Cytotoxic medicines	Pyrimidine antimetabolite	DNA replication	FALSE	none		Pyrimidine antimetabolite(n=958)	DNA replication(n=958)		FALSE	METABOLISM	GDSC pathway: DNA replication; target: Pyrimidine antimetabolite
glutathione	GLUTATHIONE	2439	METABOLICINHIBITOR	MetabolicInhibitor	MetabolicInhibitor	anti-oxidant proteins	Other	FALSE	none		anti-oxidant proteins(n=731)	Other(n=731)		TRUE	METABOLISM	GDSC pathway: Other; target: anti-oxidant proteins
GNE-317	GNE-317	1926	SIGNALING	SIGNALING	SIGNALING	PI3Kalpha	PI3K/MTOR signaling	FALSE	none		PI3Kalpha(n=942)	PI3K/MTOR signaling(n=942)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: PI3Kalpha
GSK-LSD1	GSK-LSD1	1583	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	KDM1	Chromatin histone methylation	FALSE	none		KDM1(n=716)	Chromatin histone methylation(n=716)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone methylation; target: KDM1
GSK-LSD1-2HCl 	GSK-LSD1-2HCL	2154	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	LSD1	Chromatin histone methylation	FALSE	none		LSD1(n=738)	Chromatin histone methylation(n=738)		FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone methylation; target: LSD1
GSK1904529A	GSK1904529A	1093	SIGNALING	SIGNALING	SIGNALING	IGF1R, IR	IGF1R signaling	FALSE	none		IGF1R, IR(n=963)	IGF1R signaling(n=963)	SIGNALING	FALSE	SIGNALING	GDSC pathway: IGF1R signaling; target: IGF1R, IR
GSK2110183B	GSK2110183B	1778				AKT1, AKT2, AKT3	PI3K/MTOR signaling	FALSE	none		AKT1, AKT2, AKT3(n=717)	PI3K/MTOR signaling(n=717)		FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: AKT1, AKT2, AKT3
GSK2256098C	GSK2256098C	1776				FAK1	Cytoskeleton	FALSE	none		FAK1(n=717)	Cytoskeleton(n=717)		FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cytoskeleton; target: FAK1
GSK2276186C	GSK2276186C	1777				JAK1, JAK2, JAK3	Other, kinases	FALSE	none		JAK1, JAK2, JAK3(n=717)	Other, kinases(n=717)		FALSE	SIGNALING	GDSC pathway: Other, kinases; target: JAK1, JAK2, JAK3
GSK2578215A	GSK2578215A	1927				LRRK2	Other, kinases	FALSE	none		LRRK2(n=956)	Other, kinases(n=956)		FALSE	SIGNALING	GDSC pathway: Other, kinases; target: LRRK2
GSK2606414	GSK2606414	1618	SIGNALING	SIGNALING	SIGNALING	PERK	Metabolism	FALSE	none		PERK(n=885)	Metabolism(n=885)	SIGNALING	FALSE	METABOLISM	GDSC pathway: Metabolism; target: PERK
GSK269962A	GSK269962A	1192	SIGNALING	SIGNALING	SIGNALING	ROCK1, ROCK2	Cytoskeleton	FALSE	none		ROCK1, ROCK2(n=268)	Cytoskeleton(n=268)	SIGNALING	FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cytoskeleton; target: ROCK1, ROCK2
GSK2801	GSK2801	1580	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION		Chromatin other	FALSE	none			Chromatin other(n=717)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin other; target: 
GSK2830371	GSK2830371	2359	SIGNALING	SIGNALING	SIGNALING	WIP1	Other	FALSE	none		WIP1(n=730)	Other(n=730)	SIGNALING	FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: WIP1
GSK2830371A	GSK2830371A	1782	SIGNALING	SIGNALING	SIGNALING	PPM1D	Other	FALSE	none		PPM1D(n=717)	Other(n=717)	SIGNALING	FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: PPM1D
GSK3337463A	GSK3337463A	1780				NIK	Other, kinases	FALSE	none		NIK(n=717)	Other, kinases(n=717)		FALSE	SIGNALING	GDSC pathway: Other, kinases; target: NIK
GSK343	GSK343	1627;2037	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EZH2	Chromatin histone methylation	FALSE	resolved_same_category	Multiple GDSC DRUG_ID values share this drug key but have the same pathway-level category evidence.	EZH2(n=963)	Chromatin histone methylation(n=963)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone methylation; target: EZH2
GSK591	GSK591	2110	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	PMRT5	Chromatin histone methylation	FALSE	none		PMRT5(n=952)	Chromatin histone methylation(n=952)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin histone methylation; target: PMRT5
GSK626616AC	GSK626616AC	1779	SIGNALING	SIGNALING	SIGNALING	DYRK1A	Other, kinases	FALSE	none		DYRK1A(n=717)	Other, kinases(n=717)	SIGNALING	FALSE	SIGNALING	GDSC pathway: Other, kinases; target: DYRK1A
GW441756	GW441756	1023				NTRK1	RTK signaling	FALSE	none		NTRK1(n=951)	RTK signaling(n=951)		FALSE	SIGNALING	GDSC pathway: RTK signaling; target: NTRK1
HKMTI-1-005	HKMTI-1-005	2010	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION		Unclassified	FALSE	none			Unclassified(n=740)	EPIGENETICS AND TRANSCRIPTION	FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
I-BET-762	I-BET-762	1624	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	BRD2, BRD3, BRD4	Chromatin other	FALSE	none		BRD2, BRD3, BRD4(n=892)	Chromatin other(n=892)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin other; target: BRD2, BRD3, BRD4
I-BRD9	I-BRD9	1928	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	BRD9	Chromatin other	FALSE	none		BRD9(n=956)	Chromatin other(n=956)	EPIGENETICS AND TRANSCRIPTION	FALSE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin other; target: BRD9
IAP_5620	IAP_5620	1428				IAP	Other	FALSE	none		IAP(n=714)	Other(n=714)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: IAP
Ibrutinib	IBRUTINIB	1799	SIGNALING	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Targeted therapies	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Targeted therapies	BTK	Other, kinases	FALSE	none		BTK(n=889)	Other, kinases(n=889)		FALSE	SIGNALING	GDSC pathway: Other, kinases; target: BTK
ICL-SIRT078	ICL-SIRT078	2011	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS AND TRANSCRIPTION	SIR2	Other	FALSE	none		SIR2(n=739)	Other(n=739)	EPIGENETICS AND TRANSCRIPTION	FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: SIR2
IGF1R_3801	IGF1R_3801	1738	SIGNALING	SIGNALING	SIGNALING	IGFR1	IGF1R signaling	FALSE	none		IGFR1(n=716)	IGF1R signaling(n=716)	SIGNALING	FALSE	SIGNALING	GDSC pathway: IGF1R signaling; target: IGFR1
IOX2	IOX2	2174				EGLN1	Other	FALSE	none		EGLN1(n=225)	Other(n=225)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: EGLN1
Ipatasertib	IPATASERTIB	1924	SIGNALING	SIGNALING	SIGNALING	AKT1, AKT, AKT3	PI3K/MTOR signaling	FALSE	none		AKT1, AKT, AKT3(n=956)	PI3K/MTOR signaling(n=956)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: AKT1, AKT, AKT3
IRAK4_4710	IRAK4_4710	1716	SIGNALING	SIGNALING	SIGNALING	IRAK4	Other, kinases	FALSE	none		IRAK4(n=717)	Other, kinases(n=717)	SIGNALING	FALSE	SIGNALING	GDSC pathway: Other, kinases; target: IRAK4
Irinotecan	IRINOTECAN	1088	CYTOTOXIC	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Topoisomerase I Inhibitors; Cytotoxic medicines	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents;Enzyme Inhibitors;Topoisomerase I Inhibitors;Cytotoxic medicines	TOP1	DNA replication	FALSE	none		TOP1(n=963)	DNA replication(n=963)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: TOP1
IWP-2	IWP-2	1576				PORCN	WNT signaling	FALSE	none		PORCN(n=892)	WNT signaling(n=892)		FALSE	SIGNALING	GDSC pathway: WNT signaling; target: PORCN
JAK_8517	JAK_8517	1739	SIGNALING	SIGNALING	SIGNALING	JAK1, JAK2	Other, kinases	FALSE	none		JAK1, JAK2(n=717)	Other, kinases(n=717)	SIGNALING	FALSE	SIGNALING	GDSC pathway: Other, kinases; target: JAK1, JAK2
JAK1_8709	JAK1_8709	1718	SIGNALING	SIGNALING	SIGNALING	JAK1	Other, kinases	FALSE	none		JAK1(n=717)	Other, kinases(n=717)	SIGNALING	FALSE	SIGNALING	GDSC pathway: Other, kinases; target: JAK1
JNK Inhibitor VIII	JNK INHIBITOR VIII	1043				JNK	JNK and p38 signaling	FALSE	none		JNK(n=948)	JNK and p38 signaling(n=948)		FALSE	SIGNALING	GDSC pathway: JNK and p38 signaling; target: JNK
JQ1	JQ1	2172	IMMUNOSUPPRESSIVE AGENTS	(Anti-)Inflammatory	(Anti-)Inflammatory	BRD2, BRD3, BRD4, BRDT	Chromatin other	FALSE	none		BRD2, BRD3, BRD4, BRDT(n=947)	Chromatin other(n=947)		TRUE	EPIGENETICS_TRANSCRIPTION	GDSC pathway: Chromatin other; target: BRD2, BRD3, BRD4, BRDT
KRAS (G12C) Inhibitor-12	KRAS (G12C) INHIBITOR-12	1855	SIGNALING	SIGNALING	SIGNALING	KRAS (G12C)	ERK MAPK signaling	FALSE	none		KRAS (G12C)(n=893)	ERK MAPK signaling(n=893)	SIGNALING	FALSE	SIGNALING	GDSC pathway: ERK MAPK signaling; target: KRAS (G12C)
KU-55933	KU-55933	1030				ATM	Genome integrity	FALSE	none		ATM(n=953)	Genome integrity(n=953)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: Genome integrity; target: ATM
L-Oxonoreleagnine	L-OXONORELEAGNINE	1831					Unclassified	FALSE	none			Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
Lapatinib	LAPATINIB	1558	TYROSINE KINASE INHIBITORS	Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;	Breast Feeding;Lactation;Antineoplastic Agents;Enzyme Inhibitors;Protein Kinase Inhibitors;Signal Transduction Inhibitors;Tyrosine Kinase Inhibitors	EGFR, ERBB2	EGFR signaling	FALSE	none		EGFR, ERBB2(n=964)	EGFR signaling(n=964)	SIGNALING	FALSE	SIGNALING	GDSC pathway: EGFR signaling; target: EGFR, ERBB2
LCL161	LCL161	1557	CYTOTOXIC	CYTOTOXIC	CYTOTOXIC	XIAP, IAP1, IAP2	Apoptosis regulation	FALSE	none		XIAP, IAP1, IAP2(n=892)	Apoptosis regulation(n=892)	CYTOTOXIC	FALSE	APOPTOSIS	GDSC pathway: Apoptosis regulation; target: XIAP, IAP1, IAP2
Leflunomide	LEFLUNOMIDE	1578	SIGNALING	Signaling	Signaling	Pyrimidine synthesis inhibitor	DNA replication	FALSE	none		Pyrimidine synthesis inhibitor(n=893)	DNA replication(n=893)		TRUE	METABOLISM	GDSC pathway: DNA replication; target: Pyrimidine synthesis inhibitor
Lenalidomide	LENALIDOMIDE	1020	IMMUNOSUPPRESSIVE AGENTS	(Anti-)Inflammatory	(Anti-)Inflammatory	CRBN	Protein stability and degradation	FALSE	none		CRBN(n=947)	Protein stability and degradation(n=947)		FALSE	PROTEIN_DEGRADATION	GDSC pathway: Protein stability and degradation; target: CRBN
Lestaurtinib	LESTAURTINIB	1024	SIGNALING	SIGNALING	SIGNALING	FLT3, JAK2, NTRK1, NTRK2, NTRK3	Other, kinases	FALSE	none		FLT3, JAK2, NTRK1, NTRK2, NTRK3(n=945)	Other, kinases(n=945)	SIGNALING	FALSE	SIGNALING	GDSC pathway: Other, kinases; target: FLT3, JAK2, NTRK1, NTRK2, NTRK3
LGK974	LGK974	1598	SIGNALING	SIGNALING	SIGNALING	PORCN	WNT signaling	FALSE	none		PORCN(n=962)	WNT signaling(n=962)	SIGNALING	FALSE	SIGNALING	GDSC pathway: WNT signaling; target: PORCN
Linsitinib	LINSITINIB	1510	SIGNALING	SIGNALING	SIGNALING	IGF1R	IGF1R signaling	FALSE	none		IGF1R(n=964)	IGF1R signaling(n=964)	SIGNALING	FALSE	SIGNALING	GDSC pathway: IGF1R signaling; target: IGF1R
LJI308	LJI308	2107	SIGNALING	SIGNALING	SIGNALING	RSK2, RSK1, RSK3	PI3K/MTOR signaling	FALSE	none		RSK2, RSK1, RSK3(n=952)	PI3K/MTOR signaling(n=952)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: RSK2, RSK1, RSK3
LMB_AB1	LMB_AB1	1783				ADRA1A, ADRB1	Other	FALSE	none		ADRA1A, ADRB1(n=717)	Other(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: ADRA1A, ADRB1
LMB_AB2	LMB_AB2	1784				GADD34	Unclassified	FALSE	none		GADD34(n=717)	Unclassified(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: GADD34
LMB_AB3	LMB_AB3	1785				PPP1R15B	Other	FALSE	none		PPP1R15B(n=717)	Other(n=717)		FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: PPP1R15B
LMP744	LMP744	1843				TOP1	DNA replication	FALSE	none		TOP1(n=717)	DNA replication(n=717)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: TOP1
Luminespib	LUMINESPIB	1559				HSP90	Protein stability and degradation	FALSE	none		HSP90(n=962)	Protein stability and degradation(n=962)		FALSE	PROTEIN_DEGRADATION	GDSC pathway: Protein stability and degradation; target: HSP90
LY2109761	LY2109761	1852	SIGNALING	SIGNALING	SIGNALING	TGFB1	Other	FALSE	none		TGFB1(n=891)	Other(n=891)	SIGNALING	FALSE	OTHER_REVIEWED	GDSC pathway: Other; target: TGFB1
Methotrexate	METHOTREXATE	1008	DISEASE-MODIFYING ANTI-RHEUMATIC DRUGS (DMARDS)	Breast Feeding; Lactation; Milk, Human; Abortifacient Agents, Nonsteroidal; Antimetabolites, Antineoplastic; Antirheumatic Agents; Folic Acid Antagonists; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation; Disease-modifying anti-rheumatic drugs (DMARDs)	Breast Feeding;Lactation;Milk, Human;Abortifacient Agents, Nonsteroidal;Antimetabolites, Antineoplastic;Antirheumatic Agents;Folic Acid Antagonists;Immunosuppressive Agents;Cytotoxic medicines;Dermatological medicines > Medicines affecting skin differentiation and proliferation;Disease-modifying anti-rheumatic drugs (DMARDs)	Antimetabolite	DNA replication	FALSE	none		Antimetabolite(n=879)	DNA replication(n=879)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: Antimetabolite
MG-132	MG-132	1862				Proteasome, CAPN1	Protein stability and degradation	FALSE	none		Proteasome, CAPN1(n=967)	Protein stability and degradation(n=967)		FALSE	PROTEIN_DEGRADATION	GDSC pathway: Protein stability and degradation; target: Proteasome, CAPN1
MIM1	MIM1	1996				MCL1	Apoptosis regulation	FALSE	none		MCL1(n=742)	Apoptosis regulation(n=742)		FALSE	APOPTOSIS	GDSC pathway: Apoptosis regulation; target: MCL1
MIRA-1	MIRA-1	1931				TP53	p53 pathway	FALSE	none		TP53(n=964)	p53 pathway(n=964)		FALSE	P53_PATHWAY	GDSC pathway: p53 pathway; target: TP53
Mirin	MIRIN	1048				MRE11	Genome integrity	FALSE	none		MRE11(n=893)	Genome integrity(n=893)		FALSE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: Genome integrity; target: MRE11
Mitoxantrone	MITOXANTRONE	1810	ANTINEOPLASTIC AGENTS	Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents	Breast Feeding;Lactation;Milk, Human;Antineoplastic Agents	TOP2	DNA replication	FALSE	none		TOP2(n=717)	DNA replication(n=717)		TRUE	GENOME_INTEGRITY_DNA_DAMAGE	GDSC pathway: DNA replication; target: TOP2
MK-1775	MK-1775	1179	SIGNALING	SIGNALING	SIGNALING	WEE1, PLK1	Cell cycle	FALSE	none		WEE1, PLK1(n=965)	Cell cycle(n=965)	SIGNALING	FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cell cycle; target: WEE1, PLK1
MK-2206	MK-2206	1053	SIGNALING	SIGNALING	SIGNALING	AKT1, AKT2	PI3K/MTOR signaling	FALSE	none		AKT1, AKT2(n=966)	PI3K/MTOR signaling(n=966)	SIGNALING	FALSE	SIGNALING	GDSC pathway: PI3K/MTOR signaling; target: AKT1, AKT2
MK-8776	MK-8776	2046	CYTOTOXIC	Cytotoxic	Cytotoxic	CHEK1, CHEK2, CDK2	Cell cycle	FALSE	none		CHEK1, CHEK2, CDK2(n=950)	Cell cycle(n=950)		FALSE	CELL_CYCLE_MITOSIS	GDSC pathway: Cell cycle; target: CHEK1, CHEK2, CDK2
ML323	ML323	1629				USP1, UAF1	Protein stability and degradation	FALSE	none		USP1, UAF1(n=891)	Protein stability and degradation(n=891)		FALSE	PROTEIN_DEGRADATION	GDSC pathway: Protein stability and degradation; target: USP1, UAF1
MN-64	MN-64	1854				TNKS1, TNKS2	WNT signaling	FALSE	none		TNKS1, TNKS2(n=893)	WNT signaling(n=893)		FALSE	SIGNALING	GDSC pathway: WNT signaling; target: TNKS1, TNKS2
Motesanib	MOTESANIB	1029	SIGNALING	Signaling	Signaling	VEGFR, RET, KIT, PDGFR	RTK signaling	FALSE	none		VEGFR, RET, KIT, PDGFR(n=947)	RTK signaling(n=947)		FALSE	SIGNALING	GDSC pathway: RTK signaling; target: VEGFR, RET, KIT, PDGFR
Mycophenolic acid	MYCOPHENOLIC ACID	2055	IMMUNOSUPPRESSIVE AGENTS	IMMUNOSUPPRESSIVE AGENTS	IMMUNOSUPPRESSIVE AGENTS		Unclassified	FALSE	none			Unclassified(n=736)	IMMUNOSUPPRESSIVE AGENTS	FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
N-acetyl cysteine	N-ACETYL CYSTEINE	2499				Metabolism	Metabolism	FALSE	none		Metabolism(n=734)	Metabolism(n=734)		FALSE	METABOLISM	GDSC pathway: Metabolism; target: Metabolism
N25720-51-A1	N25720-51-A1	1999					Unclassified	FALSE	none			Unclassified(n=741)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
N27922-53-1	N27922-53-1	2000					Unclassified	FALSE	none			Unclassified(n=742)		FALSE	OTHER_REVIEWED	GDSC pathway: Unclassified; target: 
