drug	drug_key	drug_id_list
UNC0638	UNC0638	2038
Uprosertib	UPROSERTIB	1553;2106
VE-822	VE-822	1613
VE821	VE821	2111
Veliparib	VELIPARIB	1018
Venetoclax	VENETOCLAX	1909
Vinblastine	VINBLASTINE	1004
Vinorelbine	VINORELBINE	2048
Vismodegib	VISMODEGIB	1033
Vorinostat	VORINOSTAT	1012
VSP34_8731	VSP34_8731	1734
VTP-A	VTP-A	2112
VTP-B	VTP-B	2113
VX-11e	VX-11E	2096
Wee1 Inhibitor	WEE1 INHIBITOR	1046
WEHI-539	WEHI-539	1997
WIKI4	WIKI4	1940
Wnt-C59	WNT-C59	1622
WZ4003	WZ4003	1614
XAV939	XAV939	1268
YK-4-279	YK-4-279	1239
ZM447439	ZM447439	1050
Zoledronate	ZOLEDRONATE	1802
