sample_id	pseudotime_bin	sample_bin_id	cell_count	bin_start	bin_end	bin_midpoint	dose	dose_mg	initial_ploidy	n_cells	mean_pseudotime	retained_for_model	exclusion_reason	library_size
2N-A1-RR	12	2N-A1-RR__bin12	34	0.55	0.6	0.575	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	1149200
2N-A1-RR	13	2N-A1-RR__bin13	46	0.6	0.65	0.625	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	1707287
2N-A1-RR	14	2N-A1-RR__bin14	30	0.65	0.7	0.675	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	1276923
2N-A1-RR	15	2N-A1-RR__bin15	29	0.7	0.75	0.725	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	1018357
2N-A1-RR	16	2N-A1-RR__bin16	25	0.75	0.8	0.775	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	909591
2N-A1-RR	17	2N-A1-RR__bin17	31	0.8	0.85	0.825	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	1040571
2N-A1-RR	18	2N-A1-RR__bin18	60	0.85	0.9	0.875	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	2345318
2N-A1-RR	19	2N-A1-RR__bin19	12	0.9	0.95	0.925	0mg/kg	0	2N	549	0.481864572226161	TRUE	NA	440348
2N-A1-RR	20	2N-A1-RR__bin20	1	0.95	1	0.975	0mg/kg	0	2N	549	0.481864572226161	FALSE	cell_count<5	18693
2N-A2-0	1	2N-A2-0__bin01	8	0	0.05	0.025	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	854092
2N-A2-0	2	2N-A2-0__bin02	5	0.05	0.1	0.075	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	703775
2N-A2-0	3	2N-A2-0__bin03	4	0.1	0.15	0.125	30mg/kg	30	2N	95	0.467133313417435	FALSE	cell_count<5	535355
2N-A2-0	4	2N-A2-0__bin04	3	0.15	0.2	0.175	30mg/kg	30	2N	95	0.467133313417435	FALSE	cell_count<5	189175
2N-A2-0	5	2N-A2-0__bin05	2	0.2	0.25	0.225	30mg/kg	30	2N	95	0.467133313417435	FALSE	cell_count<5	199809
2N-A2-0	6	2N-A2-0__bin06	6	0.25	0.3	0.275	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	423115
2N-A2-0	7	2N-A2-0__bin07	2	0.3	0.35	0.325	30mg/kg	30	2N	95	0.467133313417435	FALSE	cell_count<5	36082
2N-A2-0	8	2N-A2-0__bin08	6	0.35	0.4	0.375	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	269411
2N-A2-0	9	2N-A2-0__bin09	4	0.4	0.45	0.425	30mg/kg	30	2N	95	0.467133313417435	FALSE	cell_count<5	339844
2N-A2-0	10	2N-A2-0__bin10	7	0.45	0.5	0.475	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	642402
2N-A2-0	11	2N-A2-0__bin11	9	0.5	0.55	0.525	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	654493
2N-A2-0	12	2N-A2-0__bin12	8	0.55	0.6	0.575	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	286420
2N-A2-0	13	2N-A2-0__bin13	6	0.6	0.65	0.625	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	467119
2N-A2-0	14	2N-A2-0__bin14	2	0.65	0.7	0.675	30mg/kg	30	2N	95	0.467133313417435	FALSE	cell_count<5	198022
2N-A2-0	15	2N-A2-0__bin15	7	0.7	0.75	0.725	30mg/kg	30	2N	95	0.467133313417435	TRUE	NA	683907
2N-A2-0	16	2N-A2-0__bin16	2	0.75	0.8	0.775	30mg/kg	30	2N	95	0.467133313417435	FALSE	cell_count<5	251417
