"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
1.97199077751873e-185,1.78239199377037,0.901,0.572,1.42578877196159e-180,"GRCh38-STX3","STX3",13,"STX3",1.78239199377037,1.42578877196159e-180,0.329,1.78239199377037,0.329
1.86849191264041e-164,1.77788578092315,0.724,0.33,1.35095702267727e-159,"GRCh38-PFKFB4","PFKFB4",13,"PFKFB4",1.77788578092315,1.35095702267727e-159,0.394,1.77788578092315,0.394
1.27898680629825e-141,1.775028611953,0.979,0.906,9.24733040689759e-137,"GRCh38-PLOD2","PLOD2",13,"PLOD2",1.775028611953,9.24733040689759e-137,0.073,1.775028611953,0.073
5.15485890148766e-140,1.77210377097384,0.689,0.34,3.72706608295361e-135,"GRCh38-DIPK2A","DIPK2A",13,"DIPK2A",1.77210377097384,3.72706608295361e-135,0.349,1.77210377097384,0.349
3.30983021074875e-122,1.76642681216417,0.957,0.834,2.39307343897556e-117,"GRCh38-SLC2A3","SLC2A3",13,"SLC2A3",1.76642681216417,2.39307343897556e-117,0.123,1.76642681216417,0.123
6.84602383351015e-102,1.75932641092027,0.835,0.634,4.94981215210451e-97,"GRCh38-ITPR1","ITPR1",13,"ITPR1",1.75932641092027,4.94981215210451e-97,0.201,1.75932641092027,0.201
6.13253021130046e-160,1.75705756048913,0.997,0.932,4.43394199337446e-155,"GRCh38-GBE1","GBE1",13,"GBE1",1.75705756048913,4.43394199337446e-155,0.0649999999999999,1.75705756048913,0.0649999999999999
6.3410749184326e-139,1.72317473878889,0.974,0.859,4.58472398752514e-134,"GRCh38-WSB1","WSB1",13,"WSB1",1.72317473878889,4.58472398752514e-134,0.115,1.72317473878889,0.115
4.31266447221125e-140,1.72294243883251,0.72,0.392,3.11814266669818e-135,"GRCh38-TNS1","TNS1",13,"TNS1",1.72294243883251,3.11814266669818e-135,0.328,1.72294243883251,0.328
4.95579844070951e-128,1.71101849062873,0.977,0.903,3.58314138860179e-123,"GRCh38-BNIP3L","BNIP3L",13,"BNIP3L",1.71101849062873,3.58314138860179e-123,0.074,1.71101849062873,0.074
2.83835990754812e-156,1.70788040229385,0.964,0.831,2.05219098035544e-151,"GRCh38-P4HA1","P4HA1",13,"P4HA1",1.70788040229385,2.05219098035544e-151,0.133,1.70788040229385,0.133
9.95848642206019e-160,1.70022457171231,0.959,0.844,7.20018485287796e-155,"GRCh38-MSANTD3","MSANTD3",13,"MSANTD3",1.70022457171231,7.20018485287796e-155,0.115,1.70022457171231,0.115
