"pathway","hallmark_label","set_size","query_size","overlap","p_value","overlap_genes","p_adj","expression_score_raw","detection_score_raw","overlap_score_raw","expression_score_scaled","detection_score_scaled","overlap_score_scaled","annotation_score","annotation_rank","cluster"
"HALLMARK_G2M_CHECKPOINT","G2m Checkpoint",198,100,46,1.60191403352148e-58,"AURKA;AURKB;BIRC5;BRCA2;BUB1;CCNA2;CCNB2;CDC20;CDK1;CDKN3;CENPE;CENPF;CKS1B;CKS2;H2AX;HMMR;KIF11;KIF15;KIF20B;KIF22;KIF23;KIF2C;KIF4A;KNL1;KPNA2;LMNB1;MAD2L1;MKI67;MYBL2;NDC80;NUSAP1;PBK;PLK1;PRC1;PTTG1;SMC2;SMC4;STMN1;TACC3;TMPO;TOP2A;TPX2;TROAP;TTK;UBE2C;UBE2S",1.44172263016933e-57,2.8709829739508,0.819521739130435,0.346161616161616,0.774746560330023,0.888018932051057,1,0.88758849746036,1,"10"
"HALLMARK_MITOTIC_SPINDLE","Mitotic Spindle",189,100,27,1.74536495987195e-27,"ANLN;AURKA;BIRC5;BRCA2;BUB1;CCNB2;CDK1;CENPE;CENPF;DLGAP5;ECT2;KIF11;KIF15;KIF20B;KIF22;KIF23;KIF2C;KIF4A;LMNB1;NDC80;NUSAP1;PLK1;PRC1;SMC4;TOP2A;TPX2;TTK",5.23609487961585e-27,2.95016738824993,0.810407407407407,0.206428571428571,1,0.740247485470417,0.531065375302663,0.75710428692436,2,"10"
"HALLMARK_E2F_TARGETS","E2f Targets",198,100,45,1.13815128417135e-56,"ANP32E;ATAD2;AURKA;AURKB;BIRC5;BRCA2;BUB1B;CCNB2;CDC20;CDCA8;CDK1;CDKN3;CENPE;CIT;CKS1B;CKS2;DEPDC1;DIAPH3;DLGAP5;H2AX;HMGB2;HMMR;KIF22;KIF2C;KIF4A;KPNA2;LMNB1;MAD2L1;MELK;MKI67;MYBL2;PCNA;PLK1;PTTG1;RAD51AP1;RRM2;SMC4;SPC25;STMN1;TACC3;TK1;TMPO;TOP2A;TRIP13;UBE2S",5.12168077877108e-56,2.73511935088541,0.810288888888889,0.338636363636364,0.388259538958664,0.738325934504278,0.974745762711864,0.700443745391602,3,"10"
"HALLMARK_MYC_TARGETS_V1","Myc Targets V1",200,100,7,0.000790097726253673,"CCNA2;CDC20;KPNA2;MAD2L1;PCNA;RRM1;TYMS",0.00142217590725661,2.59863262627186,0.826428571428571,0.0525,0,1,0.0144915254237288,0.33816384180791,4,"10"
"HALLMARK_GLYCOLYSIS","Glycolysis",165,100,6,0.00155227616440282,"AURKA;CDK1;DEPDC1;HMMR;KIF20A;STMN1",0.00232841424660422,2.78155342583844,0.769,0.0481818181818182,0.520349107261241,0.068905616676317,0,0.196418241312519,5,"10"
"HALLMARK_SPERMATOGENESIS","Spermatogenesis",62,100,8,1.92537117987332e-08,"AURKA;BUB1;CCNB2;CDK1;CDKN3;KIF2C;NCAPH;TTK",4.33208515471498e-08,2.64626983841436,0.76475,0.104516129032258,0.13551209523192,0,0.189054127938764,0.108188741056895,6,"10"
"HALLMARK_HYPOXIA","Hypoxia",165,100,30,6.70326667807273e-34,"ADM;ANGPTL4;BHLHE40;BNIP3L;CCNG2;CITED2;DDIT4;ENO2;ERO1A;ERRFI1;F3;FAM162A;GBE1;HK2;IL6;KDM3A;LOX;MXI1;NDRG1;P4HA1;PAM;PDK1;PGF;SLC2A1;SLC2A3;SLC6A6;STC1;STC2;VEGFA;WSB1",1.54175133595673e-32,2.09013851834014,0.846533333333333,0.240909090909091,0.607159064322472,0.867471537165067,1,0.824876867162513,1,"13"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","Unfolded Protein Response",106,100,4,0.00845395483693301,"DDIT4;ERO1A;STC2;VEGFA",0.0138886400892471,2.24677379710541,0.91075,0.0388679245283019,0.950714744711519,1,0.0235866107671459,0.658100451826222,2,"13"
"HALLMARK_GLYCOLYSIS","Glycolysis",165,100,16,8.83652421227627e-14,"ANGPTL4;CITED2;DDIT4;EGLN3;ENO2;ERO1A;FAM162A;HK2;MXI1;NT5E;P4HA1;PAM;PLOD2;STC1;STC2;VEGFA",1.01620028441177e-12,2.08668658328801,0.8603125,0.128484848484848,0.599587769370016,0.895908574966464,0.45668233091418,0.650726225083553,3,"13"
"HALLMARK_MTORC1_SIGNALING","Mtorc1 Signaling",189,100,14,1.35912753332316e-10,"BHLHE40;DDIT4;EGLN3;ERO1A;GBE1;HK2;NAMPT;P4HA1;PDK1;PLOD2;SLC2A1;SLC2A3;SLC6A6;STC1",6.25198665328654e-10,1.99420379307399,0.901785714285714,0.107037037037037,0.396740823479426,0.981499771511122,0.353030532409338,0.577090375799962,4,"13"
