sample_id,bin_id,sample_bin_id,cell_count,bin_start,bin_end,bin_midpoint,dose,dose_mg,initial_ploidy,n_cells,mean_pseudotime,n_endpoint_ploidy_cells,sample_mean_endpoint_ploidy,sample_median_endpoint_ploidy,sample_max_endpoint_ploidy,sample_mean_endpoint_ploidy_scaled,ETP_fixed_threshold_2_25_group,ETP_boundary_stress_threshold_2_375_group,ETP_reference_balanced_threshold_2_24_group,retained_for_model,exclusion_reason,library_size
2N-A1-LR,13,2N-A1-LR__bin13,3,0.6000000000000001,0.65,0.625,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,FALSE,cell_count<5,86143
2N-A1-LR,14,2N-A1-LR__bin14,5,0.65,0.7000000000000001,0.675,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,522371
2N-A1-LR,15,2N-A1-LR__bin15,12,0.7000000000000001,0.75,0.7250000000000001,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,1024818
2N-A1-LR,16,2N-A1-LR__bin16,4,0.75,0.8,0.775,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,FALSE,cell_count<5,422510
2N-A1-LR,17,2N-A1-LR__bin17,6,0.8,0.8500000000000001,0.8250000000000001,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,526482
2N-A1-LR,18,2N-A1-LR__bin18,22,0.8500000000000001,0.9,0.875,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,1852074
2N-A1-LR,19,2N-A1-LR__bin19,5,0.9,0.9500000000000001,0.925,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,221021
2N-A1-LR,20,2N-A1-LR__bin20,0,0.9500000000000001,1,0.9750000000000001,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,FALSE,cell_count<5,0
2N-A1-R,1,2N-A1-R__bin01,3,0,0.05,0.025,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,199978
2N-A1-R,2,2N-A1-R__bin02,1,0.05,0.1,0.07500000000000001,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,110934
2N-A1-R,3,2N-A1-R__bin03,5,0.1,0.15000000000000002,0.125,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,TRUE,,433885
2N-A1-R,4,2N-A1-R__bin04,3,0.15000000000000002,0.2,0.17500000000000002,0mg/kg,0,2N,81,0.5281290518188916,196,2.0115676993385962,2.016165352733414,2.0458605817993187,-1.3678189021439646,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,221202
